Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,scan=java.util.Scanner (id=363)
Variable Write,context=Main#main:1,dayJ=0
Variable Write,context=Main#main:1,dayM=0
Variable Write,context=Main#main:1,l=20
Variable Write,context=Main#main:1,a=25
Variable Write,context=Main#main:1,b=30
Variable Write,context=Main#main:1,c=6
Variable Write,context=Main#main:1,d=8
Variable Write,context=Main#main:1,dayJ=4
Variable Write,context=Main#main:1,dayJ=5
Variable Write,context=Main#main:1,dayM=3
Variable Write,context=Main#main:1,dayM=4
Variable Write,context=Main#main:1,day=5
Method Exit,returner=Main#main:1,value=<void>
Thread End,
