Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
New Object,object=Main:1
Method Call,caller=Main#main:1,target=Main:1#Main:1
Method Exit,returner=Main:1#Main:1,value=<void>
Method Call,caller=Main#main:1,target=Main:1#run:1
Variable Write,context=Main:1#run:1,MOD=100000
New Object,object=char[]:1
Field Write,context=char[]:1,0=J
Field Write,context=char[]:1,1=O
Field Write,context=char[]:1,2=I
Variable Write,context=Main:1#run:1,ch=char[]:1
Variable Write,context=Main:1#run:1,sc=java.util.Scanner (id=365)
Variable Write,context=Main:1#run:1,h=2
Variable Write,context=Main:1#run:1,w=3
Variable Write,context=Main:1#run:1,MASK=7
Variable Write,context=Main:1#run:1,mask=4
Variable Write,context=Main:1#run:1,ALL=1
New Object,object=char[][]:1
Field Write,context=char[][]:1,0=null
Field Write,context=char[][]:1,1=null
Variable Write,context=Main:1#run:1,map=char[][]:1
Variable Write,context=Main:1#run:1,i=0
New Object,object=char[]:2
Field Write,context=char[]:2,0=?
Field Write,context=char[]:2,1=?
Field Write,context=char[]:2,2=O
Field Write,context=char[][]:1,0=char[]:2
Variable Write,context=Main:1#run:1,map=char[][]:1
Variable Write,context=Main:1#run:1,ALL=9
Variable Write,context=Main:1#run:1,i=1
New Object,object=char[]:3
Field Write,context=char[]:3,0=I
Field Write,context=char[]:3,1=I
Field Write,context=char[]:3,2=J
Field Write,context=char[][]:1,1=char[]:3
Variable Write,context=Main:1#run:1,map=char[][]:1
Variable Write,context=Main:1#run:1,ALL=9
Variable Delete,method=Main:1#run:1 <name=i,type=int (id=7),value=<?>,index=9>
Variable Write,context=Main:1#run:1,ref=int[15000] (id=370)
New Object,object=int[]:1
Field Write,context=int[]:1,0=0
Field Write,context=int[]:1,1=0
Field Write,context=int[]:1,2=0
Field Write,context=int[]:1,3=0
Field Write,context=int[]:1,4=0
Field Write,context=int[]:1,5=0
Field Write,context=int[]:1,6=0
Field Write,context=int[]:1,7=0
