Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
New Object,object=Main:1
Method Call,caller=Main#main:1,target=Main:1#Main:1
Field Write,context=Main:1,INF=16777216
Method Exit,returner=Main:1#Main:1,value=<void>
Variable Write,context=Main#main:1,obj=Main:1
Method Call,caller=Main#main:1,target=Main:1#doit:1
Variable Write,context=Main:1#doit:1,sc=java.util.Scanner (id=364)
