Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
New Object,object=Main:1
Method Call,caller=Main#main:1,target=Main:1#Main:1
Field Write,context=Main:1,sc=java.util.Scanner (id=48)
Method Exit,returner=Main:1#Main:1,value=<void>
Variable Write,context=Main#main:1,a=Main:1
Method Call,caller=Main#main:1,target=Main:1#sei:1
Field Read,context=Main:1,sc
Field Write,context=Main:1,nin=4
Field Read,context=Main:1,nin
Field Read,context=Main:1,nin
Variable Write,context=Main:1#sei:1,i=1
Field Read,context=Main:1,sc
Field Write,context=Main:1,pm=100
Field Read,context=Main:1,sc
Field Write,context=Main:1,pe=70
Field Read,context=Main:1,sc
Field Write,context=Main:1,pj=20
Field Read,context=Main:1,pm
Field Read,context=Main:1,nin
Variable Write,context=Main:1#sei:1,i=2
Field Read,context=Main:1,sc
Field Write,context=Main:1,pm=98
Field Read,context=Main:1,sc
Field Write,context=Main:1,pe=86
Field Read,context=Main:1,sc
Field Write,context=Main:1,pj=55
Field Read,context=Main:1,pm
Field Read,context=Main:1,pe
Field Read,context=Main:1,pj
Field Read,context=Main:1,pm
Field Read,context=Main:1,pe
Field Write,context=Main:1,avg1=92.0
Field Read,context=Main:1,avg1
Field Read,context=Main:1,nin
Variable Write,context=Main:1#sei:1,i=3
Field Read,context=Main:1,sc
Field Write,context=Main:1,pm=80
Field Read,context=Main:1,sc
Field Write,context=Main:1,pe=34
Field Read,context=Main:1,sc
Field Write,context=Main:1,pj=36
Field Read,context=Main:1,pm
Field Read,context=Main:1,pe
Field Read,context=Main:1,pj
Field Read,context=Main:1,pm
Field Read,context=Main:1,pe
Field Write,context=Main:1,avg1=57.0
Field Read,context=Main:1,avg1
Field Read,context=Main:1,pm
Field Read,context=Main:1,pe
Field Read,context=Main:1,pj
Field Write,context=Main:1,avg2=50.0
Field Read,context=Main:1,avg2
Field Read,context=Main:1,avg2
Field Read,context=Main:1,avg2
Field Read,context=Main:1,pm
Field Read,context=Main:1,nin
Variable Write,context=Main:1#sei:1,i=4
Field Read,context=Main:1,sc
Field Write,context=Main:1,pm=65
Field Read,context=Main:1,sc
Field Write,context=Main:1,pe=79
Field Read,context=Main:1,sc
Field Write,context=Main:1,pj=65
Field Read,context=Main:1,pm
Field Read,context=Main:1,pe
Field Read,context=Main:1,pj
Field Read,context=Main:1,pm
Field Read,context=Main:1,pe
Field Write,context=Main:1,avg1=72.0
Field Read,context=Main:1,avg1
Field Read,context=Main:1,pm
Field Read,context=Main:1,pe
Field Read,context=Main:1,pj
Field Write,context=Main:1,avg2=69.0
Field Read,context=Main:1,avg2
Field Read,context=Main:1,avg2
Field Read,context=Main:1,avg2
Field Read,context=Main:1,pm
Field Read,context=Main:1,pe
Field Read,context=Main:1,nin
Field Read,context=Main:1,sc
Field Write,context=Main:1,nin=2
Variable Delete,method=Main:1#sei:1 <name=i,type=int (id=7),value=<?>,index=0>
Field Read,context=Main:1,nin
Field Read,context=Main:1,nin
Variable Write,context=Main:1#sei:1,i=1
Field Read,context=Main:1,sc
Field Write,context=Main:1,pm=99
Field Read,context=Main:1,sc
Field Write,context=Main:1,pe=81
Field Read,context=Main:1,sc
Field Write,context=Main:1,pj=20
Field Read,context=Main:1,pm
Field Read,context=Main:1,pe
Field Read,context=Main:1,pj
Field Read,context=Main:1,pm
Field Read,context=Main:1,pe
Field Write,context=Main:1,avg1=90.0
Field Read,context=Main:1,avg1
Field Read,context=Main:1,nin
Variable Write,context=Main:1#sei:1,i=2
Field Read,context=Main:1,sc
Field Write,context=Main:1,pm=66
Field Read,context=Main:1,sc
Field Write,context=Main:1,pe=72
Field Read,context=Main:1,sc
Field Write,context=Main:1,pj=90
Field Read,context=Main:1,pm
Field Read,context=Main:1,pe
Field Read,context=Main:1,pj
Field Read,context=Main:1,pm
Field Read,context=Main:1,pe
Field Write,context=Main:1,avg1=69.0
Field Read,context=Main:1,avg1
Field Read,context=Main:1,pm
Field Read,context=Main:1,pe
Field Read,context=Main:1,pj
Field Write,context=Main:1,avg2=76.0
Field Read,context=Main:1,avg2
Field Read,context=Main:1,avg2
Field Read,context=Main:1,nin
Field Read,context=Main:1,sc
Field Write,context=Main:1,nin=0
Variable Delete,method=Main:1#sei:1 <name=i,type=int (id=7),value=<?>,index=0>
Field Read,context=Main:1,nin
Method Exit,returner=Main:1#sei:1,value=<void>
Method Exit,returner=Main#main:1,value=<void>
Thread End,
