Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
New Object,object=Main:1
Method Call,caller=Main#main:1,target=Main:1#Main:1
Method Exit,returner=Main:1#Main:1,value=<void>
Method Call,caller=Main#main:1,target=Main:1#run:1
Variable Write,context=Main:1#run:1,scanner=java.util.Scanner (id=364)
Variable Write,context=Main:1#run:1,n=3
Variable Write,context=Main:1#run:1,m=2
Variable Write,context=Main:1#run:1,ans=2
Variable Write,context=Main:1#run:1,i=0
Variable Write,context=Main:1#run:1,a=2
Variable Write,context=Main:1#run:1,b=3
Variable Write,context=Main:1#run:1,m=1
Variable Write,context=Main:1#run:1,ans=2
Variable Write,context=Main:1#run:1,i=1
Variable Delete,method=Main:1#run:1 <name=a,type=int (id=7),value=<?>,index=5>
Variable Delete,method=Main:1#run:1 <name=b,type=int (id=7),value=<?>,index=6>
Variable Write,context=Main:1#run:1,a=2
Variable Write,context=Main:1#run:1,b=3
Variable Write,context=Main:1#run:1,m=0
Variable Write,context=Main:1#run:1,ans=2
Variable Write,context=Main:1#run:1,i=2
Variable Delete,method=Main:1#run:1 <name=a,type=int (id=7),value=<?>,index=5>
Variable Delete,method=Main:1#run:1 <name=b,type=int (id=7),value=<?>,index=6>
Variable Write,context=Main:1#run:1,a=4
Variable Write,context=Main:1#run:1,b=1
Variable Write,context=Main:1#run:1,m=3
Variable Write,context=Main:1#run:1,ans=3
Variable Delete,method=Main:1#run:1 <name=a,type=int (id=7),value=<?>,index=5>
Variable Delete,method=Main:1#run:1 <name=b,type=int (id=7),value=<?>,index=6>
Variable Delete,method=Main:1#run:1 <name=i,type=int (id=7),value=<?>,index=4>
Method Exit,returner=Main:1#run:1,value=<void>
Method Exit,returner=Main#main:1,value=<void>
Thread End,
