Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,stdin=java.util.Scanner (id=363)
Variable Write,context=Main#main:1,n=11
New Object,object=int[]:1
Field Write,context=int[]:1,0=0
Field Write,context=int[]:1,1=0
Field Write,context=int[]:1,2=0
Field Write,context=int[]:1,3=0
Field Write,context=int[]:1,4=0
Field Write,context=int[]:1,5=0
Field Write,context=int[]:1,6=0
Field Write,context=int[]:1,7=0
Field Write,context=int[]:1,8=0
Field Write,context=int[]:1,9=0
Field Write,context=int[]:1,10=0
Variable Write,context=Main#main:1,ary=int[]:1
Variable Write,context=Main#main:1,i=0
Field Write,context=int[]:1,0=8
Variable Write,context=Main#main:1,ary=int[]:1
Variable Write,context=Main#main:1,i=1
Field Write,context=int[]:1,1=3
Variable Write,context=Main#main:1,ary=int[]:1
Variable Write,context=Main#main:1,i=2
Field Write,context=int[]:1,2=2
Variable Write,context=Main#main:1,ary=int[]:1
Variable Write,context=Main#main:1,i=3
Field Write,context=int[]:1,3=4
Variable Write,context=Main#main:1,ary=int[]:1
Variable Write,context=Main#main:1,i=4
Field Write,context=int[]:1,4=8
Variable Write,context=Main#main:1,ary=int[]:1
Variable Write,context=Main#main:1,i=5
Field Write,context=int[]:1,5=7
Variable Write,context=Main#main:1,ary=int[]:1
Variable Write,context=Main#main:1,i=6
Field Write,context=int[]:1,6=2
Variable Write,context=Main#main:1,ary=int[]:1
Variable Write,context=Main#main:1,i=7
Field Write,context=int[]:1,7=4
Variable Write,context=Main#main:1,ary=int[]:1
Variable Write,context=Main#main:1,i=8
Variable Write,context=Main#main:1,ary=int[]:1
Variable Write,context=Main#main:1,i=9
Field Write,context=int[]:1,9=8
Variable Write,context=Main#main:1,ary=int[]:1
Variable Write,context=Main#main:1,i=10
Field Write,context=int[]:1,10=8
Variable Write,context=Main#main:1,ary=int[]:1
Variable Delete,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=4>
