Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,in=java.util.Scanner (id=363)
Variable Write,context=Main#main:1,n=5
New Object,object=Lines[]:1
Field Write,context=Lines[]:1,0=null
Field Write,context=Lines[]:1,1=null
Field Write,context=Lines[]:1,2=null
Field Write,context=Lines[]:1,3=null
Field Write,context=Lines[]:1,4=null
Field Write,context=Lines[]:1,5=null
Variable Write,context=Main#main:1,line=Lines[]:1
Variable Write,context=Main#main:1,ans=java.util.LinkedList (id=368)
Variable Write,context=Main#main:1,i=0
Variable Write,context=Main#main:1,m=5
New Object,object=Pos[]:1
Field Write,context=Pos[]:1,0=null
Field Write,context=Pos[]:1,1=null
Field Write,context=Pos[]:1,2=null
Field Write,context=Pos[]:1,3=null
Field Write,context=Pos[]:1,4=null
Variable Write,context=Main#main:1,p=Pos[]:1
Variable Write,context=Main#main:1,j=0
New Object,object=Pos:1
Method Call,caller=Main#main:1,target=Pos:1#Pos:1
Variable Write,context=Pos:1#Pos:1,y=0
Variable Write,context=Pos:1#Pos:1,x=0
Field Write,context=Pos:1,x=0
Field Write,context=Pos:1,y=0
Method Exit,returner=Pos:1#Pos:1,value=<void>
Field Write,context=Pos[]:1,0=Pos:1
Variable Write,context=Main#main:1,p=Pos[]:1
Variable Write,context=Main#main:1,j=1
New Object,object=Pos:2
Method Call,caller=Main#main:1,target=Pos:2#Pos:2
Variable Write,context=Pos:2#Pos:2,y=0
Variable Write,context=Pos:2#Pos:2,x=2
Field Write,context=Pos:2,x=2
Field Write,context=Pos:2,y=0
Method Exit,returner=Pos:2#Pos:2,value=<void>
Field Write,context=Pos[]:1,1=Pos:2
Variable Write,context=Main#main:1,p=Pos[]:1
Variable Write,context=Main#main:1,j=2
New Object,object=Pos:3
Method Call,caller=Main#main:1,target=Pos:3#Pos:3
Variable Write,context=Pos:3#Pos:3,y=1
Variable Write,context=Pos:3#Pos:3,x=2
Field Write,context=Pos:3,x=2
