Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,sc=java.util.Scanner (id=47)
Variable Write,context=Main#main:1,x=6
Variable Write,context=Main#main:1,y=1
Variable Write,context=Main#main:1,list=java.util.ArrayList (id=48)
Variable Write,context=Main#main:1,temp=java.util.ArrayList (id=51)
Variable Write,context=Main#main:1,n=10
Variable Write,context=Main#main:1,flag=false
Variable Write,context=Main#main:1,i=0
Variable Write,context=Main#main:1,x=6
Variable Write,context=Main#main:1,y=4
Variable Write,context=Main#main:1,j=-1
Variable Write,context=Main#main:1,k=-1
Variable Write,context=Main#main:1,a=-1
Variable Write,context=Main#main:1,b=0
Variable Write,context=Main#main:1,q=4
Variable Write,context=Main#main:1,r=5
Variable Write,context=Main#main:1,p=java.awt.geom.Point2D$Double (id=52)
Variable Write,context=Main#main:1,q=4
Variable Write,context=Main#main:1,r=1
Variable Write,context=Main#main:1,p=java.awt.geom.Point2D$Double (id=55)
Variable Write,context=Main#main:1,b=1
Variable Write,context=Main#main:1,q=7
Variable Write,context=Main#main:1,r=2
Variable Write,context=Main#main:1,p=java.awt.geom.Point2D$Double (id=56)
Variable Write,context=Main#main:1,q=3
Variable Write,context=Main#main:1,r=2
Variable Write,context=Main#main:1,p=java.awt.geom.Point2D$Double (id=57)
Variable Write,context=Main#main:1,a=0
Variable Delete,method=Main#main:1 <name=b,type=int (id=7),value=<?>,index=15>
Variable Write,context=Main#main:1,b=0
Variable Write,context=Main#main:1,q=5
Variable Write,context=Main#main:1,r=5
Variable Write,context=Main#main:1,p=java.awt.geom.Point2D$Double (id=58)
Variable Write,context=Main#main:1,q=5
Variable Write,context=Main#main:1,r=1
Variable Write,context=Main#main:1,p=java.awt.geom.Point2D$Double (id=59)
Variable Write,context=Main#main:1,b=1
Variable Write,context=Main#main:1,q=7
Variable Write,context=Main#main:1,r=3
Variable Write,context=Main#main:1,p=java.awt.geom.Point2D$Double (id=60)
