Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
New Object,object=Main:1
Method Call,caller=Main#main:1,target=Main:1#Main:1
Field Write,context=Main:1,sc=java.util.Scanner (id=364)
New Object,object=Main$AOJ1212:1
Method Call,caller=Main:1#Main:1,target=Main$AOJ1212:1#Main$AOJ1212:1
Field Write,context=Main$AOJ1212:1,EPS=1.0E-4
Field Read,context=Main:1,sc
Field Write,context=Main$AOJ1212:1,N=0
Field Read,context=Main$AOJ1212:1,N
Method Call,caller=Main$AOJ1212:1#Main$AOJ1212:1,target=Main$AOJ1212:1#solve:1
Field Read,context=Main$AOJ1212:1,N
New Object,object=java.awt.geom.Line2D[]:1
Variable Write,context=Main$AOJ1212:1#solve:1,mirrors=java.awt.geom.Line2D[]:1
Field Read,context=Main$AOJ1212:1,N
New Object,object=java.awt.geom.Line2D[]:2
Field Write,context=java.awt.geom.Line2D[]:2,0=null
Field Write,context=java.awt.geom.Line2D[]:2,1=null
Field Write,context=java.awt.geom.Line2D[]:2,2=null
Field Write,context=java.awt.geom.Line2D[]:2,3=null
Variable Write,context=Main$AOJ1212:1#solve:1,walls=java.awt.geom.Line2D[]:2
Field Write,context=java.awt.geom.Line2D[]:2,0=java.awt.geom.Line2D$Double (id=371)
Variable Write,context=Main$AOJ1212:1#solve:1,walls=java.awt.geom.Line2D[]:2
Field Write,context=java.awt.geom.Line2D[]:2,1=java.awt.geom.Line2D$Double (id=374)
Variable Write,context=Main$AOJ1212:1#solve:1,walls=java.awt.geom.Line2D[]:2
Field Write,context=java.awt.geom.Line2D[]:2,2=java.awt.geom.Line2D$Double (id=375)
Variable Write,context=Main$AOJ1212:1#solve:1,walls=java.awt.geom.Line2D[]:2
Field Write,context=java.awt.geom.Line2D[]:2,3=java.awt.geom.Line2D$Double (id=376)
Variable Write,context=Main$AOJ1212:1#solve:1,walls=java.awt.geom.Line2D[]:2
