Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
New Object,object=Main:1
Method Call,caller=Main#main:1,target=Main:1#Main:1
Field Write,context=Main:1,sc=java.util.Scanner (id=48)
Method Exit,returner=Main:1#Main:1,value=<void>
Method Call,caller=Main#main:1,target=Main:1#run:1
Field Read,context=Main:1,sc
Field Read,context=Main:1,sc
Variable Write,context=Main:1#run:1,sen=the cost of one peach is higher than that of one apple.
Variable Write,context=Main:1#run:1,sen=the cost of one peach is higher than that of one !!!.
Variable Write,context=Main:1#run:1,sen=the cost of one apple is higher than that of one !!!.
Variable Write,context=Main:1#run:1,sen=the cost of one apple is higher than that of one peach.
Field Read,context=Main:1,sc
