Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,sc=java.util.Scanner (id=363)
Variable Write,context=Main#main:1,n=5
Variable Write,context=Main#main:1,r=2
New Object,object=int[]:1
Field Write,context=int[]:1,0=0
Field Write,context=int[]:1,1=0
Field Write,context=int[]:1,2=0
Field Write,context=int[]:1,3=0
Field Write,context=int[]:1,4=0
Field Write,context=int[]:1,5=0
Variable Write,context=Main#main:1,card=int[]:1
Variable Write,context=Main#main:1,card=int[]:1
Variable Write,context=Main#main:1,i=5
Field Write,context=int[]:1,5=5
Variable Write,context=Main#main:1,card=int[]:1
Variable Write,context=Main#main:1,i=4
Field Write,context=int[]:1,4=4
Variable Write,context=Main#main:1,card=int[]:1
Variable Write,context=Main#main:1,i=3
Field Write,context=int[]:1,3=3
Variable Write,context=Main#main:1,card=int[]:1
Variable Write,context=Main#main:1,i=2
Field Write,context=int[]:1,2=2
Variable Write,context=Main#main:1,card=int[]:1
Variable Write,context=Main#main:1,i=1
Field Write,context=int[]:1,1=1
Variable Write,context=Main#main:1,card=int[]:1
Variable Delete,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=5>
Variable Write,context=Main#main:1,i=0
New Object,object=int[]:2
Field Write,context=int[]:2,0=0
Field Write,context=int[]:2,1=0
Field Write,context=int[]:2,2=0
Field Write,context=int[]:2,3=0
Field Write,context=int[]:2,4=0
Field Write,context=int[]:2,5=0
Variable Write,context=Main#main:1,suffledCard=int[]:2
Variable Write,context=Main#main:1,l=5
Field Write,context=int[]:2,5=5
Variable Write,context=Main#main:1,suffledCard=int[]:2
Variable Write,context=Main#main:1,l=4
Field Write,context=int[]:2,4=4
Variable Write,context=Main#main:1,suffledCard=int[]:2
Variable Write,context=Main#main:1,l=3
Field Write,context=int[]:2,3=3
Variable Write,context=Main#main:1,suffledCard=int[]:2
Variable Write,context=Main#main:1,l=2
Field Write,context=int[]:2,2=2
