Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,s=java.util.Scanner (id=363)
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,distance=8
Variable Write,context=Main#main:1,shopCnt=3
Variable Write,context=Main#main:1,orderCnt=2
New Object,object=int[]:1
Field Write,context=int[]:1,0=0
Field Write,context=int[]:1,1=0
Field Write,context=int[]:1,2=0
Variable Write,context=Main#main:1,load=int[]:1
Variable Write,context=Main#main:1,load=int[]:1
Variable Write,context=Main#main:1,i=1
Field Write,context=int[]:1,1=3
Variable Write,context=Main#main:1,load=int[]:1
Variable Write,context=Main#main:1,i=2
Field Write,context=int[]:1,2=1
Variable Write,context=Main#main:1,load=int[]:1
Variable Delete,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=7>
Variable Write,context=Main#main:1,i=0
Variable Write,context=Main#main:1,p=4
Variable Write,context=Main#main:1,position=-4
Variable Write,context=Main#main:1,position=3
Variable Write,context=Main#main:1,result=1
Variable Write,context=Main#main:1,i=1
Variable Delete,method=Main#main:1 <name=p,type=int (id=7),value=<?>,index=9>
Variable Delete,method=Main#main:1 <name=position,type=int (id=7),value=<?>,index=10>
Variable Write,context=Main#main:1,p=6
Variable Write,context=Main#main:1,position=-4
Variable Write,context=Main#main:1,position=3
Variable Write,context=Main#main:1,result=3
Variable Delete,method=Main#main:1 <name=p,type=int (id=7),value=<?>,index=9>
Variable Delete,method=Main#main:1 <name=position,type=int (id=7),value=<?>,index=10>
Variable Delete,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=8>
Variable Delete,method=Main#main:1 <name=result,type=int (id=7),value=0,index=2>
Variable Delete,method=Main#main:1 <name=distance,type=int (id=7),value=0,index=3>
Variable Delete,method=Main#main:1 <name=shopCnt,type=int (id=7),value=<?>,index=4>
Variable Delete,method=Main#main:1 <name=orderCnt,type=int (id=7),value=<?>,index=5>
Variable Delete,method=Main#main:1 <name=load,type=int[] (id=77),value=<?>,index=6>
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,distance=20
Variable Write,context=Main#main:1,shopCnt=4
Variable Write,context=Main#main:1,orderCnt=4
New Object,object=int[]:2
Field Write,context=int[]:2,0=0
Field Write,context=int[]:2,1=0
Field Write,context=int[]:2,2=0
Field Write,context=int[]:2,3=0
Variable Write,context=Main#main:1,load=int[]:2
Variable Write,context=Main#main:1,load=int[]:2
Variable Write,context=Main#main:1,i=1
Field Write,context=int[]:2,1=12
Variable Write,context=Main#main:1,load=int[]:2
Variable Write,context=Main#main:1,i=2
Field Write,context=int[]:2,2=8
Variable Write,context=Main#main:1,load=int[]:2
Variable Write,context=Main#main:1,i=3
Field Write,context=int[]:2,3=16
Variable Write,context=Main#main:1,load=int[]:2
Variable Delete,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=7>
Variable Write,context=Main#main:1,i=0
Variable Write,context=Main#main:1,p=7
Variable Write,context=Main#main:1,position=-2
Variable Write,context=Main#main:1,position=1
Variable Write,context=Main#main:1,result=1
Variable Write,context=Main#main:1,i=1
Variable Delete,method=Main#main:1 <name=p,type=int (id=7),value=<?>,index=9>
Variable Delete,method=Main#main:1 <name=position,type=int (id=7),value=<?>,index=10>
Variable Write,context=Main#main:1,p=7
Variable Write,context=Main#main:1,position=-2
Variable Write,context=Main#main:1,position=1
Variable Write,context=Main#main:1,result=2
Variable Write,context=Main#main:1,i=2
Variable Delete,method=Main#main:1 <name=p,type=int (id=7),value=<?>,index=9>
Variable Delete,method=Main#main:1 <name=position,type=int (id=7),value=<?>,index=10>
Variable Write,context=Main#main:1,p=11
Variable Write,context=Main#main:1,position=-3
Variable Write,context=Main#main:1,position=2
Variable Write,context=Main#main:1,result=3
Variable Write,context=Main#main:1,i=3
Variable Delete,method=Main#main:1 <name=p,type=int (id=7),value=<?>,index=9>
Variable Delete,method=Main#main:1 <name=position,type=int (id=7),value=<?>,index=10>
Variable Write,context=Main#main:1,p=8
Variable Write,context=Main#main:1,position=1
Variable Write,context=Main#main:1,position=1
Variable Write,context=Main#main:1,result=3
Variable Delete,method=Main#main:1 <name=p,type=int (id=7),value=<?>,index=9>
Variable Delete,method=Main#main:1 <name=position,type=int (id=7),value=<?>,index=10>
Variable Delete,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=8>
Variable Delete,method=Main#main:1 <name=result,type=int (id=7),value=0,index=2>
Variable Delete,method=Main#main:1 <name=distance,type=int (id=7),value=0,index=3>
Variable Delete,method=Main#main:1 <name=shopCnt,type=int (id=7),value=<?>,index=4>
Variable Delete,method=Main#main:1 <name=orderCnt,type=int (id=7),value=<?>,index=5>
Variable Delete,method=Main#main:1 <name=load,type=int[] (id=77),value=<?>,index=6>
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,distance=0
Method Exit,returner=Main#main:1,value=<void>
Thread End,
