Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#<clinit>:1
Field Write,context=Main,kbd=java.util.Scanner (id=44)
Method Exit,returner=Main#<clinit>:1,value=<void>
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Field Read,context=Main,kbd
Variable Write,context=Main#main:1,n=2
Method Call,caller=Main#main:1,target=Main#solve:1
New Object,object=long[]:1
Field Write,context=long[]:1,0=0
Field Write,context=long[]:1,1=0
Field Write,context=long[]:1,2=0
Field Write,context=long[]:1,3=0
Variable Write,context=Main#solve:1,a=long[]:1
New Object,object=long[]:2
Field Write,context=long[]:2,0=0
Field Write,context=long[]:2,1=0
Field Write,context=long[]:2,2=0
Field Write,context=long[]:2,3=0
Variable Write,context=Main#solve:1,b=long[]:2
Variable Write,context=Main#solve:1,i=0
Field Read,context=Main,kbd
Field Write,context=long[]:1,0=1
Variable Write,context=Main#solve:1,a=long[]:1
Variable Write,context=Main#solve:1,i=1
Field Read,context=Main,kbd
Field Write,context=long[]:1,1=2
Variable Write,context=Main#solve:1,a=long[]:1
Variable Write,context=Main#solve:1,i=2
Field Read,context=Main,kbd
Field Write,context=long[]:1,2=3
Variable Write,context=Main#solve:1,a=long[]:1
Variable Write,context=Main#solve:1,i=3
Field Read,context=Main,kbd
Field Write,context=long[]:1,3=4
Variable Write,context=Main#solve:1,a=long[]:1
Variable Write,context=Main#solve:1,i=4
Variable Write,context=Main#solve:1,i=0
Field Read,context=Main,kbd
Field Write,context=long[]:2,0=7
Variable Write,context=Main#solve:1,b=long[]:2
Variable Write,context=Main#solve:1,i=1
Field Read,context=Main,kbd
Field Write,context=long[]:2,1=6
Variable Write,context=Main#solve:1,b=long[]:2
Variable Write,context=Main#solve:1,i=2
Field Read,context=Main,kbd
Field Write,context=long[]:2,2=7
Variable Write,context=Main#solve:1,b=long[]:2
Variable Write,context=Main#solve:1,i=3
Field Read,context=Main,kbd
Field Write,context=long[]:2,3=8
Variable Write,context=Main#solve:1,b=long[]:2
Variable Write,context=Main#solve:1,i=4
New Object,object=long[]:3
Field Write,context=long[]:3,0=0
Field Write,context=long[]:3,1=0
Field Write,context=long[]:3,2=0
Field Write,context=long[]:3,3=0
Variable Write,context=Main#solve:1,ans=long[]:3
Field Write,context=long[]:3,0=-58
Variable Write,context=Main#solve:1,ans=long[]:3
Field Write,context=long[]:3,1=16
Variable Write,context=Main#solve:1,ans=long[]:3
Field Write,context=long[]:3,2=36
Variable Write,context=Main#solve:1,ans=long[]:3
Field Write,context=long[]:3,3=32
Variable Write,context=Main#solve:1,ans=long[]:3
Method Exit,returner=Main#solve:1,value=<void>
Method Call,caller=Main#main:1,target=Main#solve:2
New Object,object=long[]:4
Field Write,context=long[]:4,0=0
Field Write,context=long[]:4,1=0
Field Write,context=long[]:4,2=0
Field Write,context=long[]:4,3=0
Variable Write,context=Main#solve:2,a=long[]:4
New Object,object=long[]:5
Field Write,context=long[]:5,0=0
Field Write,context=long[]:5,1=0
Field Write,context=long[]:5,2=0
Field Write,context=long[]:5,3=0
Variable Write,context=Main#solve:2,b=long[]:5
Variable Write,context=Main#solve:2,i=0
Field Read,context=Main,kbd
Field Write,context=long[]:4,0=5
Variable Write,context=Main#solve:2,a=long[]:4
Variable Write,context=Main#solve:2,i=1
Field Read,context=Main,kbd
Field Write,context=long[]:4,1=6
Variable Write,context=Main#solve:2,a=long[]:4
Variable Write,context=Main#solve:2,i=2
Field Read,context=Main,kbd
Field Write,context=long[]:4,2=7
Variable Write,context=Main#solve:2,a=long[]:4
Variable Write,context=Main#solve:2,i=3
Field Read,context=Main,kbd
Field Write,context=long[]:4,3=8
Variable Write,context=Main#solve:2,a=long[]:4
Variable Write,context=Main#solve:2,i=4
Variable Write,context=Main#solve:2,i=0
Field Read,context=Main,kbd
Field Write,context=long[]:5,0=3
Variable Write,context=Main#solve:2,b=long[]:5
Variable Write,context=Main#solve:2,i=1
Field Read,context=Main,kbd
Field Write,context=long[]:5,1=2
Variable Write,context=Main#solve:2,b=long[]:5
Variable Write,context=Main#solve:2,i=2
Field Read,context=Main,kbd
Field Write,context=long[]:5,2=3
Variable Write,context=Main#solve:2,b=long[]:5
Variable Write,context=Main#solve:2,i=3
Field Read,context=Main,kbd
Field Write,context=long[]:5,3=4
Variable Write,context=Main#solve:2,b=long[]:5
Variable Write,context=Main#solve:2,i=4
New Object,object=long[]:6
Field Write,context=long[]:6,0=0
Field Write,context=long[]:6,1=0
Field Write,context=long[]:6,2=0
Field Write,context=long[]:6,3=0
Variable Write,context=Main#solve:2,ans=long[]:6
Field Write,context=long[]:6,0=-50
Variable Write,context=Main#solve:2,ans=long[]:6
Field Write,context=long[]:6,1=32
Variable Write,context=Main#solve:2,ans=long[]:6
Field Write,context=long[]:6,2=28
Variable Write,context=Main#solve:2,ans=long[]:6
Field Write,context=long[]:6,3=48
Variable Write,context=Main#solve:2,ans=long[]:6
Method Exit,returner=Main#solve:2,value=<void>
Variable Delete,method=Main#main:1 <name=n,type=int (id=7),value=0,index=1>
Field Read,context=Main,kbd
Variable Write,context=Main#main:1,n=0
Method Exit,returner=Main#main:1,value=<void>
Thread End,
