Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,sc=java.util.Scanner (id=47)
Variable Write,context=Main#main:1,sYear=2006
Variable Write,context=Main#main:1,sMonth=9
Variable Write,context=Main#main:1,sDay=2
Variable Write,context=Main#main:1,eYear=2006
Variable Write,context=Main#main:1,eMonth=9
Variable Write,context=Main#main:1,eDay=3
Method Call,caller=Main#main:1,target=Main#g:1
Variable Write,context=Main#g:1,sd=2
Variable Write,context=Main#g:1,ey=2006
Variable Write,context=Main#g:1,sy=2006
Variable Write,context=Main#g:1,sm=9
Variable Write,context=Main#g:1,em=9
Variable Write,context=Main#g:1,ed=3
Variable Write,context=Main#g:1,startDay=732311
Variable Write,context=Main#g:1,startDay=732342
Variable Write,context=Main#g:1,startDay=732370
Variable Write,context=Main#g:1,startDay=732401
Variable Write,context=Main#g:1,startDay=732431
Variable Write,context=Main#g:1,startDay=732462
Variable Write,context=Main#g:1,startDay=732492
Variable Write,context=Main#g:1,startDay=732523
Variable Write,context=Main#g:1,startDay=732554
Variable Write,context=Main#g:1,startDay=732556
Variable Write,context=Main#g:1,endDay=732311
Variable Write,context=Main#g:1,endDay=732342
Variable Write,context=Main#g:1,endDay=732370
Variable Write,context=Main#g:1,endDay=732401
Variable Write,context=Main#g:1,endDay=732431
Variable Write,context=Main#g:1,endDay=732462
Variable Write,context=Main#g:1,endDay=732492
Variable Write,context=Main#g:1,endDay=732523
Variable Write,context=Main#g:1,endDay=732554
Variable Write,context=Main#g:1,endDay=732557
Variable Write,context=Main#g:1,result=1
Method Exit,returner=Main#g:1,value=1
Variable Write,context=Main#main:1,sYear=2006
Variable Write,context=Main#main:1,sMonth=9
Variable Write,context=Main#main:1,sDay=2
Variable Write,context=Main#main:1,eYear=2006
Variable Write,context=Main#main:1,eMonth=11
Variable Write,context=Main#main:1,eDay=11
Method Call,caller=Main#main:1,target=Main#g:2
Variable Write,context=Main#g:2,sd=2
