Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#<clinit>:1
New Object,object=int[]:1
Field Write,context=int[]:1,0=1
Field Write,context=int[]:1,1=0
Field Write,context=int[]:1,2=-1
Field Write,context=int[]:1,3=0
Field Write,context=Main,dx=int[]:1
New Object,object=int[]:2
Field Write,context=int[]:2,0=0
Field Write,context=int[]:2,1=1
Field Write,context=int[]:2,2=0
Field Write,context=int[]:2,3=-1
Field Write,context=Main,dy=int[]:2
Method Exit,returner=Main#<clinit>:1,value=<void>
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,s=java.io.BufferedReader (id=344)
Variable Write,context=Main#main:1,out=java.io.PrintWriter (id=345)
Variable Write,context=Main#main:1,m=3
Variable Write,context=Main#main:1,n=3
New Object,object=int[][]:1
New Object,object=int[]:3
Field Write,context=int[]:3,0=0
Field Write,context=int[]:3,1=0
Field Write,context=int[]:3,2=0
Field Write,context=int[][]:1,0=int[]:3
New Object,object=int[]:4
Field Write,context=int[]:4,0=0
Field Write,context=int[]:4,1=0
Field Write,context=int[]:4,2=0
Field Write,context=int[][]:1,1=int[]:4
New Object,object=int[]:5
Field Write,context=int[]:5,0=0
Field Write,context=int[]:5,1=0
Field Write,context=int[]:5,2=0
Field Write,context=int[][]:1,2=int[]:5
Field Write,context=Main,map=int[][]:1
Variable Write,context=Main#main:1,i=0
New Object,object=java.lang.String[]:2
Field Write,context=java.lang.String[]:2,0=1
Field Write,context=java.lang.String[]:2,1=1
Field Write,context=java.lang.String[]:2,2=0
Variable Write,context=Main#main:1,data=java.lang.String[]:2
Variable Write,context=Main#main:1,j=0
Field Read,context=Main,map
Variable Write,context=Main#main:1,j=1
Field Read,context=Main,map
Variable Write,context=Main#main:1,j=2
Field Read,context=Main,map
Variable Write,context=Main#main:1,i=1
Variable Delete,method=Main#main:1 <name=data,type=java.lang.String[] (id=59),value=<?>,index=6>
Variable Delete,method=Main#main:1 <name=j,type=int (id=7),value=<?>,index=7>
New Object,object=java.lang.String[]:3
