Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,stdIn=java.util.Scanner (id=47)
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,n=35
Variable Write,context=Main#main:1,a=0
Variable Write,context=Main#main:1,b=0
Variable Write,context=Main#main:1,c=0
Variable Write,context=Main#main:1,d=0
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,d=1
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,d=2
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,d=3
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,d=4
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,d=5
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,d=6
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,d=7
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,d=8
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,d=9
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,c=1
Variable Delete,method=Main#main:1 <name=d,type=int (id=7),value=<?>,index=7>
Variable Write,context=Main#main:1,d=0
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,d=1
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,d=2
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,d=3
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,d=4
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,d=5
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,d=6
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,d=7
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,d=8
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,d=9
Variable Write,context=Main#main:1,result=0
Variable Write,context=Main#main:1,c=2
