Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#<clinit>:1
Field Write,context=Main,scan=java.util.Scanner (id=362)
Field Write,context=Main,modifyingText=java.util.ArrayList (id=363)
Field Write,context=Main,cursorLocLine=0
Field Write,context=Main,cursorLocRow=0
Method Exit,returner=Main#<clinit>:1,value=<void>
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Method Call,caller=Main#main:1,target=Main#giveTextLine:1
Variable Write,context=Main#giveTextLine:1,inputText=java.util.ArrayList (id=365)
Variable Write,context=Main#giveTextLine:1,i=0
Field Read,context=Main,scan
Variable Write,context=Main#giveTextLine:1,input=hyo
Variable Write,context=Main#giveTextLine:1,i=1
Field Read,context=Main,scan
Variable Write,context=Main#giveTextLine:1,input=ni
Variable Write,context=Main#giveTextLine:1,i=2
Field Read,context=Main,scan
Variable Write,context=Main#giveTextLine:1,input=END_OF_TEXT
Variable Write,context=Main#giveTextLine:1,result=java.util.ArrayList (id=365)
Method Exit,returner=Main#giveTextLine:1,value=java.util.ArrayList (id=365)
Variable Write,context=Main#main:1,inputText=java.util.ArrayList (id=365)
Method Call,caller=Main#main:1,target=Main#giveCommand:1
Variable Write,context=Main#giveCommand:1,inputCommand=java.util.ArrayList (id=369)
Variable Write,context=Main#giveCommand:1,i=0
Field Read,context=Main,scan
Variable Write,context=Main#giveCommand:1,input=f
Variable Write,context=Main#giveCommand:1,i=1
Field Read,context=Main,scan
Variable Write,context=Main#giveCommand:1,input=d
Variable Write,context=Main#giveCommand:1,i=2
Field Read,context=Main,scan
Variable Write,context=Main#giveCommand:1,input=f
Variable Write,context=Main#giveCommand:1,i=3
Field Read,context=Main,scan
Variable Write,context=Main#giveCommand:1,input=f
Variable Write,context=Main#giveCommand:1,i=4
Field Read,context=Main,scan
Variable Write,context=Main#giveCommand:1,input=k
Variable Write,context=Main#giveCommand:1,i=5
Field Read,context=Main,scan
Variable Write,context=Main#giveCommand:1,input=p
Variable Write,context=Main#giveCommand:1,i=6
Field Read,context=Main,scan
Variable Write,context=Main#giveCommand:1,input=p
Variable Write,context=Main#giveCommand:1,i=7
Field Read,context=Main,scan
Variable Write,context=Main#giveCommand:1,input=e
Variable Write,context=Main#giveCommand:1,i=8
Field Read,context=Main,scan
Variable Write,context=Main#giveCommand:1,input=y
Variable Write,context=Main#giveCommand:1,i=9
Field Read,context=Main,scan
Variable Write,context=Main#giveCommand:1,input=a
Variable Write,context=Main#giveCommand:1,i=10
Field Read,context=Main,scan
Variable Write,context=Main#giveCommand:1,input=k
Variable Write,context=Main#giveCommand:1,i=11
Field Read,context=Main,scan
Variable Write,context=Main#giveCommand:1,input=y
Variable Write,context=Main#giveCommand:1,i=12
Field Read,context=Main,scan
Variable Write,context=Main#giveCommand:1,input=y
Variable Write,context=Main#giveCommand:1,i=13
Field Read,context=Main,scan
Variable Write,context=Main#giveCommand:1,input=n
Variable Write,context=Main#giveCommand:1,i=14
Field Read,context=Main,scan
Variable Write,context=Main#giveCommand:1,input=y
Variable Write,context=Main#giveCommand:1,i=15
Field Read,context=Main,scan
Variable Write,context=Main#giveCommand:1,input=-
Variable Write,context=Main#giveCommand:1,result=java.util.ArrayList (id=369)
Method Exit,returner=Main#giveCommand:1,value=java.util.ArrayList (id=369)
Variable Write,context=Main#main:1,inputCommand=java.util.ArrayList (id=369)
Method Call,caller=Main#main:1,target=Main#modifyText:1
Variable Write,context=Main#modifyText:1,inputCommand=java.util.ArrayList (id=369)
Variable Write,context=Main#modifyText:1,inputText=java.util.ArrayList (id=365)
Variable Write,context=Main#modifyText:1,i=0
Field Read,context=Main,modifyingText
Variable Write,context=Main#modifyText:1,i=1
Field Read,context=Main,modifyingText
Variable Delete,method=Main#modifyText:1 <name=i,type=int (id=7),value=<?>,index=2>
Variable Write,context=Main#modifyText:1,i=0
Method Call,caller=Main#modifyText:1,target=Main#editF:1
Method Call,caller=Main#editF:1,target=Main#isLastRow:1
Field Read,context=Main,modifyingText
Field Read,context=Main,cursorLocLine
Field Read,context=Main,cursorLocRow
Variable Write,context=Main#isLastRow:1,result=false
Method Exit,returner=Main#isLastRow:1,value=false
Field Read,context=Main,cursorLocRow
Field Write,context=Main,cursorLocRow=1
Method Exit,returner=Main#editF:1,value=<void>
Variable Write,context=Main#modifyText:1,i=1
Method Call,caller=Main#modifyText:1,target=Main#editD:1
Method Call,caller=Main#editD:1,target=Main#isLastRow:2
Field Read,context=Main,modifyingText
Field Read,context=Main,cursorLocLine
Field Read,context=Main,cursorLocRow
Variable Write,context=Main#isLastRow:2,result=false
Method Exit,returner=Main#isLastRow:2,value=false
Field Read,context=Main,modifyingText
Field Read,context=Main,cursorLocLine
Field Read,context=Main,cursorLocRow
Method Call,caller=Main#editD:1,target=Main#remove:1
Variable Write,context=Main#remove:1,removeIndex=1
Variable Write,context=Main#remove:1,str=hyo$
Variable Write,context=Main#remove:1,builder=java.lang.StringBuilder (id=387)
Variable Write,context=Main#remove:1,result=ho$
Method Exit,returner=Main#remove:1,value=ho$
Method Call,caller=Main#editD:1,target=Main#replaceCurrentLine:1
Variable Write,context=Main#replaceCurrentLine:1,str=ho$
Field Read,context=Main,modifyingText
Field Read,context=Main,cursorLocLine
Method Exit,returner=Main#replaceCurrentLine:1,value=<void>
Method Exit,returner=Main#editD:1,value=<void>
Variable Write,context=Main#modifyText:1,i=2
Method Call,caller=Main#modifyText:1,target=Main#editF:2
Method Call,caller=Main#editF:2,target=Main#isLastRow:3
Field Read,context=Main,modifyingText
Field Read,context=Main,cursorLocLine
Field Read,context=Main,cursorLocRow
Variable Write,context=Main#isLastRow:3,result=false
Method Exit,returner=Main#isLastRow:3,value=false
Field Read,context=Main,cursorLocRow
Field Write,context=Main,cursorLocRow=2
Method Exit,returner=Main#editF:2,value=<void>
Variable Write,context=Main#modifyText:1,i=3
Method Call,caller=Main#modifyText:1,target=Main#editF:3
Method Call,caller=Main#editF:3,target=Main#isLastRow:4
Field Read,context=Main,modifyingText
Field Read,context=Main,cursorLocLine
Field Read,context=Main,cursorLocRow
Variable Write,context=Main#isLastRow:4,result=true
Method Exit,returner=Main#isLastRow:4,value=true
Method Call,caller=Main#editF:3,target=Main#isLastLine:1
Field Read,context=Main,modifyingText
Field Read,context=Main,cursorLocLine
Variable Write,context=Main#isLastLine:1,result=false
Method Exit,returner=Main#isLastLine:1,value=false
Field Read,context=Main,cursorLocLine
Field Write,context=Main,cursorLocLine=1
Field Write,context=Main,cursorLocRow=0
Method Exit,returner=Main#editF:3,value=<void>
Variable Write,context=Main#modifyText:1,i=4
Method Call,caller=Main#modifyText:1,target=Main#editK:1
Method Call,caller=Main#editK:1,target=Main#isLastRow:5
Field Read,context=Main,modifyingText
Field Read,context=Main,cursorLocLine
Field Read,context=Main,cursorLocRow
Variable Write,context=Main#isLastRow:5,result=false
Method Exit,returner=Main#isLastRow:5,value=false
Method Call,caller=Main#editK:1,target=Main#currentLineString:1
Field Read,context=Main,modifyingText
