Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,sc=java.util.Scanner (id=363)
Variable Write,context=Main#main:1,N=2
Variable Write,context=Main#main:1,K=3
New Object,object=int[]:1
Field Write,context=int[]:1,0=0
Field Write,context=int[]:1,1=0
Field Write,context=int[]:1,2=0
Variable Write,context=Main#main:1,drinks=int[]:1
Variable Write,context=Main#main:1,i=0
Field Write,context=int[]:1,0=5
Variable Write,context=Main#main:1,drinks=int[]:1
Variable Write,context=Main#main:1,i=1
Field Write,context=int[]:1,1=4
Variable Write,context=Main#main:1,drinks=int[]:1
Variable Write,context=Main#main:1,i=2
Field Write,context=int[]:1,2=5
Variable Write,context=Main#main:1,drinks=int[]:1
Variable Delete,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=5>
Variable Write,context=Main#main:1,flag=true
Variable Write,context=Main#main:1,i=0
Variable Write,context=Main#main:1,j=0
Field Write,context=int[]:1,0=4
Variable Write,context=Main#main:1,drinks=int[]:1
Variable Write,context=Main#main:1,j=1
Field Write,context=int[]:1,1=2
Variable Write,context=Main#main:1,drinks=int[]:1
Variable Write,context=Main#main:1,j=2
Field Write,context=int[]:1,2=2
Variable Write,context=Main#main:1,drinks=int[]:1
Variable Write,context=Main#main:1,i=1
Variable Delete,method=Main#main:1 <name=j,type=int (id=7),value=<?>,index=8>
Variable Write,context=Main#main:1,j=0
Field Write,context=int[]:1,0=1
Variable Write,context=Main#main:1,drinks=int[]:1
Variable Write,context=Main#main:1,j=1
Field Write,context=int[]:1,1=0
Variable Write,context=Main#main:1,drinks=int[]:1
Variable Write,context=Main#main:1,j=2
Field Write,context=int[]:1,2=1
Variable Write,context=Main#main:1,drinks=int[]:1
Variable Delete,method=Main#main:1 <name=j,type=int (id=7),value=<?>,index=8>
Variable Delete,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=7>
Variable Delete,method=Main#main:1 <name=N,type=int (id=7),value=0,index=2>
