Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
New Object,object=Main:1
Method Call,caller=Main#main:1,target=Main:1#Main:1
Method Exit,returner=Main:1#Main:1,value=<void>
Method Call,caller=Main#main:1,target=Main:1#doit:1
Variable Write,context=Main:1#doit:1,sc=java.util.Scanner (id=364)
Field Write,context=Main:1,n=8
Field Read,context=Main:1,n
Variable Write,context=Main:1#doit:1,d=2
Field Read,context=Main:1,n
New Object,object=java.lang.String[]:2
Field Write,context=java.lang.String[]:2,0=null
Field Write,context=java.lang.String[]:2,1=null
Field Write,context=java.lang.String[]:2,2=null
Field Write,context=java.lang.String[]:2,3=null
Field Write,context=java.lang.String[]:2,4=null
Field Write,context=java.lang.String[]:2,5=null
Field Write,context=java.lang.String[]:2,6=null
Field Write,context=java.lang.String[]:2,7=null
Field Write,context=Main:1,data=java.lang.String[]:2
Variable Write,context=Main:1#doit:1,set=java.util.HashSet (id=366)
Field Read,context=Main:1,n
Variable Write,context=Main:1#doit:1,i=0
Field Read,context=Main:1,data
Field Write,context=java.lang.String[]:2,0=omura
Field Read,context=Main:1,data
Field Read,context=Main:1,n
Variable Write,context=Main:1#doit:1,i=1
Field Read,context=Main:1,data
Field Write,context=java.lang.String[]:2,1=toshio
Field Read,context=Main:1,data
Field Read,context=Main:1,n
Variable Write,context=Main:1#doit:1,i=2
Field Read,context=Main:1,data
Field Write,context=java.lang.String[]:2,2=raku
Field Read,context=Main:1,data
Field Read,context=Main:1,n
Variable Write,context=Main:1#doit:1,i=3
Field Read,context=Main:1,data
Field Write,context=java.lang.String[]:2,3=tanaka
Field Read,context=Main:1,data
Field Read,context=Main:1,n
Variable Write,context=Main:1#doit:1,i=4
Field Read,context=Main:1,data
Field Write,context=java.lang.String[]:2,4=imura
Field Read,context=Main:1,data
Field Read,context=Main:1,n
Variable Write,context=Main:1#doit:1,i=5
Field Read,context=Main:1,data
Field Write,context=java.lang.String[]:2,5=yoshoi
