Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
New Object,object=Main:1
Method Call,caller=Main#main:1,target=Main:1#Main:1
Method Exit,returner=Main:1#Main:1,value=<void>
Method Call,caller=Main#main:1,target=Main:1#run:1
New Object,object=Main$Scanner:1
Method Call,caller=Main:1#run:1,target=Main$Scanner:1#Scanner:1
Method Exit,returner=Main$Scanner:1#Scanner:1,value=<void>
Variable Write,context=Main:1#run:1,sc=Main$Scanner:1
Variable Write,context=Main:1#run:1,INF=2147483647
Variable Write,context=Main:1#run:1,min=int[][1000] (id=347)
Method Call,caller=Main:1#run:1,target=Main$Scanner:1#nextInt:1
Variable Write,context=Main$Scanner:1#nextInt:1,c=51
Variable Write,context=Main$Scanner:1#nextInt:1,res=0
Variable Write,context=Main$Scanner:1#nextInt:1,res=0
Variable Write,context=Main$Scanner:1#nextInt:1,res=3
Variable Write,context=Main$Scanner:1#nextInt:1,c=32
Variable Write,context=Main$Scanner:1#nextInt:1,result=3
Method Exit,returner=Main$Scanner:1#nextInt:1,value=3
Method Call,caller=Main:1#run:1,target=Main$Scanner:1#nextInt:2
Variable Write,context=Main$Scanner:1#nextInt:2,c=51
Variable Write,context=Main$Scanner:1#nextInt:2,res=0
Variable Write,context=Main$Scanner:1#nextInt:2,res=0
Variable Write,context=Main$Scanner:1#nextInt:2,res=3
Variable Write,context=Main$Scanner:1#nextInt:2,c=32
Variable Write,context=Main$Scanner:1#nextInt:2,result=3
Method Exit,returner=Main$Scanner:1#nextInt:2,value=3
Method Call,caller=Main:1#run:1,target=Main$Scanner:1#nextInt:3
Variable Write,context=Main$Scanner:1#nextInt:3,c=52
Variable Write,context=Main$Scanner:1#nextInt:3,res=0
Variable Write,context=Main$Scanner:1#nextInt:3,res=0
Variable Write,context=Main$Scanner:1#nextInt:3,res=4
Variable Write,context=Main$Scanner:1#nextInt:3,c=13
Variable Write,context=Main$Scanner:1#nextInt:3,result=4
