Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#<clinit>:1
New Object,object=int[][]:1
New Object,object=int[]:1
Field Write,context=int[]:1,0=0
Field Write,context=int[]:1,1=300
Field Write,context=int[]:1,2=500
Field Write,context=int[]:1,3=600
Field Write,context=int[]:1,4=700
Field Write,context=int[]:1,5=1350
Field Write,context=int[]:1,6=1650
Field Write,context=int[][]:1,0=int[]:1
New Object,object=int[]:2
Field Write,context=int[]:2,0=0
Field Write,context=int[]:2,1=0
Field Write,context=int[]:2,2=350
Field Write,context=int[]:2,3=450
Field Write,context=int[]:2,4=600
Field Write,context=int[]:2,5=1150
Field Write,context=int[]:2,6=1500
Field Write,context=int[][]:1,1=int[]:2
New Object,object=int[]:3
Field Write,context=int[]:3,0=0
Field Write,context=int[]:3,1=0
Field Write,context=int[]:3,2=0
Field Write,context=int[]:3,3=250
Field Write,context=int[]:3,4=400
Field Write,context=int[]:3,5=1000
Field Write,context=int[]:3,6=1350
Field Write,context=int[][]:1,2=int[]:3
New Object,object=int[]:4
Field Write,context=int[]:4,0=0
Field Write,context=int[]:4,1=0
Field Write,context=int[]:4,2=0
Field Write,context=int[]:4,3=0
Field Write,context=int[]:4,4=250
Field Write,context=int[]:4,5=850
Field Write,context=int[]:4,6=1300
Field Write,context=int[][]:1,3=int[]:4
New Object,object=int[]:5
Field Write,context=int[]:5,0=0
Field Write,context=int[]:5,1=0
Field Write,context=int[]:5,2=0
Field Write,context=int[]:5,3=0
Field Write,context=int[]:5,4=0
Field Write,context=int[]:5,5=600
Field Write,context=int[]:5,6=1150
Field Write,context=int[][]:1,4=int[]:5
New Object,object=int[]:6
Field Write,context=int[]:6,0=0
Field Write,context=int[]:6,1=0
Field Write,context=int[]:6,2=0
Field Write,context=int[]:6,3=0
Field Write,context=int[]:6,4=0
Field Write,context=int[]:6,5=0
Field Write,context=int[]:6,6=500
Field Write,context=int[][]:1,5=int[]:6
Field Write,context=Main,money=int[][]:1
New Object,object=int[][]:2
New Object,object=int[]:7
Field Write,context=int[]:7,0=0
Field Write,context=int[]:7,1=6
Field Write,context=int[]:7,2=13
