Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
New Object,object=Main$MyScanner:1
Method Call,caller=Main#main:1,target=Main$MyScanner:1#Main$MyScanner:1
Field Write,context=Main$MyScanner:1,br=java.io.BufferedReader (id=345)
Method Exit,returner=Main$MyScanner:1#Main$MyScanner:1,value=<void>
Variable Write,context=Main#main:1,sc=Main$MyScanner:1
Field Write,context=Main,out=java.io.PrintWriter (id=346)
Method Call,caller=Main#main:1,target=Main$MyScanner:1#nextInt:1
Method Call,caller=Main$MyScanner:1#nextInt:1,target=Main$MyScanner:1#next:1
Field Read,context=Main$MyScanner:1,st
Field Read,context=Main$MyScanner:1,br
Field Write,context=Main$MyScanner:1,st=java.util.StringTokenizer (id=348)
Field Read,context=Main$MyScanner:1,st
Field Read,context=Main$MyScanner:1,st
Field Read,context=Main$MyScanner:1,st
Variable Write,context=Main$MyScanner:1#next:1,result=4
Method Exit,returner=Main$MyScanner:1#next:1,value=4
Variable Write,context=Main$MyScanner:1#nextInt:1,result=4
Method Exit,returner=Main$MyScanner:1#nextInt:1,value=4
Variable Write,context=Main#main:1,n=4
New Object,object=int[]:1
Field Write,context=int[]:1,0=0
Field Write,context=int[]:1,1=0
Field Write,context=int[]:1,2=0
Field Write,context=int[]:1,3=0
Variable Write,context=Main#main:1,a=int[]:1
New Object,object=int[]:2
Field Write,context=int[]:2,0=0
Field Write,context=int[]:2,1=0
Field Write,context=int[]:2,2=0
Field Write,context=int[]:2,3=0
Variable Write,context=Main#main:1,b=int[]:2
New Object,object=int[]:3
Field Write,context=int[]:3,0=0
Field Write,context=int[]:3,1=0
Field Write,context=int[]:3,2=0
Field Write,context=int[]:3,3=0
Field Write,context=int[]:3,4=0
Field Write,context=int[]:3,5=0
Field Write,context=int[]:3,6=0
Field Write,context=int[]:3,7=0
Variable Write,context=Main#main:1,p2=int[]:3
Variable Write,context=Main#main:1,i=0
