Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,Rem=java.util.ArrayList (id=24)
Variable Write,context=Main#main:1,sc=java.util.Scanner (id=50)
Variable Write,context=Main#main:1,p=1
Variable Write,context=Main#main:1,q=12
Variable Write,context=Main#main:1,rem=1
Variable Write,context=Main#main:1,p=10
Variable Write,context=Main#main:1,ans=
Variable Write,context=Main#main:1,quo=0
Variable Write,context=Main#main:1,rem=10
Variable Write,context=Main#main:1,ans=0
Variable Write,context=Main#main:1,p=100
Variable Write,context=Main#main:1,quo=8
Variable Write,context=Main#main:1,rem=4
Variable Write,context=Main#main:1,ans=08
Variable Write,context=Main#main:1,p=40
Variable Write,context=Main#main:1,quo=3
Variable Write,context=Main#main:1,rem=4
Variable Write,context=Main#main:1,ans=083
Variable Write,context=Main#main:1,rec=true
Variable Write,context=Main#main:1,rec_p=
Variable Write,context=Main#main:1,i=0
Variable Write,context=Main#main:1,rec_p=
Variable Write,context=Main#main:1,rec_p=
Variable Write,context=Main#main:1,i=1
Variable Write,context=Main#main:1,rec_p=
Variable Write,context=Main#main:1,rec_p=
Variable Write,context=Main#main:1,i=2
Variable Write,context=Main#main:1,rec_p=  ^
Variable Write,context=Main#main:1,p=10000
Variable Write,context=Main#main:1,q=32768
Variable Write,context=Main#main:1,rem=10000
Variable Write,context=Main#main:1,p=100000
Variable Write,context=Main#main:1,ans=
Variable Write,context=Main#main:1,quo=3
Variable Write,context=Main#main:1,rem=1696
Variable Write,context=Main#main:1,ans=3
Variable Write,context=Main#main:1,p=16960
Variable Write,context=Main#main:1,quo=0
Variable Write,context=Main#main:1,rem=16960
Variable Write,context=Main#main:1,ans=30
Variable Write,context=Main#main:1,p=169600
Variable Write,context=Main#main:1,quo=5
Variable Write,context=Main#main:1,rem=5760
Variable Write,context=Main#main:1,ans=305
Variable Write,context=Main#main:1,p=57600
Variable Write,context=Main#main:1,quo=1
