Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#<clinit>:1
Field Write,context=Main,MAX=50022
Field Read,context=Main,MAX
Field Write,context=Main,prm=boolean[50022] (id=21)
Method Exit,returner=Main#<clinit>:1,value=<void>
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Field Read,context=Main,MAX
Variable Write,context=Main#main:1,small=50022
Variable Write,context=Main#main:1,large=0
Method Call,caller=Main#main:1,target=Main#init:1
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
Field Read,context=Main,MAX
Field Read,context=Main,prm
