Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,bfr=java.io.BufferedReader (id=24)
Variable Write,context=Main#main:1,str=
Variable Write,context=Main#main:1,mazu=0
Variable Write,context=Main#main:1,str=4
Variable Write,context=Main#main:1,mazu=4
New Object,object=java.lang.String[]:2
Field Write,context=java.lang.String[]:2,0=null
Field Write,context=java.lang.String[]:2,1=null
Field Write,context=java.lang.String[]:2,2=null
Field Write,context=java.lang.String[]:2,3=null
Variable Write,context=Main#main:1,moji=java.lang.String[]:2
Variable Write,context=Main#main:1,i=0
Field Write,context=java.lang.String[]:2,0=52 96 15 20
Variable Write,context=Main#main:1,moji=java.lang.String[]:2
Variable Write,context=Main#main:1,i=1
Field Write,context=java.lang.String[]:2,1=86 22 35 45
Variable Write,context=Main#main:1,moji=java.lang.String[]:2
Variable Write,context=Main#main:1,i=2
Field Write,context=java.lang.String[]:2,2=45 78 54 36
Variable Write,context=Main#main:1,moji=java.lang.String[]:2
Variable Write,context=Main#main:1,i=3
Field Write,context=java.lang.String[]:2,3=16 86 74 55
Variable Write,context=Main#main:1,moji=java.lang.String[]:2
Variable Delete,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=7>
New Object,object=int[][]:1
New Object,object=int[]:1
Field Write,context=int[]:1,0=0
Field Write,context=int[]:1,1=0
Field Write,context=int[]:1,2=0
Field Write,context=int[]:1,3=0
Field Write,context=int[]:1,4=0
Field Write,context=int[][]:1,0=int[]:1
New Object,object=int[]:2
Field Write,context=int[]:2,0=0
Field Write,context=int[]:2,1=0
Field Write,context=int[]:2,2=0
Field Write,context=int[]:2,3=0
Field Write,context=int[]:2,4=0
Field Write,context=int[][]:1,1=int[]:2
New Object,object=int[]:3
Field Write,context=int[]:3,0=0
Field Write,context=int[]:3,1=0
Field Write,context=int[]:3,2=0
Field Write,context=int[]:3,3=0
Field Write,context=int[]:3,4=0
Field Write,context=int[][]:1,2=int[]:3
