Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,sc=java.util.Scanner (id=47)
Variable Write,context=Main#main:1,N=3
Variable Write,context=Main#main:1,Q=3
New Object,object=int[]:1
Field Write,context=int[]:1,0=0
Field Write,context=int[]:1,1=0
Field Write,context=int[]:1,2=0
Variable Write,context=Main#main:1,array=int[]:1
Variable Write,context=Main#main:1,i=0
Field Write,context=int[]:1,0=9
Variable Write,context=Main#main:1,array=int[]:1
Variable Write,context=Main#main:1,i=1
Field Write,context=int[]:1,1=3
Variable Write,context=Main#main:1,array=int[]:1
Variable Write,context=Main#main:1,i=2
Field Write,context=int[]:1,2=8
Variable Write,context=Main#main:1,array=int[]:1
Variable Delete,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=5>
Variable Write,context=Main#main:1,i=0
Variable Write,context=Main#main:1,mod=4
Variable Write,context=Main#main:1,max=0
Variable Write,context=Main#main:1,d=3
Variable Write,context=Main#main:1,pos=0
Variable Write,context=Main#main:1,max=3
Variable Delete,method=Main#main:1 <name=d,type=int (id=7),value=<?>,index=9>
Variable Delete,method=Main#main:1 <name=pos,type=int (id=7),value=<?>,index=10>
Variable Write,context=Main#main:1,i=1
Variable Delete,method=Main#main:1 <name=mod,type=int (id=7),value=<?>,index=7>
Variable Delete,method=Main#main:1 <name=max,type=int (id=7),value=<?>,index=8>
Variable Write,context=Main#main:1,mod=6
Variable Write,context=Main#main:1,max=0
Variable Write,context=Main#main:1,d=5
Variable Write,context=Main#main:1,pos=-2
Variable Write,context=Main#main:1,pos=0
Variable Write,context=Main#main:1,max=3
Variable Write,context=Main#main:1,d=11
Variable Delete,method=Main#main:1 <name=pos,type=int (id=7),value=<?>,index=10>
Variable Write,context=Main#main:1,pos=-4
Variable Write,context=Main#main:1,pos=2
Variable Write,context=Main#main:1,max=3
Variable Write,context=Main#main:1,d=17
