Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,input=java.io.BufferedInputStream (id=24)
Variable Write,context=Main#main:1,inputReader=java.io.InputStreamReader (id=27)
Variable Write,context=Main#main:1,bufferedReader=java.io.BufferedReader (id=30)
Method Call,caller=Main#main:1,target=Main#convertToIntArray:1
New Object,object=java.lang.String[]:2
Field Write,context=java.lang.String[]:2,0=3
Field Write,context=java.lang.String[]:2,1=4
Field Write,context=java.lang.String[]:2,2=600
Variable Write,context=Main#convertToIntArray:1,target=java.lang.String[]:2
New Object,object=int[]:1
Field Write,context=int[]:1,0=0
Field Write,context=int[]:1,1=0
Field Write,context=int[]:1,2=0
Variable Write,context=Main#convertToIntArray:1,result=int[]:1
Variable Write,context=Main#convertToIntArray:1,i=0
Field Write,context=int[]:1,0=3
Variable Write,context=Main#convertToIntArray:1,result=int[]:1
Variable Write,context=Main#convertToIntArray:1,i=1
Field Write,context=int[]:1,1=4
Variable Write,context=Main#convertToIntArray:1,result=int[]:1
Variable Write,context=Main#convertToIntArray:1,i=2
Field Write,context=int[]:1,2=600
Variable Write,context=Main#convertToIntArray:1,result=int[]:1
Variable Write,context=Main#convertToIntArray:1,result=int[]:1
Method Exit,returner=Main#convertToIntArray:1,value=int[]:1
Variable Write,context=Main#main:1,firstLine=int[]:1
Variable Write,context=Main#main:1,numberOfTeam=3
Variable Write,context=Main#main:1,numberOfRecord=4
Variable Write,context=Main#main:1,timeOfContest=600
New Object,object=int[]:2
Field Write,context=int[]:2,0=0
Field Write,context=int[]:2,1=0
Field Write,context=int[]:2,2=0
Variable Write,context=Main#main:1,scores=int[]:2
New Object,object=int[]:3
Field Write,context=int[]:3,0=0
Field Write,context=int[]:3,1=0
Field Write,context=int[]:3,2=0
Variable Write,context=Main#main:1,times=int[]:3
Variable Write,context=Main#main:1,highScoreTeam=0
Variable Write,context=Main#main:1,now=0
Variable Write,context=Main#main:1,i=0
