Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
New Object,object=Main:1
Method Call,caller=Main#main:1,target=Main:1#Main:1
Field Write,context=Main:1,INF=268435456
Method Exit,returner=Main:1#Main:1,value=<void>
Method Call,caller=Main#main:1,target=Main:1#run:1
Variable Write,context=Main:1#run:1,sc=java.util.Scanner (id=48)
New Object,object=java.lang.String[]:2
Field Write,context=java.lang.String[]:2,0=1
Variable Write,context=Main:1#run:1,str=java.lang.String[]:2
Variable Write,context=Main:1#run:1,A=0
Variable Write,context=Main:1#run:1,bj=0
Variable Write,context=Main:1#run:1,i=0
Variable Write,context=Main:1#run:1,val=1
Variable Write,context=Main:1#run:1,bj=0
Variable Write,context=Main:1#run:1,A=1
Variable Delete,method=Main:1#run:1 <name=val,type=int (id=7),value=<?>,index=5>
Variable Delete,method=Main:1#run:1 <name=i,type=int (id=7),value=<?>,index=4>
Variable Write,context=Main:1#run:1,tmp=0
Variable Write,context=Main:1#run:1,bj=0
Variable Write,context=Main:1#run:1,i=0
Variable Write,context=Main:1#run:1,bj=11
Variable Write,context=Main:1#run:1,i=1
Variable Write,context=Main:1#run:1,bj=11
Variable Delete,method=Main:1#run:1 <name=i,type=int (id=7),value=<?>,index=7>
Variable Delete,method=Main:1#run:1 <name=str,type=java.lang.String[] (id=59),value=java.lang.String[]:7,index=1>
Variable Delete,method=Main:1#run:1 <name=A,type=int (id=7),value=<?>,index=2>
Variable Delete,method=Main:1#run:1 <name=bj,type=int (id=7),value=<?>,index=3>
Variable Delete,method=Main:1#run:1 <name=tmp,type=int (id=7),value=<?>,index=6>
New Object,object=java.lang.String[]:3
Field Write,context=java.lang.String[]:3,0=7
Field Write,context=java.lang.String[]:3,1=7
Field Write,context=java.lang.String[]:3,2=7
Variable Write,context=Main:1#run:1,str=java.lang.String[]:3
Variable Write,context=Main:1#run:1,A=0
Variable Write,context=Main:1#run:1,bj=0
Variable Write,context=Main:1#run:1,i=0
