Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
New Object,object=Main:1
Method Call,caller=Main#main:1,target=Main:1#Main:1
Field Write,context=Main:1,sc=java.util.Scanner (id=364)
Method Exit,returner=Main:1#Main:1,value=<void>
Method Call,caller=Main#main:1,target=Main:1#run:1
Field Read,context=Main:1,sc
Field Write,context=Main:1,n=2
Field Read,context=Main:1,n
New Object,object=int[]:1
Field Write,context=int[]:1,0=0
Field Write,context=int[]:1,1=0
Field Write,context=int[]:1,2=0
Field Write,context=int[]:1,3=0
Field Write,context=Main:1,cards=int[]:1
Field Read,context=Main:1,cards
Variable Write,context=Main:1#run:1,i=0
Field Read,context=Main:1,cards
Field Write,context=int[]:1,0=1
Field Read,context=Main:1,cards
Variable Write,context=Main:1#run:1,i=1
Field Read,context=Main:1,cards
Field Write,context=int[]:1,1=2
Field Read,context=Main:1,cards
Variable Write,context=Main:1#run:1,i=2
Field Read,context=Main:1,cards
Field Write,context=int[]:1,2=3
Field Read,context=Main:1,cards
Variable Write,context=Main:1#run:1,i=3
Field Read,context=Main:1,cards
Field Write,context=int[]:1,3=4
Field Read,context=Main:1,cards
Field Read,context=Main:1,sc
Field Write,context=Main:1,m=2
Variable Delete,method=Main:1#run:1 <name=i,type=int (id=7),value=<?>,index=0>
Field Read,context=Main:1,m
Variable Write,context=Main:1#run:1,i=0
Field Read,context=Main:1,sc
Variable Write,context=Main:1#run:1,k=1
Method Call,caller=Main:1#run:1,target=Main:1#cut:1
Variable Write,context=Main:1#cut:1,k=1
Field Read,context=Main:1,n
New Object,object=int[]:2
Field Write,context=int[]:2,0=0
Field Write,context=int[]:2,1=0
Field Write,context=int[]:2,2=0
Field Write,context=int[]:2,3=0
Variable Write,context=Main:1#cut:1,s=int[]:2
Field Read,context=Main:1,n
Variable Write,context=Main:1#cut:1,i=0
Field Read,context=Main:1,cards
Field Write,context=int[]:2,0=1
Variable Write,context=Main:1#cut:1,s=int[]:2
