Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#<clinit>:1
Field Write,context=Main,sc=java.util.Scanner (id=362)
Field Write,context=Main,rand=java.util.Random (id=363)
Method Exit,returner=Main#<clinit>:1,value=<void>
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
New Object,object=Main:1
Method Call,caller=Main#main:1,target=Main:1#Main:1
Method Exit,returner=Main:1#Main:1,value=<void>
Method Call,caller=Main#main:1,target=Main:1#run:1
Field Read,context=Main,sc
Variable Write,context=Main:1#run:1,val=1
Field Read,context=Main,sc
Variable Write,context=Main:1#run:1,exp=+
Field Read,context=Main,sc
Variable Write,context=Main:1#run:1,exp2=1
Variable Write,context=Main:1#run:1,val=2
Field Read,context=Main,sc
Variable Write,context=Main:1#run:1,exp==
Variable Delete,method=Main:1#run:1 <name=exp2,type=int (id=7),value=<?>,index=2>
Method Call,caller=Main:1#run:1,target=Main#ln:1
Variable Write,context=Main#ln:1,o=2
Method Exit,returner=Main#ln:1,value=<void>
Method Exit,returner=Main:1#run:1,value=<void>
Method Exit,returner=Main#main:1,value=<void>
Thread End,
