Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#<clinit>:1
Field Write,context=Main,kbd=java.util.Scanner (id=362)
Method Exit,returner=Main#<clinit>:1,value=<void>
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Field Read,context=Main,kbd
Field Read,context=Main,kbd
Variable Write,context=Main#main:1,w=1
Field Read,context=Main,kbd
Variable Write,context=Main#main:1,h=1
Method Call,caller=Main#main:1,target=Main#solve:1
Variable Write,context=Main#solve:1,h=1
Variable Write,context=Main#solve:1,w=1
New Object,object=int[][]:1
New Object,object=int[]:1
Field Write,context=int[]:1,0=0
Field Write,context=int[][]:1,0=int[]:1
Variable Write,context=Main#solve:1,field=int[][]:1
Variable Write,context=Main#solve:1,i=0
Variable Write,context=Main#solve:1,j=0
Field Read,context=Main,kbd
Variable Write,context=Main#solve:1,field=int[][]:1
Variable Write,context=Main#solve:1,j=1
Variable Write,context=Main#solve:1,i=1
New Object,object=Stack[]:1
Field Write,context=Stack[]:1,0=null
Field Write,context=Stack[]:1,1=null
Variable Write,context=Main#solve:1,s=Stack[]:1
New Object,object=Stack:1
Method Call,caller=Main#solve:1,target=Stack:1#Stack:1
Variable Write,context=Stack:1#Stack:1,n=1000000
Field Write,context=Stack:1,stack=java.lang.Object[1000000] (id=373)
Field Write,context=Stack:1,sp=0
Method Exit,returner=Stack:1#Stack:1,value=<void>
Field Write,context=Stack[]:1,0=Stack:1
Variable Write,context=Main#solve:1,s=Stack[]:1
New Object,object=Stack:2
Method Call,caller=Main#solve:1,target=Stack:2#Stack:2
Variable Write,context=Stack:2#Stack:2,n=1000000
Field Write,context=Stack:2,stack=java.lang.Object[1000000] (id=375)
Field Write,context=Stack:2,sp=0
Method Exit,returner=Stack:2#Stack:2,value=<void>
Field Write,context=Stack[]:1,1=Stack:2
Variable Write,context=Main#solve:1,s=Stack[]:1
Variable Write,context=Main#solve:1,count=0
Variable Write,context=Main#solve:1,i=0
Variable Write,context=Main#solve:1,j=0
Variable Write,context=Main#solve:1,x=0
Variable Write,context=Main#solve:1,y=0
Variable Write,context=Main#solve:1,j=1
Variable Write,context=Main#solve:1,i=1
Method Exit,returner=Main#solve:1,value=<void>
Field Read,context=Main,kbd
Variable Delete,method=Main#main:1 <name=w,type=int (id=7),value=0,index=1>
Variable Delete,method=Main#main:1 <name=h,type=int (id=7),value=0,index=2>
Field Read,context=Main,kbd
Variable Write,context=Main#main:1,w=2
Field Read,context=Main,kbd
Variable Write,context=Main#main:1,h=2
Method Call,caller=Main#main:1,target=Main#solve:2
Variable Write,context=Main#solve:2,h=2
Variable Write,context=Main#solve:2,w=2
New Object,object=int[][]:2
New Object,object=int[]:2
Field Write,context=int[]:2,0=0
Field Write,context=int[]:2,1=0
Field Write,context=int[][]:2,0=int[]:2
New Object,object=int[]:3
Field Write,context=int[]:3,0=0
Field Write,context=int[]:3,1=0
Field Write,context=int[][]:2,1=int[]:3
Variable Write,context=Main#solve:2,field=int[][]:2
Variable Write,context=Main#solve:2,i=0
Variable Write,context=Main#solve:2,j=0
Field Read,context=Main,kbd
Variable Write,context=Main#solve:2,field=int[][]:2
Variable Write,context=Main#solve:2,j=1
Field Read,context=Main,kbd
Variable Write,context=Main#solve:2,field=int[][]:2
Variable Write,context=Main#solve:2,j=2
Variable Write,context=Main#solve:2,i=1
Variable Write,context=Main#solve:2,j=0
Field Read,context=Main,kbd
Variable Write,context=Main#solve:2,field=int[][]:2
Variable Write,context=Main#solve:2,j=1
Field Read,context=Main,kbd
Variable Write,context=Main#solve:2,field=int[][]:2
Variable Write,context=Main#solve:2,j=2
Variable Write,context=Main#solve:2,i=2
New Object,object=Stack[]:2
Field Write,context=Stack[]:2,0=null
Field Write,context=Stack[]:2,1=null
Variable Write,context=Main#solve:2,s=Stack[]:2
New Object,object=Stack:3
Method Call,caller=Main#solve:2,target=Stack:3#Stack:3
Variable Write,context=Stack:3#Stack:3,n=1000000
Field Write,context=Stack:3,stack=java.lang.Object[1000000] (id=381)
Field Write,context=Stack:3,sp=0
Method Exit,returner=Stack:3#Stack:3,value=<void>
Field Write,context=Stack[]:2,0=Stack:3
Variable Write,context=Main#solve:2,s=Stack[]:2
New Object,object=Stack:4
Method Call,caller=Main#solve:2,target=Stack:4#Stack:4
Variable Write,context=Stack:4#Stack:4,n=1000000
Field Write,context=Stack:4,stack=java.lang.Object[1000000] (id=383)
Field Write,context=Stack:4,sp=0
Method Exit,returner=Stack:4#Stack:4,value=<void>
Field Write,context=Stack[]:2,1=Stack:4
Variable Write,context=Main#solve:2,s=Stack[]:2
Variable Write,context=Main#solve:2,count=0
Variable Write,context=Main#solve:2,i=0
Variable Write,context=Main#solve:2,j=0
Variable Write,context=Main#solve:2,x=0
Variable Write,context=Main#solve:2,y=0
Variable Write,context=Main#solve:2,j=1
Variable Delete,method=Main#solve:2 <name=x,type=int (id=7),value=1,index=7>
Variable Write,context=Main#solve:2,x=0
Variable Delete,method=Main#solve:2 <name=y,type=int (id=7),value=1,index=8>
Variable Write,context=Main#solve:2,y=1
Variable Write,context=Main#solve:2,count=1
Method Call,caller=Main#solve:2,target=Main#search:1
Variable Write,context=Main#search:1,field=int[][]:2
Variable Write,context=Main#search:1,s=Stack[]:2
Variable Write,context=Main#search:1,y=1
Variable Write,context=Main#search:1,x=0
Variable Write,context=Main#search:1,h=2
Variable Write,context=Main#search:1,w=2
Method Call,caller=Main#search:1,target=Main#isExist:1
Variable Write,context=Main#isExist:1,x=1
Variable Write,context=Main#isExist:1,s=Stack[]:2
Variable Write,context=Main#isExist:1,y=0
Method Call,caller=Main#isExist:1,target=Stack:3#aru:1
Variable Write,context=Stack:3#aru:1,x=1
Field Read,context=Stack:3,stack
Variable Write,context=Stack:3#aru:1,i=0
Variable Write,context=Stack:3#aru:1,result=-1
Method Exit,returner=Stack:3#aru:1,value=-1
Variable Write,context=Main#isExist:1,result=false
Method Exit,returner=Main#isExist:1,value=false
Method Call,caller=Main#search:1,target=Stack:3#push:1
Variable Write,context=Stack:3#push:1,x=1
Field Read,context=Stack:3,stack
Field Read,context=Stack:3,sp
Field Write,context=Stack:3,sp=1
Method Exit,returner=Stack:3#push:1,value=<void>
Method Call,caller=Main#search:1,target=Stack:4#push:2
Variable Write,context=Stack:4#push:2,x=0
Field Read,context=Stack:4,stack
Field Read,context=Stack:4,sp
Field Write,context=Stack:4,sp=1
Method Exit,returner=Stack:4#push:2,value=<void>
Method Exit,returner=Main#search:1,value=<void>
Method Call,caller=Main#solve:2,target=Stack:3#isEmpty:1
Field Read,context=Stack:3,sp
Variable Write,context=Stack:3#isEmpty:1,result=false
Method Exit,returner=Stack:3#isEmpty:1,value=false
Method Call,caller=Main#solve:2,target=Stack:3#pop:1
Field Read,context=Stack:3,stack
Field Read,context=Stack:3,sp
Field Write,context=Stack:3,sp=0
Variable Write,context=Stack:3#pop:1,result=1
Method Exit,returner=Stack:3#pop:1,value=1
Variable Write,context=Main#solve:2,x=1
Method Call,caller=Main#solve:2,target=Stack:4#pop:2
Field Read,context=Stack:4,stack
Field Read,context=Stack:4,sp
Field Write,context=Stack:4,sp=0
Variable Write,context=Stack:4#pop:2,result=0
Method Exit,returner=Stack:4#pop:2,value=0
Variable Write,context=Main#solve:2,y=0
Variable Write,context=Main#solve:2,field=int[][]:2
Method Call,caller=Main#solve:2,target=Main#search:2
Variable Write,context=Main#search:2,field=int[][]:2
Variable Write,context=Main#search:2,s=Stack[]:2
Variable Write,context=Main#search:2,y=0
Variable Write,context=Main#search:2,x=1
Variable Write,context=Main#search:2,h=2
Variable Write,context=Main#search:2,w=2
Method Call,caller=Main#search:2,target=Main#isExist:2
Variable Write,context=Main#isExist:2,x=0
Variable Write,context=Main#isExist:2,s=Stack[]:2
Variable Write,context=Main#isExist:2,y=1
Method Call,caller=Main#isExist:2,target=Stack:3#aru:2
Variable Write,context=Stack:3#aru:2,x=0
Field Read,context=Stack:3,stack
Variable Write,context=Stack:3#aru:2,i=0
Field Read,context=Stack:3,stack
Field Read,context=Stack:3,stack
Variable Write,context=Stack:3#aru:2,i=1
Variable Write,context=Stack:3#aru:2,result=-1
Method Exit,returner=Stack:3#aru:2,value=-1
Variable Write,context=Main#isExist:2,result=false
Method Exit,returner=Main#isExist:2,value=false
