Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
New Object,object=Main:1
Method Call,caller=Main#main:1,target=Main:1#Main:1
Field Write,context=Main:1,sq=java.util.LinkedList (id=343)
Field Write,context=Main:1,eq=java.util.LinkedList (id=346)
Field Write,context=Main:1,count=0
Field Write,context=Main:1,flag=false
Method Exit,returner=Main:1#Main:1,value=<void>
Method Call,caller=Main#main:1,target=Main:1#start:1
Variable Write,context=Main:1#start:1,in=java.util.Scanner (id=368)
