Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#<clinit>:1
Field Write,context=Main,br=null
Field Write,context=Main,IX=0
Field Write,context=Main,IY=1
Field Write,context=Main,IZ=2
Field Write,context=Main,ZR=1.0E-6
Field Write,context=Main,br=java.io.BufferedReader (id=21)
Method Exit,returner=Main#<clinit>:1,value=<void>
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Method Call,caller=Main#main:1,target=Main#parsePos:1
New Object,object=double[][]:1
New Object,object=double[]:1
Field Write,context=double[]:1,0=0.0
Field Write,context=double[]:1,1=0.0
Field Write,context=double[]:1,2=0.0
Field Write,context=double[][]:1,0=double[]:1
New Object,object=double[]:2
Field Write,context=double[]:2,0=0.0
Field Write,context=double[]:2,1=0.0
Field Write,context=double[]:2,2=0.0
Field Write,context=double[][]:1,1=double[]:2
New Object,object=double[]:3
Field Write,context=double[]:3,0=0.0
Field Write,context=double[]:3,1=0.0
Field Write,context=double[]:3,2=0.0
Field Write,context=double[][]:1,2=double[]:3
New Object,object=double[]:4
Field Write,context=double[]:4,0=0.0
Field Write,context=double[]:4,1=0.0
Field Write,context=double[]:4,2=0.0
Field Write,context=double[][]:1,3=double[]:4
New Object,object=double[]:5
Field Write,context=double[]:5,0=0.0
Field Write,context=double[]:5,1=0.0
Field Write,context=double[]:5,2=0.0
Field Write,context=double[][]:1,4=double[]:5
Variable Write,context=Main#parsePos:1,pos=double[][]:1
Variable Write,context=Main#parsePos:1,i=0
Method Call,caller=Main#parsePos:1,target=Main#parseStdin:1
Variable Write,context=Main#parseStdin:1,stdin=null
Field Read,context=Main,br
Variable Write,context=Main#parseStdin:1,tmp=-10 0 0
Variable Write,context=Main#parseStdin:1,stdin=-10 0 0
Variable Write,context=Main#parseStdin:1,result=-10 0 0
Method Exit,returner=Main#parseStdin:1,value=-10 0 0
Variable Write,context=Main#parsePos:1,str=-10 0 0
New Object,object=java.lang.String[]:2
Field Write,context=java.lang.String[]:2,0=-10
Field Write,context=java.lang.String[]:2,1=0
Field Write,context=java.lang.String[]:2,2=0
Variable Write,context=Main#parsePos:1,lns=java.lang.String[]:2
Field Read,context=Main,IX
Field Read,context=Main,IZ
Variable Write,context=Main#parsePos:1,j=0
Variable Write,context=Main#parsePos:1,pos=double[][]:1
Field Read,context=Main,IZ
Variable Write,context=Main#parsePos:1,j=1
Variable Write,context=Main#parsePos:1,pos=double[][]:1
Field Read,context=Main,IZ
Variable Write,context=Main#parsePos:1,j=2
Variable Write,context=Main#parsePos:1,pos=double[][]:1
Field Read,context=Main,IZ
Variable Write,context=Main#parsePos:1,i=1
Variable Delete,method=Main#parsePos:1 <name=str,type=java.lang.String (id=25),value=<?>,index=2>
Variable Delete,method=Main#parsePos:1 <name=lns,type=java.lang.String[] (id=59),value=<?>,index=3>
Variable Delete,method=Main#parsePos:1 <name=j,type=int (id=7),value=<?>,index=4>
Method Call,caller=Main#parsePos:1,target=Main#parseStdin:2
Variable Write,context=Main#parseStdin:2,stdin=null
Field Read,context=Main,br
Variable Write,context=Main#parseStdin:2,tmp=10 0 0
Variable Write,context=Main#parseStdin:2,stdin=10 0 0
Variable Write,context=Main#parseStdin:2,result=10 0 0
Method Exit,returner=Main#parseStdin:2,value=10 0 0
Variable Write,context=Main#parsePos:1,str=10 0 0
New Object,object=java.lang.String[]:3
Field Write,context=java.lang.String[]:3,0=10
Field Write,context=java.lang.String[]:3,1=0
Field Write,context=java.lang.String[]:3,2=0
Variable Write,context=Main#parsePos:1,lns=java.lang.String[]:3
Field Read,context=Main,IX
Field Read,context=Main,IZ
Variable Write,context=Main#parsePos:1,j=0
Variable Write,context=Main#parsePos:1,pos=double[][]:1
Field Read,context=Main,IZ
Variable Write,context=Main#parsePos:1,j=1
Variable Write,context=Main#parsePos:1,pos=double[][]:1
Field Read,context=Main,IZ
Variable Write,context=Main#parsePos:1,j=2
Variable Write,context=Main#parsePos:1,pos=double[][]:1
Field Read,context=Main,IZ
Variable Write,context=Main#parsePos:1,i=2
Variable Delete,method=Main#parsePos:1 <name=str,type=java.lang.String (id=25),value=<?>,index=2>
Variable Delete,method=Main#parsePos:1 <name=lns,type=java.lang.String[] (id=59),value=<?>,index=3>
Variable Delete,method=Main#parsePos:1 <name=j,type=int (id=7),value=<?>,index=4>
Method Call,caller=Main#parsePos:1,target=Main#parseStdin:3
Variable Write,context=Main#parseStdin:3,stdin=null
Field Read,context=Main,br
Variable Write,context=Main#parseStdin:3,tmp=0 10 0
Variable Write,context=Main#parseStdin:3,stdin=0 10 0
Variable Write,context=Main#parseStdin:3,result=0 10 0
