Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,stdin=java.util.Scanner (id=47)
New Object,object=int[]:1
Field Write,context=int[]:1,0=0
Field Write,context=int[]:1,1=0
Field Write,context=int[]:1,2=0
Field Write,context=int[]:1,3=0
Variable Write,context=Main#main:1,a=int[]:1
Variable Write,context=Main#main:1,i=0
Field Write,context=int[]:1,0=1
Variable Write,context=Main#main:1,a=int[]:1
Variable Write,context=Main#main:1,i=1
Field Write,context=int[]:1,1=1
Variable Write,context=Main#main:1,a=int[]:1
Variable Write,context=Main#main:1,i=2
Field Write,context=int[]:1,2=3
Variable Write,context=Main#main:1,a=int[]:1
Variable Write,context=Main#main:1,i=3
Field Write,context=int[]:1,3=4
Variable Write,context=Main#main:1,a=int[]:1
Variable Delete,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=3>
Method Exit,returner=Main#main:1,value=<void>
Thread End,
