Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
New Object,object=Main:1
Method Call,caller=Main#main:1,target=Main:1#Main:1
Method Exit,returner=Main:1#Main:1,value=<void>
Method Call,caller=Main#main:1,target=Main:1#run:1
Variable Write,context=Main:1#run:1,sc=java.util.Scanner (id=365)
Variable Write,context=Main:1#run:1,n=6
Variable Write,context=Main:1#run:1,id=0
Variable Write,context=Main:1#run:1,ref=java.util.HashMap (id=366)
New Object,object=Main$R[]:1
Field Write,context=Main$R[]:1,0=null
Field Write,context=Main$R[]:1,1=null
Field Write,context=Main$R[]:1,2=null
Field Write,context=Main$R[]:1,3=null
Field Write,context=Main$R[]:1,4=null
Field Write,context=Main$R[]:1,5=null
Field Write,context=Main$R[]:1,6=null
Field Write,context=Main$R[]:1,7=null
Field Write,context=Main$R[]:1,8=null
Field Write,context=Main$R[]:1,9=null
Field Write,context=Main:1,c=Main$R[]:1
Variable Write,context=Main:1#run:1,n=5
Variable Write,context=Main:1#run:1,name=Blizid
New Object,object=Main$R:1
Method Call,caller=Main:1#run:1,target=Main$R:1#Main$R:1
Variable Write,context=Main$R:1#Main$R:1,id=0
Field Write,context=Main$R:1,id=0
Field Write,context=Main$R:1,l=java.util.ArrayList (id=373)
Field Write,context=Main$R:1,u=false
Field Write,context=Main$R:1,color=0
Method Exit,returner=Main$R:1#Main$R:1,value=<void>
Variable Write,context=Main:1#run:1,r=Main$R:1
Field Read,context=Main:1,c
Variable Write,context=Main:1#run:1,id=1
Variable Write,context=Main:1#run:1,sx=0
Variable Write,context=Main:1#run:1,sy=0
Variable Write,context=Main:1#run:1,px=0
Variable Write,context=Main:1#run:1,py=0
Variable Write,context=Main:1#run:1,x=60
Variable Write,context=Main:1#run:1,y=0
Field Read,context=Main$R:1,l
New Object,object=Main$L:1
Method Call,caller=Main:1#run:1,target=Main$L:1#Main$L:1
Variable Write,context=Main$L:1#Main$L:1,y2=0
