Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,sc=java.util.Scanner (id=363)
Variable Write,context=Main#main:1,sh=9
Variable Write,context=Main#main:1,sm=0
Variable Write,context=Main#main:1,ss=0
Variable Write,context=Main#main:1,gh=18
Variable Write,context=Main#main:1,gm=0
Variable Write,context=Main#main:1,gs=0
Variable Write,context=Main#main:1,zan=32400
Method Call,caller=Main#main:1,target=Main#pl:1
Variable Write,context=Main#pl:1,o=9 0 0 (String)
Method Exit,returner=Main#pl:1,value=<void>
Variable Delete,method=Main#main:1 <name=sh,type=int (id=7),value=12,index=2>
Variable Delete,method=Main#main:1 <name=sm,type=int (id=7),value=14,index=3>
Variable Delete,method=Main#main:1 <name=ss,type=int (id=7),value=52,index=4>
Variable Delete,method=Main#main:1 <name=gh,type=int (id=7),value=12,index=5>
Variable Delete,method=Main#main:1 <name=gm,type=int (id=7),value=15,index=6>
Variable Delete,method=Main#main:1 <name=gs,type=int (id=7),value=30,index=7>
Variable Delete,method=Main#main:1 <name=zan,type=int (id=7),value=38,index=8>
Variable Write,context=Main#main:1,sh=9
Variable Write,context=Main#main:1,sm=0
Variable Write,context=Main#main:1,ss=1
Variable Write,context=Main#main:1,gh=18
Variable Write,context=Main#main:1,gm=0
Variable Write,context=Main#main:1,gs=0
Variable Write,context=Main#main:1,zan=32399
Method Call,caller=Main#main:1,target=Main#pl:2
Variable Write,context=Main#pl:2,o=8 59 59 (String)
Method Exit,returner=Main#pl:2,value=<void>
Variable Delete,method=Main#main:1 <name=sh,type=int (id=7),value=12,index=2>
Variable Delete,method=Main#main:1 <name=sm,type=int (id=7),value=14,index=3>
Variable Delete,method=Main#main:1 <name=ss,type=int (id=7),value=52,index=4>
Variable Delete,method=Main#main:1 <name=gh,type=int (id=7),value=12,index=5>
Variable Delete,method=Main#main:1 <name=gm,type=int (id=7),value=15,index=6>
Variable Delete,method=Main#main:1 <name=gs,type=int (id=7),value=30,index=7>
Variable Delete,method=Main#main:1 <name=zan,type=int (id=7),value=38,index=8>
Variable Write,context=Main#main:1,sh=12
Variable Write,context=Main#main:1,sm=14
Variable Write,context=Main#main:1,ss=52
Variable Write,context=Main#main:1,gh=12
Variable Write,context=Main#main:1,gm=15
Variable Write,context=Main#main:1,gs=30
Variable Write,context=Main#main:1,zan=38
Method Call,caller=Main#main:1,target=Main#pl:3
Variable Write,context=Main#pl:3,o=0 0 38 (String)
Method Exit,returner=Main#pl:3,value=<void>
