Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,scan=java.util.Scanner (id=47)
New Object,object=int[]:1
Field Write,context=int[]:1,0=0
Field Write,context=int[]:1,1=0
Field Write,context=int[]:1,2=0
Field Write,context=int[]:1,3=0
Field Write,context=int[]:1,4=0
Field Write,context=int[]:1,5=0
Field Write,context=int[]:1,6=0
Field Write,context=int[]:1,7=0
Field Write,context=int[]:1,8=0
Field Write,context=int[]:1,9=0
Variable Write,context=Main#main:1,a=int[]:1
Variable Write,context=Main#main:1,str=4823108376
New Object,object=char[]:1
Field Write,context=char[]:1,0=4
Field Write,context=char[]:1,1=8
Field Write,context=char[]:1,2=2
Field Write,context=char[]:1,3=3
Field Write,context=char[]:1,4=1
Field Write,context=char[]:1,5=0
Field Write,context=char[]:1,6=8
Field Write,context=char[]:1,7=3
Field Write,context=char[]:1,8=7
Field Write,context=char[]:1,9=6
Variable Write,context=Main#main:1,ch=char[]:1
Variable Write,context=Main#main:1,i=0
Field Write,context=int[]:1,0=4
Variable Write,context=Main#main:1,a=int[]:1
Variable Write,context=Main#main:1,i=1
Field Write,context=int[]:1,1=8
Variable Write,context=Main#main:1,a=int[]:1
Variable Write,context=Main#main:1,i=2
Field Write,context=int[]:1,2=2
Variable Write,context=Main#main:1,a=int[]:1
Variable Write,context=Main#main:1,i=3
Field Write,context=int[]:1,3=3
Variable Write,context=Main#main:1,a=int[]:1
Variable Write,context=Main#main:1,i=4
Field Write,context=int[]:1,4=1
Variable Write,context=Main#main:1,a=int[]:1
Variable Write,context=Main#main:1,i=5
Variable Write,context=Main#main:1,a=int[]:1
Variable Write,context=Main#main:1,i=6
Field Write,context=int[]:1,6=8
Variable Write,context=Main#main:1,a=int[]:1
Variable Write,context=Main#main:1,i=7
Field Write,context=int[]:1,7=3
Variable Write,context=Main#main:1,a=int[]:1
Variable Write,context=Main#main:1,i=8
Field Write,context=int[]:1,8=7
