Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,sc=java.util.Scanner (id=47)
Variable Write,context=Main#main:1,m=3
Variable Write,context=Main#main:1,n=9
New Object,object=int[]:1
Field Write,context=int[]:1,0=0
Field Write,context=int[]:1,1=0
Field Write,context=int[]:1,2=0
Field Write,context=int[]:1,3=0
Field Write,context=int[]:1,4=0
Field Write,context=int[]:1,5=0
Field Write,context=int[]:1,6=0
Field Write,context=int[]:1,7=0
Field Write,context=int[]:1,8=0
Field Write,context=int[]:1,9=0
Variable Write,context=Main#main:1,w=int[]:1
Variable Write,context=Main#main:1,max=0
Variable Write,context=Main#main:1,sum=0
Variable Write,context=Main#main:1,i=0
Field Write,context=int[]:1,0=500
Variable Write,context=Main#main:1,w=int[]:1
Variable Write,context=Main#main:1,max=500
Variable Write,context=Main#main:1,sum=500
Variable Write,context=Main#main:1,i=1
Field Write,context=int[]:1,1=300
Variable Write,context=Main#main:1,w=int[]:1
Variable Write,context=Main#main:1,max=500
Variable Write,context=Main#main:1,sum=800
Variable Write,context=Main#main:1,i=2
Field Write,context=int[]:1,2=800
Variable Write,context=Main#main:1,w=int[]:1
Variable Write,context=Main#main:1,max=800
Variable Write,context=Main#main:1,sum=1600
Variable Write,context=Main#main:1,i=3
Field Write,context=int[]:1,3=200
Variable Write,context=Main#main:1,w=int[]:1
Variable Write,context=Main#main:1,max=800
Variable Write,context=Main#main:1,sum=1800
Variable Write,context=Main#main:1,i=4
Field Write,context=int[]:1,4=100
Variable Write,context=Main#main:1,w=int[]:1
Variable Write,context=Main#main:1,max=800
Variable Write,context=Main#main:1,sum=1900
Variable Write,context=Main#main:1,i=5
Field Write,context=int[]:1,5=600
Variable Write,context=Main#main:1,w=int[]:1
Variable Write,context=Main#main:1,max=800
Variable Write,context=Main#main:1,sum=2500
Variable Write,context=Main#main:1,i=6
Field Write,context=int[]:1,6=900
Variable Write,context=Main#main:1,w=int[]:1
