Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,s=java.util.Scanner (id=47)
Variable Write,context=Main#main:1,a=IV
Variable Write,context=Main#main:1,sum=0
New Object,object=int[]:1
Field Write,context=int[]:1,0=0
Field Write,context=int[]:1,1=0
Variable Write,context=Main#main:1,n=int[]:1
Variable Write,context=Main#main:1,i=0
Variable Write,context=Main#main:1,n=int[]:1
Variable Write,context=Main#main:1,i=1
Variable Write,context=Main#main:1,n=int[]:1
Variable Delete,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=5>
Variable Write,context=Main#main:1,i=0
Variable Write,context=Main#main:1,sum=-1
Variable Write,context=Main#main:1,i=1
Variable Write,context=Main#main:1,sum=-1
Variable Write,context=Main#main:1,sum=4
Variable Delete,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=6>
Variable Delete,method=Main#main:1 <name=a,type=java.lang.String (id=25),value=CDXCIX,index=2>
Variable Delete,method=Main#main:1 <name=sum,type=int (id=7),value=499,index=3>
Variable Delete,method=Main#main:1 <name=n,type=int[] (id=77),value=int[]:3,index=4>
Variable Write,context=Main#main:1,a=CCCCLXXXXVIIII
Variable Write,context=Main#main:1,sum=0
New Object,object=int[]:2
Field Write,context=int[]:2,0=0
Field Write,context=int[]:2,1=0
Field Write,context=int[]:2,2=0
Field Write,context=int[]:2,3=0
Field Write,context=int[]:2,4=0
Field Write,context=int[]:2,5=0
Field Write,context=int[]:2,6=0
Field Write,context=int[]:2,7=0
Field Write,context=int[]:2,8=0
Field Write,context=int[]:2,9=0
Field Write,context=int[]:2,10=0
Field Write,context=int[]:2,11=0
Field Write,context=int[]:2,12=0
Field Write,context=int[]:2,13=0
Variable Write,context=Main#main:1,n=int[]:2
Variable Write,context=Main#main:1,i=0
Variable Write,context=Main#main:1,n=int[]:2
Variable Write,context=Main#main:1,i=1
Variable Write,context=Main#main:1,n=int[]:2
Variable Write,context=Main#main:1,i=2
