Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,br=java.io.BufferedReader (id=24)
Variable Write,context=Main#main:1,N=3
New Object,object=int[]:1
Field Write,context=int[]:1,0=0
Field Write,context=int[]:1,1=0
Field Write,context=int[]:1,2=0
Variable Write,context=Main#main:1,a=int[]:1
Variable Write,context=Main#main:1,st=java.util.StringTokenizer (id=29)
Variable Write,context=Main#main:1,i=0
Field Write,context=int[]:1,0=1
Variable Write,context=Main#main:1,a=int[]:1
Variable Write,context=Main#main:1,i=1
Field Write,context=int[]:1,1=1
Variable Write,context=Main#main:1,a=int[]:1
Variable Write,context=Main#main:1,i=2
Field Write,context=int[]:1,2=1
Variable Write,context=Main#main:1,a=int[]:1
New Object,object=int[]:2
Field Write,context=int[]:2,0=0
Field Write,context=int[]:2,1=0
Field Write,context=int[]:2,2=0
Variable Write,context=Main#main:1,indeg=int[]:2
New Object,object=boolean[]:1
Field Write,context=boolean[]:1,0=false
Field Write,context=boolean[]:1,1=false
Field Write,context=boolean[]:1,2=false
Variable Write,context=Main#main:1,used=boolean[]:1
Variable Write,context=Main#main:1,i=0
Field Write,context=int[]:2,1=1
Variable Write,context=Main#main:1,indeg=int[]:2
Variable Write,context=Main#main:1,i=1
Field Write,context=int[]:2,2=1
Variable Write,context=Main#main:1,indeg=int[]:2
Variable Write,context=Main#main:1,i=2
Field Write,context=int[]:2,0=1
Variable Write,context=Main#main:1,indeg=int[]:2
Variable Write,context=Main#main:1,i=0
Variable Write,context=Main#main:1,j=0
Variable Write,context=Main#main:1,i=1
Variable Delete,method=Main#main:1 <name=j,type=int (id=7),value=2,index=11>
Variable Write,context=Main#main:1,j=1
Variable Write,context=Main#main:1,i=2
Variable Delete,method=Main#main:1 <name=j,type=int (id=7),value=2,index=11>
Variable Write,context=Main#main:1,j=2
Variable Delete,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=9>
