Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,br=java.io.BufferedReader (id=24)
Variable Write,context=Main#main:1,line=60.2
Variable Write,context=Main#main:1,wei=60.2
Variable Write,context=Main#main:1,line=70.2
Variable Delete,method=Main#main:1 <name=wei,type=double (id=5),value=80.2,index=3>
Variable Write,context=Main#main:1,wei=70.2
Variable Write,context=Main#main:1,line=48.0
Variable Delete,method=Main#main:1 <name=wei,type=double (id=5),value=80.2,index=3>
Variable Write,context=Main#main:1,wei=48.0
Variable Write,context=Main#main:1,line=80.2
Variable Delete,method=Main#main:1 <name=wei,type=double (id=5),value=80.2,index=3>
Variable Write,context=Main#main:1,wei=80.2
