Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,sc=java.util.Scanner (id=363)
Variable Write,context=Main#main:1,n=6
Variable Write,context=Main#main:1,m=3
Variable Write,context=Main#main:1,cap=34
Variable Write,context=Main#main:1,src=Tokyo
Variable Write,context=Main#main:1,dest=Kyoto
Variable Write,context=Main#main:1,hm=java.util.HashMap (id=366)
New Object,object=java.lang.String[][]:1
New Object,object=java.lang.String[]:2
Field Write,context=java.lang.String[]:2,0=null
Field Write,context=java.lang.String[]:2,1=null
Field Write,context=java.lang.String[][]:1,0=java.lang.String[]:2
New Object,object=java.lang.String[]:3
Field Write,context=java.lang.String[]:3,0=null
Field Write,context=java.lang.String[]:3,1=null
Field Write,context=java.lang.String[][]:1,1=java.lang.String[]:3
New Object,object=java.lang.String[]:4
Field Write,context=java.lang.String[]:4,0=null
Field Write,context=java.lang.String[]:4,1=null
Field Write,context=java.lang.String[][]:1,2=java.lang.String[]:4
New Object,object=java.lang.String[]:5
Field Write,context=java.lang.String[]:5,0=null
Field Write,context=java.lang.String[]:5,1=null
Field Write,context=java.lang.String[][]:1,3=java.lang.String[]:5
New Object,object=java.lang.String[]:6
Field Write,context=java.lang.String[]:6,0=null
Field Write,context=java.lang.String[]:6,1=null
Field Write,context=java.lang.String[][]:1,4=java.lang.String[]:6
New Object,object=java.lang.String[]:7
Field Write,context=java.lang.String[]:7,0=null
Field Write,context=java.lang.String[]:7,1=null
Field Write,context=java.lang.String[][]:1,5=java.lang.String[]:7
Variable Write,context=Main#main:1,a=java.lang.String[][]:1
New Object,object=int[]:1
Field Write,context=int[]:1,0=0
Field Write,context=int[]:1,1=0
Field Write,context=int[]:1,2=0
Field Write,context=int[]:1,3=0
Field Write,context=int[]:1,4=0
Field Write,context=int[]:1,5=0
Variable Write,context=Main#main:1,d=int[]:1
Variable Write,context=Main#main:1,i=0
Variable Write,context=Main#main:1,a=java.lang.String[][]:1
