Thread Start,main (1)
Method Call,caller=SYSTEM,target=Main#main:1
New Object,object=java.lang.String[]:1
Variable Write,context=Main#main:1,args=java.lang.String[]:1
Variable Write,context=Main#main:1,sc=java.util.Scanner (id=363)
Variable Write,context=Main#main:1,t=10
Variable Write,context=Main#main:1,t=9
Method Call,caller=Main#main:1,target=Main#f:1
New Object,object=char[]:1
Field Write,context=char[]:1,0=x
Field Write,context=char[]:1,1=i
Variable Write,context=Main#f:1,s=char[]:1
Variable Write,context=Main#f:1,r=0
Variable Write,context=Main#f:1,x=1
Variable Write,context=Main#f:1,i=0
Variable Write,context=Main#f:1,x=1
Variable Write,context=Main#f:1,r=10
Variable Write,context=Main#f:1,x=1
Variable Write,context=Main#f:1,i=1
Variable Write,context=Main#f:1,x=1
Variable Write,context=Main#f:1,r=11
Variable Write,context=Main#f:1,x=1
Variable Write,context=Main#f:1,result=11
Method Exit,returner=Main#f:1,value=11
Method Call,caller=Main#main:1,target=Main#f:2
New Object,object=char[]:2
Field Write,context=char[]:2,0=x
Field Write,context=char[]:2,1=9
Field Write,context=char[]:2,2=i
Variable Write,context=Main#f:2,s=char[]:2
Variable Write,context=Main#f:2,r=0
Variable Write,context=Main#f:2,x=1
Variable Write,context=Main#f:2,i=0
Variable Write,context=Main#f:2,x=1
Variable Write,context=Main#f:2,r=10
Variable Write,context=Main#f:2,x=1
Variable Write,context=Main#f:2,i=1
Variable Write,context=Main#f:2,x=9
Variable Write,context=Main#f:2,i=2
Variable Write,context=Main#f:2,x=9
Variable Write,context=Main#f:2,r=19
Variable Write,context=Main#f:2,x=1
Variable Write,context=Main#f:2,result=19
Method Exit,returner=Main#f:2,value=19
Method Call,caller=Main#main:1,target=Main#g:1
Variable Write,context=Main#g:1,r=30
Variable Write,context=Main#g:1,s=
Variable Write,context=Main#g:1,r=30
Variable Write,context=Main#g:1,r=30
Variable Write,context=Main#g:1,s=3
Variable Write,context=Main#g:1,s=3x
Variable Write,context=Main#g:1,r=0
Variable Write,context=Main#g:1,s=3x
Variable Write,context=Main#g:1,s=3x
