TS,main (1)
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
NO,object=Main:1
MC,caller=Main#main:1,target=Main:1#Main:1
FW,context=Main:1,EPS=1.0E-8
FW,context=Main:1,INF=16777216
NO,object=Main$1:1
MC,caller=Main:1#Main:1,target=Main$1:1#<init>:1
ME,returner=Main$1:1#<init>:1,value=<void>
FW,context=Main:1,com=Main$1:1
ME,returner=Main:1#Main:1,value=<void>
VW,context=Main#main:1,obj=Main:1
MC,caller=Main#main:1,target=Main:1#doit:1
VW,context=Main:1#doit:1,sc=java.util.Scanner (id=367)
VW,context=Main:1#doit:1,n=8
FW,context=Main:1,s=java.awt.geom.Point2D$Double (id=368)
FW,context=Main:1,e=java.awt.geom.Point2D$Double (id=371)
NO,object=java.awt.geom.Line2D[]:1
FW,context=java.awt.geom.Line2D[]:1,0=null
FW,context=java.awt.geom.Line2D[]:1,1=null
FW,context=java.awt.geom.Line2D[]:1,2=null
FW,context=java.awt.geom.Line2D[]:1,3=null
FW,context=java.awt.geom.Line2D[]:1,4=null
FW,context=java.awt.geom.Line2D[]:1,5=null
FW,context=java.awt.geom.Line2D[]:1,6=null
FW,context=java.awt.geom.Line2D[]:1,7=null
VW,context=Main:1#doit:1,line=java.awt.geom.Line2D[]:1
VW,context=Main:1#doit:1,i=0
VW,context=Main:1#doit:1,p1=java.awt.geom.Point2D$Double (id=374)
VW,context=Main:1#doit:1,p2=java.awt.geom.Point2D$Double (id=375)
FW,context=java.awt.geom.Line2D[]:1,0=java.awt.geom.Line2D$Double (id=376)
VW,context=Main:1#doit:1,line=java.awt.geom.Line2D[]:1
VW,context=Main:1#doit:1,i=1
VD,method=Main:1#doit:1 <name=p1,type=java.awt.geom.Point2D (unresolved),value=<?>,index=4>
VD,method=Main:1#doit:1 <name=p2,type=java.awt.geom.Point2D (unresolved),value=<?>,index=5>
VW,context=Main:1#doit:1,p1=java.awt.geom.Point2D$Double (id=379)
VW,context=Main:1#doit:1,p2=java.awt.geom.Point2D$Double (id=380)
FW,context=java.awt.geom.Line2D[]:1,1=java.awt.geom.Line2D$Double (id=381)
VW,context=Main:1#doit:1,line=java.awt.geom.Line2D[]:1
VW,context=Main:1#doit:1,i=2
VD,method=Main:1#doit:1 <name=p1,type=java.awt.geom.Point2D (unresolved),value=<?>,index=4>
VD,method=Main:1#doit:1 <name=p2,type=java.awt.geom.Point2D (unresolved),value=<?>,index=5>
VW,context=Main:1#doit:1,p1=java.awt.geom.Point2D$Double (id=382)
VW,context=Main:1#doit:1,p2=java.awt.geom.Point2D$Double (id=383)
FW,context=java.awt.geom.Line2D[]:1,2=java.awt.geom.Line2D$Double (id=384)
VW,context=Main:1#doit:1,line=java.awt.geom.Line2D[]:1
VW,context=Main:1#doit:1,i=3
VD,method=Main:1#doit:1 <name=p1,type=java.awt.geom.Point2D (unresolved),value=<?>,index=4>
VD,method=Main:1#doit:1 <name=p2,type=java.awt.geom.Point2D (unresolved),value=<?>,index=5>
VW,context=Main:1#doit:1,p1=java.awt.geom.Point2D$Double (id=385)
VW,context=Main:1#doit:1,p2=java.awt.geom.Point2D$Double (id=386)
FW,context=java.awt.geom.Line2D[]:1,3=java.awt.geom.Line2D$Double (id=387)
VW,context=Main:1#doit:1,line=java.awt.geom.Line2D[]:1
VW,context=Main:1#doit:1,i=4
VD,method=Main:1#doit:1 <name=p1,type=java.awt.geom.Point2D (unresolved),value=<?>,index=4>
VD,method=Main:1#doit:1 <name=p2,type=java.awt.geom.Point2D (unresolved),value=<?>,index=5>
VW,context=Main:1#doit:1,p1=java.awt.geom.Point2D$Double (id=388)
VW,context=Main:1#doit:1,p2=java.awt.geom.Point2D$Double (id=389)
FW,context=java.awt.geom.Line2D[]:1,4=java.awt.geom.Line2D$Double (id=390)
VW,context=Main:1#doit:1,line=java.awt.geom.Line2D[]:1
VW,context=Main:1#doit:1,i=5
VD,method=Main:1#doit:1 <name=p1,type=java.awt.geom.Point2D (unresolved),value=<?>,index=4>
VD,method=Main:1#doit:1 <name=p2,type=java.awt.geom.Point2D (unresolved),value=<?>,index=5>
VW,context=Main:1#doit:1,p1=java.awt.geom.Point2D$Double (id=391)
VW,context=Main:1#doit:1,p2=java.awt.geom.Point2D$Double (id=392)
FW,context=java.awt.geom.Line2D[]:1,5=java.awt.geom.Line2D$Double (id=393)
VW,context=Main:1#doit:1,line=java.awt.geom.Line2D[]:1
VW,context=Main:1#doit:1,i=6
VD,method=Main:1#doit:1 <name=p1,type=java.awt.geom.Point2D (unresolved),value=<?>,index=4>
VD,method=Main:1#doit:1 <name=p2,type=java.awt.geom.Point2D (unresolved),value=<?>,index=5>
VW,context=Main:1#doit:1,p1=java.awt.geom.Point2D$Double (id=394)
VW,context=Main:1#doit:1,p2=java.awt.geom.Point2D$Double (id=395)
FW,context=java.awt.geom.Line2D[]:1,6=java.awt.geom.Line2D$Double (id=396)
VW,context=Main:1#doit:1,line=java.awt.geom.Line2D[]:1
VW,context=Main:1#doit:1,i=7
VD,method=Main:1#doit:1 <name=p1,type=java.awt.geom.Point2D (unresolved),value=<?>,index=4>
VD,method=Main:1#doit:1 <name=p2,type=java.awt.geom.Point2D (unresolved),value=<?>,index=5>
VW,context=Main:1#doit:1,p1=java.awt.geom.Point2D$Double (id=397)
VW,context=Main:1#doit:1,p2=java.awt.geom.Point2D$Double (id=398)
FW,context=java.awt.geom.Line2D[]:1,7=java.awt.geom.Line2D$Double (id=399)
VW,context=Main:1#doit:1,line=java.awt.geom.Line2D[]:1
VD,method=Main:1#doit:1 <name=p1,type=java.awt.geom.Point2D (unresolved),value=<?>,index=4>
