TS,main (1)
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
VW,context=Main#main:1,sc=java.util.Scanner (id=363)
VW,context=Main#main:1,n=3
NO,object=int[]:1
FW,context=int[]:1,0=0
FW,context=int[]:1,1=0
FW,context=int[]:1,2=0
VW,context=Main#main:1,array=int[]:1
VW,context=Main#main:1,i=0
FW,context=int[]:1,0=1000
VW,context=Main#main:1,array=int[]:1
VW,context=Main#main:1,i=1
FW,context=int[]:1,1=342
VW,context=Main#main:1,array=int[]:1
VW,context=Main#main:1,i=2
VW,context=Main#main:1,array=int[]:1
VW,context=Main#main:1,i=3
FW,context=int[]:1,0=0
FW,context=int[]:1,2=1000
VW,context=Main#main:1,array=int[]:1
FW,context=int[]:1,2=0
VW,context=Main#main:1,array=int[]:1
VW,context=Main#main:1,ave=0
VW,context=Main#main:1,i=0
VW,context=Main#main:1,ave=0
VW,context=Main#main:1,i=1
VW,context=Main#main:1,ave=342
VW,context=Main#main:1,i=2
VW,context=Main#main:1,ave=342
VW,context=Main#main:1,i=3
VW,context=Main#main:1,ave=342
VD,method=Main#main:1 <name=n,type=int (id=7),value=0,index=2>
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=3>
VD,method=Main#main:1 <name=array,type=int[] (id=77),value=<?>,index=4>
VD,method=Main#main:1 <name=ave,type=int (id=7),value=<?>,index=5>
VW,context=Main#main:1,n=5
NO,object=int[]:2
FW,context=int[]:2,0=0
FW,context=int[]:2,1=0
FW,context=int[]:2,2=0
FW,context=int[]:2,3=0
FW,context=int[]:2,4=0
VW,context=Main#main:1,array=int[]:2
VW,context=Main#main:1,i=0
FW,context=int[]:2,0=2
VW,context=Main#main:1,array=int[]:2
VW,context=Main#main:1,i=1
FW,context=int[]:2,1=2
VW,context=Main#main:1,array=int[]:2
VW,context=Main#main:1,i=2
FW,context=int[]:2,2=9
VW,context=Main#main:1,array=int[]:2
VW,context=Main#main:1,i=3
FW,context=int[]:2,3=11
VW,context=Main#main:1,array=int[]:2
VW,context=Main#main:1,i=4
FW,context=int[]:2,4=932
VW,context=Main#main:1,array=int[]:2
VW,context=Main#main:1,i=5
FW,context=int[]:2,0=0
VW,context=Main#main:1,array=int[]:2
FW,context=int[]:2,4=0
VW,context=Main#main:1,array=int[]:2
VW,context=Main#main:1,ave=0
VW,context=Main#main:1,i=0
VW,context=Main#main:1,ave=0
VW,context=Main#main:1,i=1
VW,context=Main#main:1,ave=2
VW,context=Main#main:1,i=2
VW,context=Main#main:1,ave=11
VW,context=Main#main:1,i=3
VW,context=Main#main:1,ave=22
VW,context=Main#main:1,i=4
VW,context=Main#main:1,ave=22
VW,context=Main#main:1,i=5
VW,context=Main#main:1,ave=7
VD,method=Main#main:1 <name=n,type=int (id=7),value=0,index=2>
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=3>
VD,method=Main#main:1 <name=array,type=int[] (id=77),value=<?>,index=4>
VD,method=Main#main:1 <name=ave,type=int (id=7),value=<?>,index=5>
VW,context=Main#main:1,n=5
NO,object=int[]:3
FW,context=int[]:3,0=0
FW,context=int[]:3,1=0
FW,context=int[]:3,2=0
FW,context=int[]:3,3=0
FW,context=int[]:3,4=0
VW,context=Main#main:1,array=int[]:3
VW,context=Main#main:1,i=0
FW,context=int[]:3,0=300
VW,context=Main#main:1,array=int[]:3
VW,context=Main#main:1,i=1
FW,context=int[]:3,1=1000
VW,context=Main#main:1,array=int[]:3
VW,context=Main#main:1,i=2
VW,context=Main#main:1,array=int[]:3
VW,context=Main#main:1,i=3
FW,context=int[]:3,3=200
VW,context=Main#main:1,array=int[]:3
VW,context=Main#main:1,i=4
FW,context=int[]:3,4=400
VW,context=Main#main:1,array=int[]:3
VW,context=Main#main:1,i=5
FW,context=int[]:3,0=0
FW,context=int[]:3,1=200
FW,context=int[]:3,2=300
FW,context=int[]:3,3=400
FW,context=int[]:3,4=1000
VW,context=Main#main:1,array=int[]:3
FW,context=int[]:3,4=0
VW,context=Main#main:1,array=int[]:3
VW,context=Main#main:1,ave=0
VW,context=Main#main:1,i=0
VW,context=Main#main:1,ave=0
VW,context=Main#main:1,i=1
VW,context=Main#main:1,ave=200
VW,context=Main#main:1,i=2
VW,context=Main#main:1,ave=500
VW,context=Main#main:1,i=3
VW,context=Main#main:1,ave=900
VW,context=Main#main:1,i=4
VW,context=Main#main:1,ave=900
VW,context=Main#main:1,i=5
VW,context=Main#main:1,ave=300
VD,method=Main#main:1 <name=n,type=int (id=7),value=0,index=2>
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=3>
VD,method=Main#main:1 <name=array,type=int[] (id=77),value=<?>,index=4>
VD,method=Main#main:1 <name=ave,type=int (id=7),value=<?>,index=5>
VW,context=Main#main:1,n=8
NO,object=int[]:4
FW,context=int[]:4,0=0
FW,context=int[]:4,1=0
FW,context=int[]:4,2=0
FW,context=int[]:4,3=0
FW,context=int[]:4,4=0
FW,context=int[]:4,5=0
FW,context=int[]:4,6=0
FW,context=int[]:4,7=0
VW,context=Main#main:1,array=int[]:4
VW,context=Main#main:1,i=0
FW,context=int[]:4,0=353
VW,context=Main#main:1,array=int[]:4
VW,context=Main#main:1,i=1
FW,context=int[]:4,1=242
VW,context=Main#main:1,array=int[]:4
VW,context=Main#main:1,i=2
FW,context=int[]:4,2=402
VW,context=Main#main:1,array=int[]:4
VW,context=Main#main:1,i=3
FW,context=int[]:4,3=274
VW,context=Main#main:1,array=int[]:4
VW,context=Main#main:1,i=4
FW,context=int[]:4,4=283
VW,context=Main#main:1,array=int[]:4
VW,context=Main#main:1,i=5
FW,context=int[]:4,5=132
VW,context=Main#main:1,array=int[]:4
