TS,main (1)
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
NO,object=Main:1
MC,caller=Main#main:1,target=Main:1#Main:1
ME,returner=Main:1#Main:1,value=<void>
MC,caller=Main#main:1,target=Main:1#run:1
VW,context=Main:1#run:1,sc=java.util.Scanner (id=365)
FW,context=Main:1,n=3
FW,context=Main:1,m=2
FR,context=Main:1,n
FR,context=Main:1,m
FR,context=Main:1,n
NO,object=java.util.List[]:1
FW,context=java.util.List[]:1,0=null
FW,context=java.util.List[]:1,1=null
FW,context=java.util.List[]:1,2=null
FW,context=Main:1,adj=java.util.List[]:1
FR,context=Main:1,n
FR,context=Main:1,adj
FR,context=Main:1,n
FR,context=Main:1,adj
FR,context=Main:1,n
FR,context=Main:1,adj
FR,context=Main:1,n
VW,context=Main:1#run:1,N=0
VW,context=Main:1#run:1,M=0
VW,context=Main:1#run:1,cost=java.util.ArrayList (id=368)
FR,context=Main:1,m
FW,context=Main:1,m=1
VW,context=Main:1#run:1,s=0
VW,context=Main:1#run:1,t=1
VW,context=Main:1#run:1,c=2
FR,context=Main:1,adj
NO,object=Main$E:1
MC,caller=Main:1#run:1,target=Main$E:1#Main$E:1
VW,context=Main$E:1#Main$E:1,t=1
VW,context=Main$E:1#Main$E:1,s=0
VW,context=Main$E:1#Main$E:1,id=0
VW,context=Main$E:1#Main$E:1,c=2
FW,context=Main$E:1,s=0
FW,context=Main$E:1,t=1
FW,context=Main$E:1,c=2
FW,context=Main$E:1,id=0
ME,returner=Main$E:1#Main$E:1,value=<void>
FR,context=Main:1,adj
NO,object=Main$E:2
MC,caller=Main:1#run:1,target=Main$E:2#Main$E:2
VW,context=Main$E:2#Main$E:2,t=0
VW,context=Main$E:2#Main$E:2,s=1
VW,context=Main$E:2#Main$E:2,id=0
VW,context=Main$E:2#Main$E:2,c=2
FW,context=Main$E:2,s=1
FW,context=Main$E:2,t=0
FW,context=Main$E:2,c=2
FW,context=Main$E:2,id=0
ME,returner=Main$E:2#Main$E:2,value=<void>
VW,context=Main:1#run:1,N=1
FR,context=Main:1,m
FW,context=Main:1,m=0
VD,method=Main:1#run:1 <name=s,type=int (id=7),value=<?>,index=5>
VD,method=Main:1#run:1 <name=t,type=int (id=7),value=<?>,index=6>
VD,method=Main:1#run:1 <name=c,type=int (id=7),value=<?>,index=7>
VW,context=Main:1#run:1,s=1
VW,context=Main:1#run:1,t=2
VW,context=Main:1#run:1,c=1
FR,context=Main:1,adj
NO,object=Main$E:3
MC,caller=Main:1#run:1,target=Main$E:3#Main$E:3
VW,context=Main$E:3#Main$E:3,t=2
VW,context=Main$E:3#Main$E:3,s=1
VW,context=Main$E:3#Main$E:3,id=1
VW,context=Main$E:3#Main$E:3,c=1
FW,context=Main$E:3,s=1
FW,context=Main$E:3,t=2
FW,context=Main$E:3,c=1
FW,context=Main$E:3,id=1
ME,returner=Main$E:3#Main$E:3,value=<void>
FR,context=Main:1,adj
NO,object=Main$E:4
MC,caller=Main:1#run:1,target=Main$E:4#Main$E:4
VW,context=Main$E:4#Main$E:4,t=1
VW,context=Main$E:4#Main$E:4,s=2
VW,context=Main$E:4#Main$E:4,id=1
VW,context=Main$E:4#Main$E:4,c=1
FW,context=Main$E:4,s=2
FW,context=Main$E:4,t=1
FW,context=Main$E:4,c=1
FW,context=Main$E:4,id=1
ME,returner=Main$E:4#Main$E:4,value=<void>
VW,context=Main:1#run:1,N=2
FR,context=Main:1,m
FW,context=Main:1,m=-1
VD,method=Main:1#run:1 <name=s,type=int (id=7),value=<?>,index=5>
VD,method=Main:1#run:1 <name=t,type=int (id=7),value=<?>,index=6>
VD,method=Main:1#run:1 <name=c,type=int (id=7),value=<?>,index=7>
VW,context=Main:1#run:1,min=2147483647
MC,caller=Main:1#run:1,target=Main:1#isCon:1
VW,context=Main:1#isCon:1,f2=-1
VW,context=Main:1#isCon:1,f1=-1
FR,context=Main:1,n
NO,object=boolean[]:1
FW,context=boolean[]:1,0=false
FW,context=boolean[]:1,1=false
FW,context=boolean[]:1,2=false
VW,context=Main:1#isCon:1,u=boolean[]:1
VW,context=Main:1#isCon:1,l=java.util.ArrayList (id=376)
VW,context=Main:1#isCon:1,N=0
VW,context=Main:1#isCon:1,next=java.util.ArrayList (id=377)
VW,context=Main:1#isCon:1,i=0
VW,context=Main:1#isCon:1,N=1
FR,context=Main:1,adj
FR,context=Main$E:1,t
FR,context=Main$E:1,id
FR,context=Main$E:1,id
VW,context=Main:1#isCon:1,e=Main$E:1
FR,context=Main$E:1,t
FR,context=Main$E:1,t
FW,context=boolean[]:1,0=true
FW,context=boolean[]:1,1=true
VW,context=Main:1#isCon:1,u=boolean[]:1
VD,method=Main:1#isCon:1 <name=e,type=Main$E (id=92),value=<?>,index=7>
VW,context=Main:1#isCon:1,l=java.util.ArrayList (id=377)
VD,method=Main:1#isCon:1 <name=i,type=int (id=7),value=<?>,index=6>
VD,method=Main:1#isCon:1 <name=next,type=java.util.List (id=109),value=<?>,index=5>
VW,context=Main:1#isCon:1,next=java.util.ArrayList (id=378)
VW,context=Main:1#isCon:1,i=1
VW,context=Main:1#isCon:1,N=2
FR,context=Main:1,adj
FR,context=Main$E:2,t
FR,context=Main$E:3,t
FR,context=Main$E:3,id
FR,context=Main$E:3,id
VW,context=Main:1#isCon:1,e=Main$E:3
FR,context=Main$E:3,t
FR,context=Main$E:3,t
FW,context=boolean[]:1,2=true
VW,context=Main:1#isCon:1,u=boolean[]:1
VD,method=Main:1#isCon:1 <name=e,type=Main$E (id=92),value=<?>,index=7>
VW,context=Main:1#isCon:1,l=java.util.ArrayList (id=378)
VD,method=Main:1#isCon:1 <name=i,type=int (id=7),value=<?>,index=6>
