TS,main (1)
MC,caller=SYSTEM,target=Main#<clinit>:1
FW,context=Main,scan=java.util.Scanner (id=362)
FW,context=Main,modifyingText=java.util.ArrayList (id=363)
FW,context=Main,cursorLocLine=0
FW,context=Main,cursorLocRow=0
ME,returner=Main#<clinit>:1,value=<void>
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
MC,caller=Main#main:1,target=Main#giveTextLine:1
VW,context=Main#giveTextLine:1,inputText=java.util.ArrayList (id=365)
VW,context=Main#giveTextLine:1,i=0
FR,context=Main,scan
VW,context=Main#giveTextLine:1,input=hyo
VW,context=Main#giveTextLine:1,i=1
FR,context=Main,scan
VW,context=Main#giveTextLine:1,input=ni
VW,context=Main#giveTextLine:1,i=2
FR,context=Main,scan
VW,context=Main#giveTextLine:1,input=END_OF_TEXT
VW,context=Main#giveTextLine:1,result=java.util.ArrayList (id=365)
ME,returner=Main#giveTextLine:1,value=java.util.ArrayList (id=365)
VW,context=Main#main:1,inputText=java.util.ArrayList (id=365)
MC,caller=Main#main:1,target=Main#giveCommand:1
VW,context=Main#giveCommand:1,inputCommand=java.util.ArrayList (id=369)
VW,context=Main#giveCommand:1,i=0
FR,context=Main,scan
VW,context=Main#giveCommand:1,input=f
VW,context=Main#giveCommand:1,i=1
FR,context=Main,scan
VW,context=Main#giveCommand:1,input=d
VW,context=Main#giveCommand:1,i=2
FR,context=Main,scan
VW,context=Main#giveCommand:1,input=f
VW,context=Main#giveCommand:1,i=3
FR,context=Main,scan
VW,context=Main#giveCommand:1,input=f
VW,context=Main#giveCommand:1,i=4
FR,context=Main,scan
VW,context=Main#giveCommand:1,input=k
VW,context=Main#giveCommand:1,i=5
FR,context=Main,scan
VW,context=Main#giveCommand:1,input=p
VW,context=Main#giveCommand:1,i=6
FR,context=Main,scan
VW,context=Main#giveCommand:1,input=p
VW,context=Main#giveCommand:1,i=7
FR,context=Main,scan
VW,context=Main#giveCommand:1,input=e
VW,context=Main#giveCommand:1,i=8
FR,context=Main,scan
VW,context=Main#giveCommand:1,input=y
VW,context=Main#giveCommand:1,i=9
FR,context=Main,scan
VW,context=Main#giveCommand:1,input=a
VW,context=Main#giveCommand:1,i=10
FR,context=Main,scan
VW,context=Main#giveCommand:1,input=k
VW,context=Main#giveCommand:1,i=11
FR,context=Main,scan
VW,context=Main#giveCommand:1,input=y
VW,context=Main#giveCommand:1,i=12
FR,context=Main,scan
VW,context=Main#giveCommand:1,input=y
VW,context=Main#giveCommand:1,i=13
FR,context=Main,scan
VW,context=Main#giveCommand:1,input=n
VW,context=Main#giveCommand:1,i=14
FR,context=Main,scan
VW,context=Main#giveCommand:1,input=y
VW,context=Main#giveCommand:1,i=15
FR,context=Main,scan
VW,context=Main#giveCommand:1,input=-
VW,context=Main#giveCommand:1,result=java.util.ArrayList (id=369)
ME,returner=Main#giveCommand:1,value=java.util.ArrayList (id=369)
VW,context=Main#main:1,inputCommand=java.util.ArrayList (id=369)
MC,caller=Main#main:1,target=Main#modifyText:1
VW,context=Main#modifyText:1,inputCommand=java.util.ArrayList (id=369)
VW,context=Main#modifyText:1,inputText=java.util.ArrayList (id=365)
VW,context=Main#modifyText:1,i=0
FR,context=Main,modifyingText
VW,context=Main#modifyText:1,i=1
FR,context=Main,modifyingText
VD,method=Main#modifyText:1 <name=i,type=int (id=7),value=<?>,index=2>
VW,context=Main#modifyText:1,i=0
MC,caller=Main#modifyText:1,target=Main#editF:1
MC,caller=Main#editF:1,target=Main#isLastRow:1
FR,context=Main,modifyingText
