TS,main (1)
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
VW,context=Main#main:1,sc=java.util.Scanner (id=47)
VW,context=Main#main:1,c1=1
VW,context=Main#main:1,c2=2
VW,context=Main#main:1,c3=3
VW,context=Main#main:1,A=0
VW,context=Main#main:1,B=0
VW,context=Main#main:1,i=1
VW,context=Main#main:1,i=2
VW,context=Main#main:1,i=3
VW,context=Main#main:1,i=4
VW,context=Main#main:1,A=1
VW,context=Main#main:1,i=5
VW,context=Main#main:1,A=2
VW,context=Main#main:1,i=6
VW,context=Main#main:1,A=3
VW,context=Main#main:1,i=7
VW,context=Main#main:1,A=4
VW,context=Main#main:1,i=8
VW,context=Main#main:1,A=5
VW,context=Main#main:1,i=9
VW,context=Main#main:1,A=6
VW,context=Main#main:1,i=10
VW,context=Main#main:1,A=7
VD,method=Main#main:1 <name=c1,type=int (id=7),value=<?>,index=2>
VD,method=Main#main:1 <name=c2,type=int (id=7),value=<?>,index=3>
VD,method=Main#main:1 <name=c3,type=int (id=7),value=<?>,index=4>
VW,context=Main#main:1,c1=5
VW,context=Main#main:1,c2=6
VW,context=Main#main:1,c3=9
VD,method=Main#main:1 <name=A,type=int (id=7),value=3,index=6>
VD,method=Main#main:1 <name=B,type=int (id=7),value=4,index=7>
VW,context=Main#main:1,A=0
VW,context=Main#main:1,B=0
VD,method=Main#main:1 <name=i,type=int (id=7),value=10,index=8>
VW,context=Main#main:1,i=1
VW,context=Main#main:1,A=1
VW,context=Main#main:1,i=2
VW,context=Main#main:1,A=2
VW,context=Main#main:1,i=3
VW,context=Main#main:1,A=3
VW,context=Main#main:1,i=4
VW,context=Main#main:1,A=4
VW,context=Main#main:1,i=5
VW,context=Main#main:1,i=6
VW,context=Main#main:1,i=7
VW,context=Main#main:1,A=5
VW,context=Main#main:1,i=8
VW,context=Main#main:1,A=6
VW,context=Main#main:1,i=9
VW,context=Main#main:1,i=10
VW,context=Main#main:1,B=1
VD,method=Main#main:1 <name=c1,type=int (id=7),value=<?>,index=2>
VD,method=Main#main:1 <name=c2,type=int (id=7),value=<?>,index=3>
VD,method=Main#main:1 <name=c3,type=int (id=7),value=<?>,index=4>
VW,context=Main#main:1,c1=8
VW,context=Main#main:1,c2=9
VW,context=Main#main:1,c3=10
VD,method=Main#main:1 <name=A,type=int (id=7),value=3,index=6>
VD,method=Main#main:1 <name=B,type=int (id=7),value=4,index=7>
VW,context=Main#main:1,A=0
VW,context=Main#main:1,B=0
VD,method=Main#main:1 <name=i,type=int (id=7),value=10,index=8>
VW,context=Main#main:1,i=1
VW,context=Main#main:1,A=1
VW,context=Main#main:1,i=2
VW,context=Main#main:1,A=2
VW,context=Main#main:1,i=3
VW,context=Main#main:1,A=3
VW,context=Main#main:1,i=4
VW,context=Main#main:1,B=1
VW,context=Main#main:1,i=5
VW,context=Main#main:1,B=2
VW,context=Main#main:1,i=6
VW,context=Main#main:1,B=3
VW,context=Main#main:1,i=7
VW,context=Main#main:1,B=4
VW,context=Main#main:1,i=8
VW,context=Main#main:1,i=9
VW,context=Main#main:1,i=10
VD,method=Main#main:1 <name=c1,type=int (id=7),value=<?>,index=2>
VD,method=Main#main:1 <name=c2,type=int (id=7),value=<?>,index=3>
VD,method=Main#main:1 <name=c3,type=int (id=7),value=<?>,index=4>
