TS,main (1)
MC,caller=SYSTEM,target=Main#<clinit>:1
FW,context=Main,kbd=java.util.Scanner (id=362)
ME,returner=Main#<clinit>:1,value=<void>
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
FR,context=Main,kbd
FR,context=Main,kbd
VW,context=Main#main:1,n=5
NO,object=int[]:1
FW,context=int[]:1,0=0
FW,context=int[]:1,1=0
FW,context=int[]:1,2=0
FW,context=int[]:1,3=0
FW,context=int[]:1,4=0
VW,context=Main#main:1,p=int[]:1
VW,context=Main#main:1,i=0
FR,context=Main,kbd
FW,context=int[]:1,0=1
VW,context=Main#main:1,p=int[]:1
VW,context=Main#main:1,i=1
FR,context=Main,kbd
FW,context=int[]:1,1=2
VW,context=Main#main:1,p=int[]:1
VW,context=Main#main:1,i=2
FR,context=Main,kbd
FW,context=int[]:1,2=3
VW,context=Main#main:1,p=int[]:1
VW,context=Main#main:1,i=3
FR,context=Main,kbd
FW,context=int[]:1,3=5
VW,context=Main#main:1,p=int[]:1
VW,context=Main#main:1,i=4
FR,context=Main,kbd
FW,context=int[]:1,4=6
VW,context=Main#main:1,p=int[]:1
VW,context=Main#main:1,i=5
VW,context=Main#main:1,s=0
VW,context=Main#main:1,i=0
VW,context=Main#main:1,i=2
VW,context=Main#main:1,i=3
VW,context=Main#main:1,s=3
VW,context=Main#main:1,i=4
VW,context=Main#main:1,i=5
VW,context=Main#main:1,s=5
FR,context=Main,kbd
VD,method=Main#main:1 <name=n,type=int (id=7),value=0,index=1>
VD,method=Main#main:1 <name=p,type=int[] (id=77),value=<?>,index=2>
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=3>
VD,method=Main#main:1 <name=s,type=int (id=7),value=<?>,index=4>
FR,context=Main,kbd
VW,context=Main#main:1,n=3
NO,object=int[]:2
FW,context=int[]:2,0=0
FW,context=int[]:2,1=0
FW,context=int[]:2,2=0
VW,context=Main#main:1,p=int[]:2
VW,context=Main#main:1,i=0
FR,context=Main,kbd
FW,context=int[]:2,0=7
VW,context=Main#main:1,p=int[]:2
VW,context=Main#main:1,i=1
FR,context=Main,kbd
FW,context=int[]:2,1=8
VW,context=Main#main:1,p=int[]:2
VW,context=Main#main:1,i=2
FR,context=Main,kbd
FW,context=int[]:2,2=9
VW,context=Main#main:1,p=int[]:2
VW,context=Main#main:1,i=3
VW,context=Main#main:1,s=0
VW,context=Main#main:1,i=0
VW,context=Main#main:1,i=2
VW,context=Main#main:1,i=3
VW,context=Main#main:1,s=3
FR,context=Main,kbd
VD,method=Main#main:1 <name=n,type=int (id=7),value=0,index=1>
VD,method=Main#main:1 <name=p,type=int[] (id=77),value=<?>,index=2>
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=3>
VD,method=Main#main:1 <name=s,type=int (id=7),value=<?>,index=4>
FR,context=Main,kbd
VW,context=Main#main:1,n=0
FR,context=Main,kbd
