TS,main (1)
MC,caller=SYSTEM,target=Main#<clinit>:1
FW,context=Main,in=java.io.BufferedInputStream (id=341)
FW,context=Main,out=java.io.PrintWriter (id=342)
ME,returner=Main#<clinit>:1,value=<void>
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
FR,context=Main,out
NO,object=Main:1
MC,caller=Main#main:1,target=Main:1#Main:1
FW,context=Main:1,buffer=byte[2048] (id=346)
FW,context=Main:1,p=0
FW,context=Main:1,buflen=0
ME,returner=Main:1#Main:1,value=<void>
MC,caller=Main#main:1,target=Main:1#solve:1
MC,caller=Main:1#solve:1,target=Main:1#nextInt:1
MC,caller=Main:1#nextInt:1,target=Main:1#next:1
MC,caller=Main:1#next:1,target=Main:1#hasNext:1
MC,caller=Main:1#hasNext:1,target=Main:1#hasNextByte:1
FR,context=Main:1,p
FR,context=Main:1,buflen
FW,context=Main:1,p=0
FR,context=Main,in
FR,context=Main:1,buffer
FW,context=Main:1,buflen=10
FR,context=Main:1,buflen
VW,context=Main:1#hasNextByte:1,result=true
ME,returner=Main:1#hasNextByte:1,value=true
FR,context=Main:1,buffer
FR,context=Main:1,p
MC,caller=Main:1#hasNext:1,target=Main:1#isPrint:1
VW,context=Main:1#isPrint:1,ch=50
VW,context=Main:1#isPrint:1,result=true
ME,returner=Main:1#isPrint:1,value=true
MC,caller=Main:1#hasNext:1,target=Main:1#hasNextByte:2
FR,context=Main:1,p
FR,context=Main:1,buflen
VW,context=Main:1#hasNextByte:2,result=true
ME,returner=Main:1#hasNextByte:2,value=true
VW,context=Main:1#hasNext:1,result=true
ME,returner=Main:1#hasNext:1,value=true
VW,context=Main:1#next:1,sb=java.lang.StringBuilder (id=347)
VW,context=Main:1#next:1,b=-1
MC,caller=Main:1#next:1,target=Main:1#nextByte:1
MC,caller=Main:1#nextByte:1,target=Main:1#hasNextByte:3
FR,context=Main:1,p
FR,context=Main:1,buflen
VW,context=Main:1#hasNextByte:3,result=true
ME,returner=Main:1#hasNextByte:3,value=true
FR,context=Main:1,buffer
FR,context=Main:1,p
FW,context=Main:1,p=1
VW,context=Main:1#nextByte:1,result=50
ME,returner=Main:1#nextByte:1,value=50
MC,caller=Main:1#next:1,target=Main:1#isPrint:2
