TS,main (1)
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
VW,context=Main#main:1,s=java.util.Stack (id=342)
VW,context=Main#main:1,list=java.util.ArrayList (id=343)
VW,context=Main#main:1,num=0
VW,context=Main#main:1,in=java.util.Scanner (id=365)
VW,context=Main#main:1,n=6
VW,context=Main#main:1,str=[[123][4567][89]]
VW,context=Main#main:1,i=0
VW,context=Main#main:1,i=1
VW,context=Main#main:1,i=2
VW,context=Main#main:1,num=1
VW,context=Main#main:1,i=3
VW,context=Main#main:1,num=12
VW,context=Main#main:1,i=4
VW,context=Main#main:1,num=123
VW,context=Main#main:1,i=5
VW,context=Main#main:1,num=0
VW,context=Main#main:1,i=6
VW,context=Main#main:1,i=7
VW,context=Main#main:1,num=4
VW,context=Main#main:1,i=8
VW,context=Main#main:1,num=45
VW,context=Main#main:1,i=9
VW,context=Main#main:1,num=456
VW,context=Main#main:1,i=10
VW,context=Main#main:1,num=4567
VW,context=Main#main:1,i=11
VW,context=Main#main:1,num=0
VW,context=Main#main:1,i=12
VW,context=Main#main:1,i=13
VW,context=Main#main:1,num=8
VW,context=Main#main:1,i=14
VW,context=Main#main:1,num=89
VW,context=Main#main:1,i=15
VW,context=Main#main:1,num=0
VW,context=Main#main:1,i=16
VW,context=Main#main:1,k=0
VW,context=Main#main:1,num=45
VW,context=Main#main:1,k=1
VW,context=Main#main:1,num=107
VD,method=Main#main:1 <name=k,type=int (id=7),value=<?>,index=8>
VW,context=Main#main:1,num=0
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=7>
VW,context=Main#main:1,n=5
VW,context=Main#main:1,str=[[5][3][7][3][9]]
VW,context=Main#main:1,i=0
VW,context=Main#main:1,i=1
VW,context=Main#main:1,i=2
VW,context=Main#main:1,num=5
VW,context=Main#main:1,i=3
VW,context=Main#main:1,num=0
VW,context=Main#main:1,i=4
VW,context=Main#main:1,i=5
VW,context=Main#main:1,num=3
VW,context=Main#main:1,i=6
VW,context=Main#main:1,num=0
VW,context=Main#main:1,i=7
VW,context=Main#main:1,i=8
VW,context=Main#main:1,num=7
VW,context=Main#main:1,i=9
VW,context=Main#main:1,num=0
VW,context=Main#main:1,i=10
VW,context=Main#main:1,i=11
VW,context=Main#main:1,num=3
VW,context=Main#main:1,i=12
VW,context=Main#main:1,num=0
VW,context=Main#main:1,i=13
VW,context=Main#main:1,i=14
VW,context=Main#main:1,num=9
VW,context=Main#main:1,i=15
VW,context=Main#main:1,num=0
VW,context=Main#main:1,i=16
VW,context=Main#main:1,k=0
VW,context=Main#main:1,num=2
VW,context=Main#main:1,k=1
VW,context=Main#main:1,num=4
VW,context=Main#main:1,k=2
VW,context=Main#main:1,num=7
VD,method=Main#main:1 <name=k,type=int (id=7),value=<?>,index=8>
VW,context=Main#main:1,num=0
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=7>
VW,context=Main#main:1,n=4
VW,context=Main#main:1,str=[[[99][59][63][85][51]][[1539][7995][467]][[51][57][79][99][3][91][59]]]
VW,context=Main#main:1,i=0
VW,context=Main#main:1,i=1
VW,context=Main#main:1,i=2
VW,context=Main#main:1,i=3
VW,context=Main#main:1,num=9
VW,context=Main#main:1,i=4
VW,context=Main#main:1,num=99
VW,context=Main#main:1,i=5
VW,context=Main#main:1,num=0
VW,context=Main#main:1,i=6
VW,context=Main#main:1,i=7
VW,context=Main#main:1,num=5
VW,context=Main#main:1,i=8
VW,context=Main#main:1,num=59
VW,context=Main#main:1,i=9
VW,context=Main#main:1,num=0
VW,context=Main#main:1,i=10
VW,context=Main#main:1,i=11
VW,context=Main#main:1,num=6
VW,context=Main#main:1,i=12
VW,context=Main#main:1,num=63
VW,context=Main#main:1,i=13
VW,context=Main#main:1,num=0
VW,context=Main#main:1,i=14
VW,context=Main#main:1,i=15
VW,context=Main#main:1,num=8
VW,context=Main#main:1,i=16
VW,context=Main#main:1,num=85
VW,context=Main#main:1,i=17
VW,context=Main#main:1,num=0
VW,context=Main#main:1,i=18
VW,context=Main#main:1,i=19
VW,context=Main#main:1,num=5
VW,context=Main#main:1,i=20
VW,context=Main#main:1,num=51
VW,context=Main#main:1,i=21
VW,context=Main#main:1,num=0
VW,context=Main#main:1,i=22
VW,context=Main#main:1,k=0
VW,context=Main#main:1,num=26
VW,context=Main#main:1,k=1
VW,context=Main#main:1,num=56
VW,context=Main#main:1,k=2
VW,context=Main#main:1,num=88
VD,method=Main#main:1 <name=k,type=int (id=7),value=<?>,index=8>
VW,context=Main#main:1,num=0
VW,context=Main#main:1,i=23
VW,context=Main#main:1,i=24
VW,context=Main#main:1,i=25
VW,context=Main#main:1,num=1
VW,context=Main#main:1,i=26
VW,context=Main#main:1,num=15
VW,context=Main#main:1,i=27
VW,context=Main#main:1,num=153
VW,context=Main#main:1,i=28
VW,context=Main#main:1,num=1539
VW,context=Main#main:1,i=29
VW,context=Main#main:1,num=0
VW,context=Main#main:1,i=30
VW,context=Main#main:1,i=31
VW,context=Main#main:1,num=7
VW,context=Main#main:1,i=32
VW,context=Main#main:1,num=79
VW,context=Main#main:1,i=33
VW,context=Main#main:1,num=799
VW,context=Main#main:1,i=34
VW,context=Main#main:1,num=7995
VW,context=Main#main:1,i=35
VW,context=Main#main:1,num=0
VW,context=Main#main:1,i=36
VW,context=Main#main:1,i=37
VW,context=Main#main:1,num=4
VW,context=Main#main:1,i=38
VW,context=Main#main:1,num=46
VW,context=Main#main:1,i=39
VW,context=Main#main:1,num=467
VW,context=Main#main:1,i=40
VW,context=Main#main:1,num=0
VW,context=Main#main:1,i=41
VW,context=Main#main:1,k=0
VW,context=Main#main:1,num=234
VW,context=Main#main:1,k=1
