TS,main (1)
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
VW,context=Main#main:1,sc=java.util.Scanner (id=47)
VW,context=Main#main:1,sYear=2006
VW,context=Main#main:1,sMonth=9
VW,context=Main#main:1,sDay=2
VW,context=Main#main:1,eYear=2006
VW,context=Main#main:1,eMonth=9
VW,context=Main#main:1,eDay=3
MC,caller=Main#main:1,target=Main#g:1
VW,context=Main#g:1,sd=2
VW,context=Main#g:1,ey=2006
VW,context=Main#g:1,sy=2006
VW,context=Main#g:1,sm=9
VW,context=Main#g:1,em=9
VW,context=Main#g:1,ed=3
VW,context=Main#g:1,startDay=732311
VW,context=Main#g:1,startDay=732342
VW,context=Main#g:1,startDay=732370
VW,context=Main#g:1,startDay=732401
VW,context=Main#g:1,startDay=732431
VW,context=Main#g:1,startDay=732462
VW,context=Main#g:1,startDay=732492
VW,context=Main#g:1,startDay=732523
VW,context=Main#g:1,startDay=732554
VW,context=Main#g:1,startDay=732556
VW,context=Main#g:1,endDay=732311
VW,context=Main#g:1,endDay=732342
VW,context=Main#g:1,endDay=732370
VW,context=Main#g:1,endDay=732401
VW,context=Main#g:1,endDay=732431
VW,context=Main#g:1,endDay=732462
VW,context=Main#g:1,endDay=732492
VW,context=Main#g:1,endDay=732523
VW,context=Main#g:1,endDay=732554
VW,context=Main#g:1,endDay=732557
VW,context=Main#g:1,result=1
ME,returner=Main#g:1,value=1
VW,context=Main#main:1,sYear=2006
VW,context=Main#main:1,sMonth=9
VW,context=Main#main:1,sDay=2
VW,context=Main#main:1,eYear=2006
VW,context=Main#main:1,eMonth=11
VW,context=Main#main:1,eDay=11
MC,caller=Main#main:1,target=Main#g:2
VW,context=Main#g:2,sd=2
VW,context=Main#g:2,ey=2006
VW,context=Main#g:2,sy=2006
VW,context=Main#g:2,sm=9
VW,context=Main#g:2,em=11
VW,context=Main#g:2,ed=11
VW,context=Main#g:2,startDay=732311
VW,context=Main#g:2,startDay=732342
VW,context=Main#g:2,startDay=732370
VW,context=Main#g:2,startDay=732401
VW,context=Main#g:2,startDay=732431
VW,context=Main#g:2,startDay=732462
VW,context=Main#g:2,startDay=732492
VW,context=Main#g:2,startDay=732523
VW,context=Main#g:2,startDay=732554
VW,context=Main#g:2,startDay=732556
VW,context=Main#g:2,endDay=732311
VW,context=Main#g:2,endDay=732342
VW,context=Main#g:2,endDay=732370
VW,context=Main#g:2,endDay=732401
VW,context=Main#g:2,endDay=732431
VW,context=Main#g:2,endDay=732462
VW,context=Main#g:2,endDay=732492
VW,context=Main#g:2,endDay=732523
VW,context=Main#g:2,endDay=732554
VW,context=Main#g:2,endDay=732584
VW,context=Main#g:2,endDay=732615
VW,context=Main#g:2,endDay=732626
VW,context=Main#g:2,result=70
ME,returner=Main#g:2,value=70
VW,context=Main#main:1,sYear=2004
VW,context=Main#main:1,sMonth=1
VW,context=Main#main:1,sDay=1
VW,context=Main#main:1,eYear=2005
VW,context=Main#main:1,eMonth=1
VW,context=Main#main:1,eDay=1
MC,caller=Main#main:1,target=Main#g:3
VW,context=Main#g:3,sd=1
VW,context=Main#g:3,ey=2005
VW,context=Main#g:3,sy=2004
VW,context=Main#g:3,sm=1
VW,context=Main#g:3,em=1
VW,context=Main#g:3,ed=1
VW,context=Main#g:3,startDay=731580
VW,context=Main#g:3,startDay=731581
VW,context=Main#g:3,endDay=731946
VW,context=Main#g:3,endDay=731947
VW,context=Main#g:3,result=366
ME,returner=Main#g:3,value=366
VW,context=Main#main:1,sYear=2000
VW,context=Main#main:1,sMonth=1
VW,context=Main#main:1,sDay=1
VW,context=Main#main:1,eYear=2006
VW,context=Main#main:1,eMonth=1
VW,context=Main#main:1,eDay=1
MC,caller=Main#main:1,target=Main#g:4
VW,context=Main#g:4,sd=1
VW,context=Main#g:4,ey=2006
VW,context=Main#g:4,sy=2000
VW,context=Main#g:4,sm=1
VW,context=Main#g:4,em=1
VW,context=Main#g:4,ed=1
VW,context=Main#g:4,startDay=730119
VW,context=Main#g:4,startDay=730120
VW,context=Main#g:4,endDay=732311
VW,context=Main#g:4,endDay=732312
VW,context=Main#g:4,result=2192
ME,returner=Main#g:4,value=2192
VW,context=Main#main:1,sYear=2000
VW,context=Main#main:1,sMonth=1
VW,context=Main#main:1,sDay=1
VW,context=Main#main:1,eYear=2101
VW,context=Main#main:1,eMonth=1
VW,context=Main#main:1,eDay=1
MC,caller=Main#main:1,target=Main#g:5
VW,context=Main#g:5,sd=1
VW,context=Main#g:5,ey=2101
VW,context=Main#g:5,sy=2000
VW,context=Main#g:5,sm=1
VW,context=Main#g:5,em=1
VW,context=Main#g:5,ed=1
VW,context=Main#g:5,startDay=730119
VW,context=Main#g:5,startDay=730120
VW,context=Main#g:5,endDay=767009
VW,context=Main#g:5,endDay=767010
VW,context=Main#g:5,result=36890
ME,returner=Main#g:5,value=36890
VW,context=Main#main:1,sYear=-1
VW,context=Main#main:1,sMonth=-1
VW,context=Main#main:1,sDay=-1
VW,context=Main#main:1,eYear=-1
VW,context=Main#main:1,eMonth=-1
VW,context=Main#main:1,eDay=-1
ME,returner=Main#main:1,value=<void>
TE,
