TS,main (1)
MC,caller=SYSTEM,target=Main#<clinit>:1
FW,context=Main,kbd=java.util.Scanner (id=44)
ME,returner=Main#<clinit>:1,value=<void>
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
FR,context=Main,kbd
VW,context=Main#main:1,man=Man[4000] (id=49)
FR,context=Main,kbd
VW,context=Main#main:1,n=4
MC,caller=Main#main:1,target=Main#solve:1
VW,context=Main#solve:1,man=Man[4000] (id=49)
VW,context=Main#solve:1,n=4
VW,context=Main#solve:1,i=0
VW,context=Main#solve:1,cnt=0
VW,context=Main#solve:1,i=0
FR,context=Main,kbd
VW,context=Main#solve:1,m=1001
FR,context=Main,kbd
VW,context=Main#solve:1,t=2000
FR,context=Main,kbd
VW,context=Main#solve:1,c=520
VW,context=Main#solve:1,i=0
NO,object=Man:1
MC,caller=Main#solve:1,target=Man:1#Man:1
VW,context=Man:1#Man:1,pt=1040000
VW,context=Man:1#Man:1,num=1001
FW,context=Man:1,m=1001
FW,context=Man:1,p=1040000
ME,returner=Man:1#Man:1,value=<void>
VW,context=Main#solve:1,man=Man[4000] (id=49)
VW,context=Main#solve:1,cnt=1
VW,context=Main#solve:1,n=3
VD,method=Main#solve:1 <name=m,type=int (id=7),value=<?>,index=4>
VD,method=Main#solve:1 <name=t,type=long (id=8),value=<?>,index=5>
VD,method=Main#solve:1 <name=c,type=long (id=8),value=<?>,index=6>
VW,context=Main#solve:1,i=0
FR,context=Main,kbd
VW,context=Main#solve:1,m=1002
FR,context=Main,kbd
VW,context=Main#solve:1,t=1800
FR,context=Main,kbd
VW,context=Main#solve:1,c=450
MC,caller=Main#solve:1,target=Man:1#getM:1
FR,context=Man:1,m
VW,context=Man:1#getM:1,result=1001
ME,returner=Man:1#getM:1,value=1001
VW,context=Main#solve:1,i=1
NO,object=Man:2
MC,caller=Main#solve:1,target=Man:2#Man:2
VW,context=Man:2#Man:2,pt=810000
VW,context=Man:2#Man:2,num=1002
FW,context=Man:2,m=1002
FW,context=Man:2,p=810000
ME,returner=Man:2#Man:2,value=<void>
VW,context=Main#solve:1,man=Man[4000] (id=49)
VW,context=Main#solve:1,cnt=2
VW,context=Main#solve:1,n=2
VD,method=Main#solve:1 <name=m,type=int (id=7),value=<?>,index=4>
VD,method=Main#solve:1 <name=t,type=long (id=8),value=<?>,index=5>
VD,method=Main#solve:1 <name=c,type=long (id=8),value=<?>,index=6>
VW,context=Main#solve:1,i=0
FR,context=Main,kbd
VW,context=Main#solve:1,m=1003
FR,context=Main,kbd
VW,context=Main#solve:1,t=1600
FR,context=Main,kbd
VW,context=Main#solve:1,c=625
