TS,main (1)
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
NO,object=Main:1
MC,caller=Main#main:1,target=Main:1#Main:1
ME,returner=Main:1#Main:1,value=<void>
VW,context=Main#main:1,obj=Main:1
MC,caller=Main#main:1,target=Main:1#doit:1
VW,context=Main:1#doit:1,sc=java.util.Scanner (id=364)
FW,context=Main:1,str=(1 2)
FR,context=Main:1,str
FR,context=Main:1,str
FW,context=Main:1,str=(1 2)#
FW,context=Main:1,pos=0
VW,context=Main:1#doit:1,n=2
NO,object=int[]:1
FW,context=int[]:1,0=0
FW,context=int[]:1,1=0
FW,context=Main:1,data=int[]:1
VW,context=Main:1#doit:1,i=0
VW,context=Main:1#doit:1,num=0
VW,context=Main:1#doit:1,j=0
VW,context=Main:1#doit:1,temp=0
VW,context=Main:1#doit:1,num=0
VW,context=Main:1#doit:1,j=1
VD,method=Main:1#doit:1 <name=temp,type=int (id=7),value=<?>,index=5>
VW,context=Main:1#doit:1,temp=1
VW,context=Main:1#doit:1,num=1
VW,context=Main:1#doit:1,j=2
VD,method=Main:1#doit:1 <name=temp,type=int (id=7),value=<?>,index=5>
VW,context=Main:1#doit:1,temp=0
VW,context=Main:1#doit:1,num=2
VW,context=Main:1#doit:1,j=3
VD,method=Main:1#doit:1 <name=temp,type=int (id=7),value=<?>,index=5>
VW,context=Main:1#doit:1,temp=1
VW,context=Main:1#doit:1,num=5
VD,method=Main:1#doit:1 <name=temp,type=int (id=7),value=<?>,index=5>
FR,context=Main:1,data
VD,method=Main:1#doit:1 <name=j,type=int (id=7),value=<?>,index=4>
FW,context=int[]:1,0=5
VW,context=Main:1#doit:1,i=1
VD,method=Main:1#doit:1 <name=num,type=int (id=7),value=<?>,index=3>
VW,context=Main:1#doit:1,num=0
VW,context=Main:1#doit:1,j=0
VW,context=Main:1#doit:1,temp=1
VW,context=Main:1#doit:1,num=1
VW,context=Main:1#doit:1,j=1
VD,method=Main:1#doit:1 <name=temp,type=int (id=7),value=<?>,index=5>
VW,context=Main:1#doit:1,temp=0
VW,context=Main:1#doit:1,num=2
VW,context=Main:1#doit:1,j=2
VD,method=Main:1#doit:1 <name=temp,type=int (id=7),value=<?>,index=5>
VW,context=Main:1#doit:1,temp=1
VW,context=Main:1#doit:1,num=5
VW,context=Main:1#doit:1,j=3
VD,method=Main:1#doit:1 <name=temp,type=int (id=7),value=<?>,index=5>
VW,context=Main:1#doit:1,temp=0
VW,context=Main:1#doit:1,num=10
VD,method=Main:1#doit:1 <name=temp,type=int (id=7),value=<?>,index=5>
FR,context=Main:1,data
VD,method=Main:1#doit:1 <name=j,type=int (id=7),value=<?>,index=4>
FW,context=int[]:1,1=10
VD,method=Main:1#doit:1 <name=num,type=int (id=7),value=<?>,index=3>
VD,method=Main:1#doit:1 <name=i,type=int (id=7),value=<?>,index=2>
VW,context=Main:1#doit:1,res=java.util.TreeMap (id=368)
MC,caller=Main:1#doit:1,target=Main:1#fact:1
FR,context=Main:1,str
FR,context=Main:1,pos
FW,context=Main:1,pos=1
VW,context=Main:1#fact:1,c=(
VW,context=Main:1#fact:1,res=java.util.TreeMap (id=370)
MC,caller=Main:1#fact:1,target=Main:1#fact:2
FR,context=Main:1,str
FR,context=Main:1,pos
FW,context=Main:1,pos=2
VW,context=Main:1#fact:2,c=1
VW,context=Main:1#fact:2,res=java.util.TreeMap (id=371)
VW,context=Main:1#fact:2,ind=0
FR,context=Main:1,data
VW,context=Main:1#fact:2,num=5
VW,context=Main:1#fact:2,result=java.util.TreeMap (id=371)
ME,returner=Main:1#fact:2,value=java.util.TreeMap (id=371)
VW,context=Main:1#fact:1,right=java.util.TreeMap (id=371)
FR,context=Main:1,pos
FW,context=Main:1,pos=3
MC,caller=Main:1#fact:1,target=Main:1#fact:3
FR,context=Main:1,str
FR,context=Main:1,pos
FW,context=Main:1,pos=4
VW,context=Main:1#fact:3,c=2
VW,context=Main:1#fact:3,res=java.util.TreeMap (id=372)
VW,context=Main:1#fact:3,ind=1
FR,context=Main:1,data
VW,context=Main:1#fact:3,num=10
VW,context=Main:1#fact:3,result=java.util.TreeMap (id=372)
ME,returner=Main:1#fact:3,value=java.util.TreeMap (id=372)
VW,context=Main:1#fact:1,left=java.util.TreeMap (id=372)
FR,context=Main:1,pos
FW,context=Main:1,pos=5
VW,context=Main:1#fact:1,r=5
VW,context=Main:1#fact:1,l=10
VW,context=Main:1#fact:1,i=0
VW,context=Main:1#fact:1,res2=-1
VW,context=Main:1#fact:1,res2=0
VW,context=Main:1#fact:1,sum=1
VW,context=Main:1#fact:1,i=1
VD,method=Main:1#fact:1 <name=res2,type=int (id=7),value=<?>,index=9>
VD,method=Main:1#fact:1 <name=sum,type=int (id=7),value=<?>,index=10>
VW,context=Main:1#fact:1,res2=-1
VW,context=Main:1#fact:1,res2=15
VW,context=Main:1#fact:1,sum=1
VW,context=Main:1#fact:1,i=2
VD,method=Main:1#fact:1 <name=res2,type=int (id=7),value=<?>,index=9>
VD,method=Main:1#fact:1 <name=sum,type=int (id=7),value=<?>,index=10>
VW,context=Main:1#fact:1,res2=-1
VW,context=Main:1#fact:1,res2=15
VW,context=Main:1#fact:1,sum=1
VW,context=Main:1#fact:1,count=2
VD,method=Main:1#fact:1 <name=res2,type=int (id=7),value=<?>,index=9>
VD,method=Main:1#fact:1 <name=sum,type=int (id=7),value=<?>,index=10>
VD,method=Main:1#fact:1 <name=count,type=int (id=7),value=<?>,index=11>
VD,method=Main:1#fact:1 <name=i,type=int (id=7),value=<?>,index=8>
VD,method=Main:1#fact:1 <name=l,type=int (id=7),value=<?>,index=7>
VW,context=Main:1#fact:1,result=java.util.TreeMap (id=370)
