TS,main (1)
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
VW,context=Main#main:1,in=java.util.Scanner (id=363)
VW,context=Main#main:1,n=4
VW,context=Main#main:1,h=3
VW,context=Main#main:1,all=52
NO,object=java.lang.Integer[][]:1
FW,context=java.lang.Integer[][]:1,0=null
FW,context=java.lang.Integer[][]:1,1=null
FW,context=java.lang.Integer[][]:1,2=null
VW,context=Main#main:1,lines=java.lang.Integer[][]:1
VW,context=Main#main:1,aaa=java.util.HashSet (id=366)
VW,context=Main#main:1,i=0
VW,context=Main#main:1,o=xy
VW,context=Main#main:1,a=4
VW,context=Main#main:1,b=4
NO,object=java.lang.Integer[]:1
FW,context=java.lang.Integer[]:1,0=4
FW,context=java.lang.Integer[]:1,1=4
FW,context=java.lang.Integer[]:1,2=null
VW,context=Main#main:1,block=java.lang.Integer[]:1
FW,context=java.lang.Integer[][]:1,0=java.lang.Integer[]:1
VW,context=Main#main:1,lines=java.lang.Integer[][]:1
VW,context=Main#main:1,all=52
VW,context=Main#main:1,i=1
VD,method=Main#main:1 <name=o,type=java.lang.String (id=25),value=<?>,index=8>
VD,method=Main#main:1 <name=block,type=java.lang.Integer[] (id=44),value=<?>,index=9>
VW,context=Main#main:1,o=xz
VD,method=Main#main:1 <name=a,type=java.lang.Integer (id=22),value=3,index=10>
VW,context=Main#main:1,a=1
VD,method=Main#main:1 <name=b,type=java.lang.Integer (id=22),value=3,index=11>
VW,context=Main#main:1,b=2
NO,object=java.lang.Integer[]:2
FW,context=java.lang.Integer[]:2,0=1
FW,context=java.lang.Integer[]:2,1=null
FW,context=java.lang.Integer[]:2,2=2
VW,context=Main#main:1,block=java.lang.Integer[]:2
VW,context=Main#main:1,j=0
VW,context=Main#main:1,other=java.lang.Integer[]:1
VD,method=Main#main:1 <name=other,type=java.lang.Integer[] (id=44),value=<?>,index=17>
VD,method=Main#main:1 <name=j,type=int (id=7),value=<?>,index=16>
FW,context=java.lang.Integer[][]:1,1=java.lang.Integer[]:2
VW,context=Main#main:1,lines=java.lang.Integer[][]:1
VW,context=Main#main:1,all=52
VW,context=Main#main:1,i=2
VD,method=Main#main:1 <name=o,type=java.lang.String (id=25),value=<?>,index=8>
VD,method=Main#main:1 <name=block,type=java.lang.Integer[] (id=44),value=<?>,index=9>
VW,context=Main#main:1,o=yz
VD,method=Main#main:1 <name=a,type=java.lang.Integer (id=22),value=3,index=10>
VW,context=Main#main:1,a=2
VD,method=Main#main:1 <name=b,type=java.lang.Integer (id=22),value=3,index=11>
VW,context=Main#main:1,b=3
NO,object=java.lang.Integer[]:3
FW,context=java.lang.Integer[]:3,0=null
FW,context=java.lang.Integer[]:3,1=2
FW,context=java.lang.Integer[]:3,2=3
VW,context=Main#main:1,block=java.lang.Integer[]:3
VW,context=Main#main:1,j=0
VW,context=Main#main:1,other=java.lang.Integer[]:1
VD,method=Main#main:1 <name=other,type=java.lang.Integer[] (id=44),value=<?>,index=17>
VW,context=Main#main:1,j=1
VW,context=Main#main:1,other=java.lang.Integer[]:2
VD,method=Main#main:1 <name=other,type=java.lang.Integer[] (id=44),value=<?>,index=17>
FW,context=java.lang.Integer[][]:1,2=java.lang.Integer[]:3
VW,context=Main#main:1,lines=java.lang.Integer[][]:1
VD,method=Main#main:1 <name=j,type=int (id=7),value=<?>,index=16>
VW,context=Main#main:1,all=52
VD,method=Main#main:1 <name=o,type=java.lang.String (id=25),value=<?>,index=8>
VD,method=Main#main:1 <name=block,type=java.lang.Integer[] (id=44),value=<?>,index=9>
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=7>
VW,context=Main#main:1,n=4
VW,context=Main#main:1,h=5
VD,method=Main#main:1 <name=all,type=long (id=8),value=<?>,index=4>
VD,method=Main#main:1 <name=lines,type=java.lang.Integer[][] (id=96),value=<?>,index=5>
VD,method=Main#main:1 <name=aaa,type=java.util.Set (unresolved),value=<?>,index=6>
VW,context=Main#main:1,all=44
NO,object=java.lang.Integer[][]:2
FW,context=java.lang.Integer[][]:2,0=null
FW,context=java.lang.Integer[][]:2,1=null
FW,context=java.lang.Integer[][]:2,2=null
FW,context=java.lang.Integer[][]:2,3=null
FW,context=java.lang.Integer[][]:2,4=null
VW,context=Main#main:1,lines=java.lang.Integer[][]:2
VW,context=Main#main:1,aaa=java.util.HashSet (id=379)
VW,context=Main#main:1,i=0
VW,context=Main#main:1,o=xy
VD,method=Main#main:1 <name=a,type=java.lang.Integer (id=22),value=3,index=10>
VW,context=Main#main:1,a=1
VD,method=Main#main:1 <name=b,type=java.lang.Integer (id=22),value=3,index=11>
VW,context=Main#main:1,b=1
NO,object=java.lang.Integer[]:4
FW,context=java.lang.Integer[]:4,0=1
FW,context=java.lang.Integer[]:4,1=1
FW,context=java.lang.Integer[]:4,2=null
VW,context=Main#main:1,block=java.lang.Integer[]:4
FW,context=java.lang.Integer[][]:2,0=java.lang.Integer[]:4
VW,context=Main#main:1,lines=java.lang.Integer[][]:2
VW,context=Main#main:1,all=44
VW,context=Main#main:1,i=1
VD,method=Main#main:1 <name=o,type=java.lang.String (id=25),value=<?>,index=8>
VD,method=Main#main:1 <name=block,type=java.lang.Integer[] (id=44),value=<?>,index=9>
VW,context=Main#main:1,o=xy
VD,method=Main#main:1 <name=a,type=java.lang.Integer (id=22),value=3,index=10>
VW,context=Main#main:1,a=3
VD,method=Main#main:1 <name=b,type=java.lang.Integer (id=22),value=3,index=11>
VW,context=Main#main:1,b=3
NO,object=java.lang.Integer[]:5
FW,context=java.lang.Integer[]:5,0=3
FW,context=java.lang.Integer[]:5,1=3
FW,context=java.lang.Integer[]:5,2=null
VW,context=Main#main:1,block=java.lang.Integer[]:5
