TS,main (1)
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
NO,object=Main$SC:1
MC,caller=Main#main:1,target=Main$SC:1#Main$SC:1
VW,context=Main$SC:1#Main$SC:1,in=java.io.BufferedInputStream (id=27)
FW,context=Main$SC:1,reader=null
FW,context=Main$SC:1,tokenizer=null
FW,context=Main$SC:1,reader=java.io.BufferedReader (id=30)
ME,returner=Main$SC:1#Main$SC:1,value=<void>
VW,context=Main#main:1,sc=Main$SC:1
MC,caller=Main#main:1,target=Main$SC:1#nextInt:1
MC,caller=Main$SC:1#nextInt:1,target=Main$SC:1#next:1
FR,context=Main$SC:1,tokenizer
FR,context=Main$SC:1,reader
FW,context=Main$SC:1,tokenizer=java.util.StringTokenizer (id=33)
FR,context=Main$SC:1,tokenizer
VW,context=Main$SC:1#next:1,result=4
ME,returner=Main$SC:1#next:1,value=4
VW,context=Main$SC:1#nextInt:1,result=4
ME,returner=Main$SC:1#nextInt:1,value=4
VW,context=Main#main:1,a=4
MC,caller=Main#main:1,target=Main#pl:1
VW,context=Main#pl:1,o=128 (Integer)
ME,returner=Main#pl:1,value=<void>
ME,returner=Main#main:1,value=<void>
TE,
