TS,main (1)
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
VW,context=Main#main:1,s=java.util.Scanner (id=47)
VW,context=Main#main:1,N=4
NO,object=int[]:1
FW,context=int[]:1,0=0
FW,context=int[]:1,1=0
FW,context=int[]:1,2=0
VW,context=Main#main:1,n=int[]:1
VW,context=Main#main:1,set=java.util.HashSet (id=50)
VW,context=Main#main:1,i=0
FW,context=int[]:1,0=1
VW,context=Main#main:1,n=int[]:1
FW,context=int[]:1,1=3
VW,context=Main#main:1,n=int[]:1
FW,context=int[]:1,2=2
VW,context=Main#main:1,n=int[]:1
VW,context=Main#main:1,s1=1
VW,context=Main#main:1,s2=2
VW,context=Main#main:1,s3=3
VW,context=Main#main:1,str=123
VW,context=Main#main:1,i=1
VD,method=Main#main:1 <name=s1,type=java.lang.String (id=25),value=<?>,index=6>
VD,method=Main#main:1 <name=s2,type=java.lang.String (id=25),value=<?>,index=7>
VD,method=Main#main:1 <name=s3,type=java.lang.String (id=25),value=<?>,index=8>
VD,method=Main#main:1 <name=str,type=java.lang.String (id=25),value=<?>,index=9>
FW,context=int[]:1,1=2
FW,context=int[]:1,2=3
VW,context=Main#main:1,n=int[]:1
VW,context=Main#main:1,n=int[]:1
FW,context=int[]:1,2=4
VW,context=Main#main:1,n=int[]:1
VW,context=Main#main:1,s1=1
VW,context=Main#main:1,s2=2
VW,context=Main#main:1,s3=4
VW,context=Main#main:1,str=124
VW,context=Main#main:1,i=2
VD,method=Main#main:1 <name=s1,type=java.lang.String (id=25),value=<?>,index=6>
VD,method=Main#main:1 <name=s2,type=java.lang.String (id=25),value=<?>,index=7>
VD,method=Main#main:1 <name=s3,type=java.lang.String (id=25),value=<?>,index=8>
VD,method=Main#main:1 <name=str,type=java.lang.String (id=25),value=<?>,index=9>
VW,context=Main#main:1,n=int[]:1
FW,context=int[]:1,1=4
VW,context=Main#main:1,n=int[]:1
FW,context=int[]:1,2=3
VW,context=Main#main:1,n=int[]:1
VW,context=Main#main:1,s1=1
VW,context=Main#main:1,s2=3
VW,context=Main#main:1,s3=4
VW,context=Main#main:1,str=134
VW,context=Main#main:1,i=3
VD,method=Main#main:1 <name=s1,type=java.lang.String (id=25),value=<?>,index=6>
VD,method=Main#main:1 <name=s2,type=java.lang.String (id=25),value=<?>,index=7>
VD,method=Main#main:1 <name=s3,type=java.lang.String (id=25),value=<?>,index=8>
VD,method=Main#main:1 <name=str,type=java.lang.String (id=25),value=<?>,index=9>
FW,context=int[]:1,0=2
FW,context=int[]:1,1=3
FW,context=int[]:1,2=4
VW,context=Main#main:1,n=int[]:1
VW,context=Main#main:1,n=int[]:1
VW,context=Main#main:1,n=int[]:1
VW,context=Main#main:1,s1=2
VW,context=Main#main:1,s2=3
VW,context=Main#main:1,s3=4
VW,context=Main#main:1,str=234
VD,method=Main#main:1 <name=s1,type=java.lang.String (id=25),value=<?>,index=6>
VD,method=Main#main:1 <name=s2,type=java.lang.String (id=25),value=<?>,index=7>
VD,method=Main#main:1 <name=s3,type=java.lang.String (id=25),value=<?>,index=8>
VD,method=Main#main:1 <name=str,type=java.lang.String (id=25),value=<?>,index=9>
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=5>
ME,returner=Main#main:1,value=<void>
TE,
