TS,main (1)
MC,caller=SYSTEM,target=Main#<clinit>:1
FW,context=Main,scan=java.util.Scanner (id=362)
ME,returner=Main#<clinit>:1,value=<void>
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
FR,context=Main,scan
VW,context=Main#main:1,n=3
FR,context=Main,scan
VW,context=Main#main:1,m=5
NO,object=int[]:1
FW,context=int[]:1,0=0
FW,context=int[]:1,1=0
FW,context=int[]:1,2=0
VW,context=Main#main:1,dist=int[]:1
NO,object=int[]:2
FW,context=int[]:2,0=0
FW,context=int[]:2,1=0
FW,context=int[]:2,2=0
FW,context=int[]:2,3=0
FW,context=int[]:2,4=0
VW,context=Main#main:1,weather=int[]:2
NO,object=int[][]:1
NO,object=int[]:3
FW,context=int[]:3,0=0
FW,context=int[]:3,1=0
FW,context=int[]:3,2=0
FW,context=int[]:3,3=0
FW,context=int[]:3,4=0
FW,context=int[]:3,5=0
FW,context=int[][]:1,0=int[]:3
NO,object=int[]:4
FW,context=int[]:4,0=0
FW,context=int[]:4,1=0
FW,context=int[]:4,2=0
FW,context=int[]:4,3=0
FW,context=int[]:4,4=0
FW,context=int[]:4,5=0
FW,context=int[][]:1,1=int[]:4
NO,object=int[]:5
FW,context=int[]:5,0=0
FW,context=int[]:5,1=0
FW,context=int[]:5,2=0
FW,context=int[]:5,3=0
FW,context=int[]:5,4=0
FW,context=int[]:5,5=0
FW,context=int[][]:1,2=int[]:5
NO,object=int[]:6
FW,context=int[]:6,0=0
FW,context=int[]:6,1=0
FW,context=int[]:6,2=0
FW,context=int[]:6,3=0
FW,context=int[]:6,4=0
FW,context=int[]:6,5=0
FW,context=int[][]:1,3=int[]:6
VW,context=Main#main:1,dp=int[][]:1
VW,context=Main#main:1,i=0
FR,context=Main,scan
FW,context=int[]:1,0=10
VW,context=Main#main:1,dist=int[]:1
VW,context=Main#main:1,i=1
FR,context=Main,scan
FW,context=int[]:1,1=25
VW,context=Main#main:1,dist=int[]:1
VW,context=Main#main:1,i=2
FR,context=Main,scan
FW,context=int[]:1,2=15
VW,context=Main#main:1,dist=int[]:1
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=6>
VW,context=Main#main:1,i=0
FR,context=Main,scan
FW,context=int[]:2,0=50
VW,context=Main#main:1,weather=int[]:2
VW,context=Main#main:1,i=1
FR,context=Main,scan
FW,context=int[]:2,1=30
VW,context=Main#main:1,weather=int[]:2
VW,context=Main#main:1,i=2
FR,context=Main,scan
FW,context=int[]:2,2=15
VW,context=Main#main:1,weather=int[]:2
VW,context=Main#main:1,i=3
FR,context=Main,scan
FW,context=int[]:2,3=40
VW,context=Main#main:1,weather=int[]:2
VW,context=Main#main:1,i=4
FR,context=Main,scan
FW,context=int[]:2,4=30
VW,context=Main#main:1,weather=int[]:2
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=7>
VW,context=Main#main:1,i=1
VW,context=Main#main:1,j=0
VW,context=Main#main:1,dp=int[][]:1
VW,context=Main#main:1,j=1
VW,context=Main#main:1,dp=int[][]:1
VW,context=Main#main:1,j=2
VW,context=Main#main:1,dp=int[][]:1
VW,context=Main#main:1,j=3
VW,context=Main#main:1,dp=int[][]:1
VW,context=Main#main:1,j=4
VW,context=Main#main:1,dp=int[][]:1
VW,context=Main#main:1,j=5
VW,context=Main#main:1,dp=int[][]:1
VW,context=Main#main:1,i=2
VD,method=Main#main:1 <name=j,type=int (id=7),value=<?>,index=9>
VW,context=Main#main:1,j=0
VW,context=Main#main:1,dp=int[][]:1
