TS,main (1)
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
VW,context=Main#main:1,sc=java.util.Scanner (id=363)
VW,context=Main#main:1,N=1
NO,object=int[]:1
FW,context=int[]:1,0=-1
FW,context=int[]:1,1=0
FW,context=int[]:1,2=1
FW,context=int[]:1,3=0
VW,context=Main#main:1,dx=int[]:1
NO,object=int[]:2
FW,context=int[]:2,0=0
FW,context=int[]:2,1=-1
FW,context=int[]:2,2=0
FW,context=int[]:2,3=1
VW,context=Main#main:1,dy=int[]:2
NO,object=int[]:3
FW,context=int[]:3,0=0
VW,context=Main#main:1,x=int[]:3
NO,object=int[]:4
FW,context=int[]:4,0=0
VW,context=Main#main:1,y=int[]:4
VW,context=Main#main:1,x=int[]:3
VW,context=Main#main:1,y=int[]:4
VW,context=Main#main:1,minx=0
VW,context=Main#main:1,maxx=0
VW,context=Main#main:1,miny=0
VW,context=Main#main:1,maxy=0
VW,context=Main#main:1,xdif=1
VW,context=Main#main:1,ydif=1
VD,method=Main#main:1 <name=N,type=int (id=7),value=<?>,index=2>
VD,method=Main#main:1 <name=dx,type=int[] (id=77),value=<?>,index=3>
VD,method=Main#main:1 <name=dy,type=int[] (id=77),value=<?>,index=4>
VD,method=Main#main:1 <name=x,type=int[] (id=77),value=<?>,index=5>
VD,method=Main#main:1 <name=y,type=int[] (id=77),value=<?>,index=6>
VD,method=Main#main:1 <name=minx,type=int (id=7),value=<?>,index=7>
VD,method=Main#main:1 <name=maxx,type=int (id=7),value=<?>,index=8>
VD,method=Main#main:1 <name=miny,type=int (id=7),value=<?>,index=9>
VD,method=Main#main:1 <name=maxy,type=int (id=7),value=<?>,index=10>
VD,method=Main#main:1 <name=xdif,type=int (id=7),value=<?>,index=14>
VD,method=Main#main:1 <name=ydif,type=int (id=7),value=<?>,index=15>
VW,context=Main#main:1,N=5
NO,object=int[]:5
FW,context=int[]:5,0=-1
FW,context=int[]:5,1=0
FW,context=int[]:5,2=1
FW,context=int[]:5,3=0
VW,context=Main#main:1,dx=int[]:5
NO,object=int[]:6
FW,context=int[]:6,0=0
FW,context=int[]:6,1=-1
FW,context=int[]:6,2=0
FW,context=int[]:6,3=1
VW,context=Main#main:1,dy=int[]:6
NO,object=int[]:7
FW,context=int[]:7,0=0
FW,context=int[]:7,1=0
FW,context=int[]:7,2=0
FW,context=int[]:7,3=0
FW,context=int[]:7,4=0
VW,context=Main#main:1,x=int[]:7
NO,object=int[]:8
FW,context=int[]:8,0=0
FW,context=int[]:8,1=0
FW,context=int[]:8,2=0
FW,context=int[]:8,3=0
FW,context=int[]:8,4=0
VW,context=Main#main:1,y=int[]:8
VW,context=Main#main:1,x=int[]:7
VW,context=Main#main:1,y=int[]:8
VW,context=Main#main:1,minx=0
VW,context=Main#main:1,maxx=0
VW,context=Main#main:1,miny=0
VW,context=Main#main:1,maxy=0
VW,context=Main#main:1,i=1
VW,context=Main#main:1,n=0
VW,context=Main#main:1,d=0
FW,context=int[]:7,1=-1
VW,context=Main#main:1,x=int[]:7
VW,context=Main#main:1,y=int[]:8
VW,context=Main#main:1,minx=-1
VW,context=Main#main:1,maxx=0
VW,context=Main#main:1,miny=0
VW,context=Main#main:1,maxy=0
VW,context=Main#main:1,i=2
VD,method=Main#main:1 <name=n,type=int (id=7),value=<?>,index=12>
VD,method=Main#main:1 <name=d,type=int (id=7),value=<?>,index=13>
VW,context=Main#main:1,n=0
VW,context=Main#main:1,d=1
VW,context=Main#main:1,x=int[]:7
FW,context=int[]:8,2=-1
VW,context=Main#main:1,y=int[]:8
VW,context=Main#main:1,minx=-1
VW,context=Main#main:1,maxx=0
VW,context=Main#main:1,miny=-1
VW,context=Main#main:1,maxy=0
VW,context=Main#main:1,i=3
VD,method=Main#main:1 <name=n,type=int (id=7),value=<?>,index=12>
VD,method=Main#main:1 <name=d,type=int (id=7),value=<?>,index=13>
VW,context=Main#main:1,n=0
VW,context=Main#main:1,d=2
FW,context=int[]:7,3=1
VW,context=Main#main:1,x=int[]:7
VW,context=Main#main:1,y=int[]:8
VW,context=Main#main:1,minx=-1
VW,context=Main#main:1,maxx=1
VW,context=Main#main:1,miny=-1
VW,context=Main#main:1,maxy=0
VW,context=Main#main:1,i=4
VD,method=Main#main:1 <name=n,type=int (id=7),value=<?>,index=12>
VD,method=Main#main:1 <name=d,type=int (id=7),value=<?>,index=13>
VW,context=Main#main:1,n=0
VW,context=Main#main:1,d=3
VW,context=Main#main:1,x=int[]:7
FW,context=int[]:8,4=1
VW,context=Main#main:1,y=int[]:8
VW,context=Main#main:1,minx=-1
VW,context=Main#main:1,maxx=1
VW,context=Main#main:1,miny=-1
VW,context=Main#main:1,maxy=1
VD,method=Main#main:1 <name=n,type=int (id=7),value=<?>,index=12>
VD,method=Main#main:1 <name=d,type=int (id=7),value=<?>,index=13>
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=11>
VW,context=Main#main:1,xdif=3
VW,context=Main#main:1,ydif=3
VD,method=Main#main:1 <name=N,type=int (id=7),value=<?>,index=2>
VD,method=Main#main:1 <name=dx,type=int[] (id=77),value=<?>,index=3>
VD,method=Main#main:1 <name=dy,type=int[] (id=77),value=<?>,index=4>
VD,method=Main#main:1 <name=x,type=int[] (id=77),value=<?>,index=5>
VD,method=Main#main:1 <name=y,type=int[] (id=77),value=<?>,index=6>
VD,method=Main#main:1 <name=minx,type=int (id=7),value=<?>,index=7>
VD,method=Main#main:1 <name=maxx,type=int (id=7),value=<?>,index=8>
VD,method=Main#main:1 <name=miny,type=int (id=7),value=<?>,index=9>
VD,method=Main#main:1 <name=maxy,type=int (id=7),value=<?>,index=10>
