TS,main (1)
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
VW,context=Main#main:1,stdin=java.util.Scanner (id=47)
NO,object=Point[]:1
FW,context=Point[]:1,0=null
FW,context=Point[]:1,1=null
FW,context=Point[]:1,2=null
FW,context=Point[]:1,3=null
VW,context=Main#main:1,in=Point[]:1
VW,context=Main#main:1,i=0
NO,object=Point:1
MC,caller=Main#main:1,target=Point:1#Point:1
VW,context=Point:1#Point:1,y=0.0
VW,context=Point:1#Point:1,x=0.0
FW,context=Point:1,x=0.0
FW,context=Point:1,y=0.0
ME,returner=Point:1#Point:1,value=<void>
FW,context=Point[]:1,0=Point:1
VW,context=Main#main:1,in=Point[]:1
VW,context=Main#main:1,i=1
NO,object=Point:2
MC,caller=Main#main:1,target=Point:2#Point:2
VW,context=Point:2#Point:2,y=0.0
VW,context=Point:2#Point:2,x=2.0
FW,context=Point:2,x=2.0
FW,context=Point:2,y=0.0
ME,returner=Point:2#Point:2,value=<void>
FW,context=Point[]:1,1=Point:2
VW,context=Main#main:1,in=Point[]:1
VW,context=Main#main:1,i=2
NO,object=Point:3
MC,caller=Main#main:1,target=Point:3#Point:3
VW,context=Point:3#Point:3,y=2.0
VW,context=Point:3#Point:3,x=2.0
FW,context=Point:3,x=2.0
FW,context=Point:3,y=2.0
ME,returner=Point:3#Point:3,value=<void>
FW,context=Point[]:1,2=Point:3
VW,context=Main#main:1,in=Point[]:1
VW,context=Main#main:1,i=3
NO,object=Point:4
MC,caller=Main#main:1,target=Point:4#Point:4
VW,context=Point:4#Point:4,y=0.5
VW,context=Point:4#Point:4,x=1.5
FW,context=Point:4,x=1.5
FW,context=Point:4,y=0.5
ME,returner=Point:4#Point:4,value=<void>
FW,context=Point[]:1,3=Point:4
VW,context=Main#main:1,in=Point[]:1
MC,caller=Main#main:1,target=Main#degree:1
VW,context=Main#degree:1,p3=Point:2
VW,context=Main#degree:1,p2=Point:1
VW,context=Main#degree:1,p1=Point:4
MC,caller=Main#degree:1,target=Main#distance:1
VW,context=Main#distance:1,p2=Point:1
VW,context=Main#distance:1,p1=Point:4
FR,context=Point:4,x
FR,context=Point:1,x
FR,context=Point:4,y
FR,context=Point:1,y
VW,context=Main#distance:1,result=1.5811388300841898
ME,returner=Main#distance:1,value=1.5811388300841898
VW,context=Main#degree:1,d12=1.5811388300841898
MC,caller=Main#degree:1,target=Main#distance:2
VW,context=Main#distance:2,p2=Point:2
VW,context=Main#distance:2,p1=Point:4
FR,context=Point:4,x
FR,context=Point:2,x
FR,context=Point:4,y
FR,context=Point:2,y
VW,context=Main#distance:2,result=0.7071067811865476
ME,returner=Main#distance:2,value=0.7071067811865476
VW,context=Main#degree:1,d13=0.7071067811865476
MC,caller=Main#degree:1,target=Main#distance:3
VW,context=Main#distance:3,p2=Point:2
VW,context=Main#distance:3,p1=Point:1
FR,context=Point:1,x
FR,context=Point:2,x
FR,context=Point:1,y
FR,context=Point:2,y
VW,context=Main#distance:3,result=2.0
ME,returner=Main#distance:3,value=2.0
VW,context=Main#degree:1,d23=2.0
VW,context=Main#degree:1,result=2.0344439357957027
ME,returner=Main#degree:1,value=2.0344439357957027
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=3>
VW,context=Main#main:1,deg1=2.0344439357957027
MC,caller=Main#main:1,target=Main#degree:2
VW,context=Main#degree:2,p3=Point:3
VW,context=Main#degree:2,p2=Point:2
VW,context=Main#degree:2,p1=Point:4
MC,caller=Main#degree:2,target=Main#distance:4
VW,context=Main#distance:4,p2=Point:2
VW,context=Main#distance:4,p1=Point:4
FR,context=Point:4,x
FR,context=Point:2,x
FR,context=Point:4,y
FR,context=Point:2,y
VW,context=Main#distance:4,result=0.7071067811865476
ME,returner=Main#distance:4,value=0.7071067811865476
VW,context=Main#degree:2,d12=0.7071067811865476
MC,caller=Main#degree:2,target=Main#distance:5
VW,context=Main#distance:5,p2=Point:3
VW,context=Main#distance:5,p1=Point:4
FR,context=Point:4,x
FR,context=Point:3,x
FR,context=Point:4,y
FR,context=Point:3,y
VW,context=Main#distance:5,result=1.5811388300841898
ME,returner=Main#distance:5,value=1.5811388300841898
VW,context=Main#degree:2,d13=1.5811388300841898
MC,caller=Main#degree:2,target=Main#distance:6
VW,context=Main#distance:6,p2=Point:3
VW,context=Main#distance:6,p1=Point:2
FR,context=Point:2,x
FR,context=Point:3,x
FR,context=Point:2,y
FR,context=Point:3,y
VW,context=Main#distance:6,result=2.0
ME,returner=Main#distance:6,value=2.0
VW,context=Main#degree:2,d23=2.0
VW,context=Main#degree:2,result=2.0344439357957027
ME,returner=Main#degree:2,value=2.0344439357957027
VW,context=Main#main:1,deg2=2.0344439357957027
MC,caller=Main#main:1,target=Main#degree:3
VW,context=Main#degree:3,p3=Point:1
VW,context=Main#degree:3,p2=Point:3
VW,context=Main#degree:3,p1=Point:4
MC,caller=Main#degree:3,target=Main#distance:7
VW,context=Main#distance:7,p2=Point:3
VW,context=Main#distance:7,p1=Point:4
FR,context=Point:4,x
FR,context=Point:3,x
FR,context=Point:4,y
FR,context=Point:3,y
VW,context=Main#distance:7,result=1.5811388300841898
ME,returner=Main#distance:7,value=1.5811388300841898
VW,context=Main#degree:3,d12=1.5811388300841898
MC,caller=Main#degree:3,target=Main#distance:8
VW,context=Main#distance:8,p2=Point:1
VW,context=Main#distance:8,p1=Point:4
FR,context=Point:4,x
FR,context=Point:1,x
FR,context=Point:4,y
FR,context=Point:1,y
VW,context=Main#distance:8,result=1.5811388300841898
ME,returner=Main#distance:8,value=1.5811388300841898
VW,context=Main#degree:3,d13=1.5811388300841898
MC,caller=Main#degree:3,target=Main#distance:9
