TS,main (1)
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
VW,context=Main#main:1,sc=java.util.Scanner (id=363)
FW,context=Main,n=1
FR,context=Main,n
FR,context=Main,n
NO,object=int[][]:1
NO,object=int[]:1
FW,context=int[]:1,0=0
FW,context=int[]:1,1=0
FW,context=int[]:1,2=0
FW,context=int[]:1,3=0
FW,context=int[][]:1,0=int[]:1
FW,context=Main,mobile=int[][]:1
FR,context=Main,n
NO,object=long[]:1
FW,context=long[]:1,0=0
FW,context=Main,weight=long[]:1
FR,context=Main,n
VW,context=Main#main:1,i=0
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,n
FR,context=Main,weight
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=2>
FR,context=Main,n
VW,context=Main#main:1,i=0
MC,caller=Main#main:1,target=Main#f:1
VW,context=Main#f:1,id=0
FR,context=Main,weight
VW,context=Main#f:1,le=1
VW,context=Main#f:1,ri=1
FR,context=Main,mobile
FR,context=Main,mobile
VW,context=Main#f:1,kle=1
VW,context=Main#f:1,kri=1
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
VW,context=Main#f:1,kle=2
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
VW,context=Main#f:1,kri=2
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
VW,context=Main#f:1,kle=3
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,weight
VW,context=Main#f:1,result=5
ME,returner=Main#f:1,value=5
FR,context=Main,n
FR,context=Main,weight
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=3>
FR,context=Main,weight
FR,context=Main,n
FW,context=Main,n=4
FR,context=Main,n
FR,context=Main,n
NO,object=int[][]:2
NO,object=int[]:2
FW,context=int[]:2,0=0
FW,context=int[]:2,1=0
FW,context=int[]:2,2=0
FW,context=int[]:2,3=0
FW,context=int[][]:2,0=int[]:2
NO,object=int[]:3
FW,context=int[]:3,0=0
FW,context=int[]:3,1=0
FW,context=int[]:3,2=0
FW,context=int[]:3,3=0
FW,context=int[][]:2,1=int[]:3
NO,object=int[]:4
FW,context=int[]:4,0=0
FW,context=int[]:4,1=0
FW,context=int[]:4,2=0
FW,context=int[]:4,3=0
FW,context=int[][]:2,2=int[]:4
NO,object=int[]:5
FW,context=int[]:5,0=0
FW,context=int[]:5,1=0
FW,context=int[]:5,2=0
FW,context=int[]:5,3=0
FW,context=int[][]:2,3=int[]:5
FW,context=Main,mobile=int[][]:2
FR,context=Main,n
NO,object=long[]:2
FW,context=long[]:2,0=0
FW,context=long[]:2,1=0
FW,context=long[]:2,2=0
FW,context=long[]:2,3=0
FW,context=Main,weight=long[]:2
FR,context=Main,n
VW,context=Main#main:1,i=0
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,n
VW,context=Main#main:1,i=1
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,n
VW,context=Main#main:1,i=2
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,n
VW,context=Main#main:1,i=3
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,n
FR,context=Main,weight
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=2>
FR,context=Main,n
VW,context=Main#main:1,i=0
MC,caller=Main#main:1,target=Main#f:2
VW,context=Main#f:2,id=0
FR,context=Main,weight
VW,context=Main#f:2,le=1
VW,context=Main#f:2,ri=1
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
MC,caller=Main#f:2,target=Main#f:3
VW,context=Main#f:3,id=3
FR,context=Main,weight
VW,context=Main#f:3,le=1
VW,context=Main#f:3,ri=1
FR,context=Main,mobile
FR,context=Main,mobile
VW,context=Main#f:3,kle=1
VW,context=Main#f:3,kri=1
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,weight
VW,context=Main#f:3,result=2
ME,returner=Main#f:3,value=2
VW,context=Main#f:2,ri=2
VW,context=Main#f:2,kle=1
VW,context=Main#f:2,kri=1
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
VW,context=Main#f:2,kle=2
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
VW,context=Main#f:2,kri=2
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
VW,context=Main#f:2,kle=3
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
VW,context=Main#f:2,kri=3
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
VW,context=Main#f:2,kle=4
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,weight
VW,context=Main#f:2,result=10
ME,returner=Main#f:2,value=10
FR,context=Main,n
VW,context=Main#main:1,i=1
MC,caller=Main#main:1,target=Main#f:4
VW,context=Main#f:4,id=1
FR,context=Main,weight
VW,context=Main#f:4,le=1
VW,context=Main#f:4,ri=1
FR,context=Main,mobile
FR,context=Main,mobile
VW,context=Main#f:4,kle=1
VW,context=Main#f:4,kri=1
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
VW,context=Main#f:4,kle=2
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
FR,context=Main,mobile
