TS,main (1)
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
VW,context=Main#main:1,br=java.io.BufferedReader (id=24)
VW,context=Main#main:1,line=60.2
VW,context=Main#main:1,wei=60.2
VW,context=Main#main:1,line=70.2
VD,method=Main#main:1 <name=wei,type=double (id=5),value=80.2,index=3>
VW,context=Main#main:1,wei=70.2
VW,context=Main#main:1,line=48.0
VD,method=Main#main:1 <name=wei,type=double (id=5),value=80.2,index=3>
VW,context=Main#main:1,wei=48.0
VW,context=Main#main:1,line=80.2
VD,method=Main#main:1 <name=wei,type=double (id=5),value=80.2,index=3>
VW,context=Main#main:1,wei=80.2
