TS,main (1)
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
VW,context=Main#main:1,s=java.util.Scanner (id=47)
VW,context=Main#main:1,a=IV
VW,context=Main#main:1,sum=0
NO,object=int[]:1
FW,context=int[]:1,0=0
FW,context=int[]:1,1=0
VW,context=Main#main:1,n=int[]:1
VW,context=Main#main:1,i=0
VW,context=Main#main:1,n=int[]:1
VW,context=Main#main:1,i=1
VW,context=Main#main:1,n=int[]:1
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=5>
VW,context=Main#main:1,i=0
VW,context=Main#main:1,sum=-1
VW,context=Main#main:1,i=1
VW,context=Main#main:1,sum=-1
VW,context=Main#main:1,sum=4
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=6>
VD,method=Main#main:1 <name=a,type=java.lang.String (id=25),value=CDXCIX,index=2>
VD,method=Main#main:1 <name=sum,type=int (id=7),value=499,index=3>
VD,method=Main#main:1 <name=n,type=int[] (id=77),value=int[]:3,index=4>
VW,context=Main#main:1,a=CCCCLXXXXVIIII
VW,context=Main#main:1,sum=0
NO,object=int[]:2
FW,context=int[]:2,0=0
FW,context=int[]:2,1=0
FW,context=int[]:2,2=0
FW,context=int[]:2,3=0
FW,context=int[]:2,4=0
FW,context=int[]:2,5=0
FW,context=int[]:2,6=0
FW,context=int[]:2,7=0
FW,context=int[]:2,8=0
FW,context=int[]:2,9=0
FW,context=int[]:2,10=0
FW,context=int[]:2,11=0
FW,context=int[]:2,12=0
FW,context=int[]:2,13=0
VW,context=Main#main:1,n=int[]:2
VW,context=Main#main:1,i=0
VW,context=Main#main:1,n=int[]:2
VW,context=Main#main:1,i=1
VW,context=Main#main:1,n=int[]:2
VW,context=Main#main:1,i=2
VW,context=Main#main:1,n=int[]:2
VW,context=Main#main:1,i=3
VW,context=Main#main:1,n=int[]:2
VW,context=Main#main:1,i=4
VW,context=Main#main:1,n=int[]:2
VW,context=Main#main:1,i=5
VW,context=Main#main:1,n=int[]:2
VW,context=Main#main:1,i=6
VW,context=Main#main:1,n=int[]:2
VW,context=Main#main:1,i=7
VW,context=Main#main:1,n=int[]:2
VW,context=Main#main:1,i=8
VW,context=Main#main:1,n=int[]:2
VW,context=Main#main:1,i=9
VW,context=Main#main:1,n=int[]:2
VW,context=Main#main:1,i=10
VW,context=Main#main:1,n=int[]:2
VW,context=Main#main:1,i=11
VW,context=Main#main:1,n=int[]:2
VW,context=Main#main:1,i=12
VW,context=Main#main:1,n=int[]:2
VW,context=Main#main:1,i=13
VW,context=Main#main:1,n=int[]:2
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=5>
VW,context=Main#main:1,i=0
VW,context=Main#main:1,sum=0
VW,context=Main#main:1,sum=100
VW,context=Main#main:1,i=1
VW,context=Main#main:1,sum=100
VW,context=Main#main:1,sum=200
VW,context=Main#main:1,i=2
VW,context=Main#main:1,sum=200
VW,context=Main#main:1,sum=300
VW,context=Main#main:1,i=3
VW,context=Main#main:1,sum=300
VW,context=Main#main:1,sum=400
VW,context=Main#main:1,i=4
VW,context=Main#main:1,sum=400
VW,context=Main#main:1,sum=450
VW,context=Main#main:1,i=5
VW,context=Main#main:1,sum=450
VW,context=Main#main:1,sum=460
VW,context=Main#main:1,i=6
VW,context=Main#main:1,sum=460
VW,context=Main#main:1,sum=470
VW,context=Main#main:1,i=7
VW,context=Main#main:1,sum=470
VW,context=Main#main:1,sum=480
VW,context=Main#main:1,i=8
VW,context=Main#main:1,sum=480
VW,context=Main#main:1,sum=490
VW,context=Main#main:1,i=9
VW,context=Main#main:1,sum=490
VW,context=Main#main:1,sum=495
VW,context=Main#main:1,i=10
VW,context=Main#main:1,sum=495
VW,context=Main#main:1,sum=496
VW,context=Main#main:1,i=11
VW,context=Main#main:1,sum=496
VW,context=Main#main:1,sum=497
VW,context=Main#main:1,i=12
VW,context=Main#main:1,sum=497
VW,context=Main#main:1,sum=498
VW,context=Main#main:1,i=13
VW,context=Main#main:1,sum=498
VW,context=Main#main:1,sum=499
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=6>
VD,method=Main#main:1 <name=a,type=java.lang.String (id=25),value=CDXCIX,index=2>
VD,method=Main#main:1 <name=sum,type=int (id=7),value=499,index=3>
VD,method=Main#main:1 <name=n,type=int[] (id=77),value=int[]:3,index=4>
VW,context=Main#main:1,a=CDXCIX
VW,context=Main#main:1,sum=0
NO,object=int[]:3
FW,context=int[]:3,0=0
FW,context=int[]:3,1=0
FW,context=int[]:3,2=0
FW,context=int[]:3,3=0
FW,context=int[]:3,4=0
FW,context=int[]:3,5=0
VW,context=Main#main:1,n=int[]:3
VW,context=Main#main:1,i=0
VW,context=Main#main:1,n=int[]:3
VW,context=Main#main:1,i=1
VW,context=Main#main:1,n=int[]:3
VW,context=Main#main:1,i=2
VW,context=Main#main:1,n=int[]:3
VW,context=Main#main:1,i=3
VW,context=Main#main:1,n=int[]:3
VW,context=Main#main:1,i=4
VW,context=Main#main:1,n=int[]:3
VW,context=Main#main:1,i=5
VW,context=Main#main:1,n=int[]:3
VD,method=Main#main:1 <name=i,type=int (id=7),value=<?>,index=5>
VW,context=Main#main:1,i=0
VW,context=Main#main:1,sum=-100
VW,context=Main#main:1,i=1
VW,context=Main#main:1,sum=-100
VW,context=Main#main:1,sum=400
VW,context=Main#main:1,i=2
VW,context=Main#main:1,sum=390
VW,context=Main#main:1,i=3
VW,context=Main#main:1,sum=390
VW,context=Main#main:1,sum=490
VW,context=Main#main:1,i=4
VW,context=Main#main:1,sum=489
VW,context=Main#main:1,i=5
VW,context=Main#main:1,sum=489
VW,context=Main#main:1,sum=499
