TS,main (1)
MC,caller=SYSTEM,target=Main#main:1
NO,object=java.lang.String[]:1
VW,context=Main#main:1,args=java.lang.String[]:1
NO,object=Main:1
MC,caller=Main#main:1,target=Main:1#Main:1
FW,context=Main:1,sc=java.util.Scanner (id=48)
ME,returner=Main:1#Main:1,value=<void>
MC,caller=Main#main:1,target=Main:1#run:1
FR,context=Main:1,sc
FR,context=Main:1,sc
FW,context=Main:1,n=2
FW,context=Main:1,sum=0
FR,context=Main:1,n
MC,caller=Main:1#run:1,target=Main:1#solve:1
FR,context=Main:1,n
VW,context=Main:1#solve:1,i=0
FR,context=Main:1,sc
FW,context=Main:1,x=50
FR,context=Main:1,sc
FW,context=Main:1,y=25
FR,context=Main:1,sc
FW,context=Main:1,h=5
FR,context=Main:1,sc
FW,context=Main:1,w=5
FR,context=Main:1,x
FR,context=Main:1,y
FR,context=Main:1,h
FW,context=Main:1,len=80
FR,context=Main:1,sum
MC,caller=Main:1#solve:1,target=Main:1#fee:1
FR,context=Main:1,len
FR,context=Main:1,len
FR,context=Main:1,w
VW,context=Main:1#fee:1,result=800
ME,returner=Main:1#fee:1,value=800
FW,context=Main:1,sum=800
FR,context=Main:1,n
VW,context=Main:1#solve:1,i=1
FR,context=Main:1,sc
FW,context=Main:1,x=80
FR,context=Main:1,sc
FW,context=Main:1,y=60
FR,context=Main:1,sc
FW,context=Main:1,h=10
FR,context=Main:1,sc
FW,context=Main:1,w=30
FR,context=Main:1,x
FR,context=Main:1,y
FR,context=Main:1,h
FW,context=Main:1,len=150
FR,context=Main:1,sum
MC,caller=Main:1#solve:1,target=Main:1#fee:2
FR,context=Main:1,len
FR,context=Main:1,len
FR,context=Main:1,len
FR,context=Main:1,len
FR,context=Main:1,len
FR,context=Main:1,len
FR,context=Main:1,w
VW,context=Main:1#fee:2,result=0
ME,returner=Main:1#fee:2,value=0
FW,context=Main:1,sum=800
FR,context=Main:1,n
FR,context=Main:1,sum
VD,method=Main:1#solve:1 <name=i,type=int (id=7),value=<?>,index=0>
ME,returner=Main:1#solve:1,value=<void>
FR,context=Main:1,sc
FR,context=Main:1,sc
FW,context=Main:1,n=3
FW,context=Main:1,sum=0
FR,context=Main:1,n
MC,caller=Main:1#run:1,target=Main:1#solve:2
FR,context=Main:1,n
VW,context=Main:1#solve:2,i=0
FR,context=Main:1,sc
FW,context=Main:1,x=10
FR,context=Main:1,sc
FW,context=Main:1,y=15
FR,context=Main:1,sc
FW,context=Main:1,h=25
FR,context=Main:1,sc
FW,context=Main:1,w=24
FR,context=Main:1,x
FR,context=Main:1,y
FR,context=Main:1,h
FW,context=Main:1,len=50
FR,context=Main:1,sum
MC,caller=Main:1#solve:2,target=Main:1#fee:3
FR,context=Main:1,len
FR,context=Main:1,w
FR,context=Main:1,len
FR,context=Main:1,w
FR,context=Main:1,len
FR,context=Main:1,w
FR,context=Main:1,len
FR,context=Main:1,w
FR,context=Main:1,len
FR,context=Main:1,w
FR,context=Main:1,len
FR,context=Main:1,w
VW,context=Main:1#fee:3,result=1600
ME,returner=Main:1#fee:3,value=1600
FW,context=Main:1,sum=1600
FR,context=Main:1,n
VW,context=Main:1#solve:2,i=1
FR,context=Main:1,sc
FW,context=Main:1,x=5
FR,context=Main:1,sc
FW,context=Main:1,y=8
FR,context=Main:1,sc
FW,context=Main:1,h=12
FR,context=Main:1,sc
FW,context=Main:1,w=5
FR,context=Main:1,x
FR,context=Main:1,y
FR,context=Main:1,h
FW,context=Main:1,len=25
FR,context=Main:1,sum
MC,caller=Main:1#solve:2,target=Main:1#fee:4
FR,context=Main:1,len
FR,context=Main:1,w
FR,context=Main:1,len
FR,context=Main:1,w
VW,context=Main:1#fee:4,result=800
ME,returner=Main:1#fee:4,value=800
FW,context=Main:1,sum=2400
FR,context=Main:1,n
VW,context=Main:1#solve:2,i=2
FR,context=Main:1,sc
FW,context=Main:1,x=30
FR,context=Main:1,sc
FW,context=Main:1,y=30
FR,context=Main:1,sc
FW,context=Main:1,h=30
FR,context=Main:1,sc
FW,context=Main:1,w=18
FR,context=Main:1,x
FR,context=Main:1,y
FR,context=Main:1,h
FW,context=Main:1,len=90
FR,context=Main:1,sum
MC,caller=Main:1#solve:2,target=Main:1#fee:5
FR,context=Main:1,len
FR,context=Main:1,len
FR,context=Main:1,len
FR,context=Main:1,w
FR,context=Main:1,len
FR,context=Main:1,w
FR,context=Main:1,len
FR,context=Main:1,w
VW,context=Main:1#fee:5,result=1400
ME,returner=Main:1#fee:5,value=1400
FW,context=Main:1,sum=3800
FR,context=Main:1,n
FR,context=Main:1,sum
VD,method=Main:1#solve:2 <name=i,type=int (id=7),value=<?>,index=0>
ME,returner=Main:1#solve:2,value=<void>
FR,context=Main:1,sc
FR,context=Main:1,sc
FW,context=Main:1,n=0
FW,context=Main:1,sum=0
FR,context=Main:1,n
FR,context=Main:1,sc
ME,returner=Main:1#run:1,value=<void>
ME,returner=Main#main:1,value=<void>
TE,
